"Code";"Name";"total;total;total;2021;[person]";"total;total;economically active population;2021;[person]";"total;total;employed;2021;[person]";"total;total;unemployed;2021;[person]";"total;total;economically inactive persons;2021;[person]";"total;total;unidentified status on the labour market;2021;[person]";"total;total;activity rate;2021;[%]";"total;total;employment rate;2021;[%]";"total;total;unemployment rate;2021;[%]";"total;males;total;2021;[person]";"total;males;economically active population;2021;[person]";"total;males;employed;2021;[person]";"total;males;unemployed;2021;[person]";"total;males;economically inactive persons;2021;[person]";"total;males;unidentified status on the labour market;2021;[person]";"total;males;activity rate;2021;[%]";"total;males;employment rate;2021;[%]";"total;males;unemployment rate;2021;[%]";"total;females;total;2021;[person]";"total;females;economically active population;2021;[person]";"total;females;employed;2021;[person]";"total;females;unemployed;2021;[person]";"total;females;economically inactive persons;2021;[person]";"total;females;unidentified status on the labour market;2021;[person]";"total;females;activity rate;2021;[%]";"total;females;employment rate;2021;[%]";"total;females;unemployment rate;2021;[%]";
0261000;"City with powiat status Jelenia Góra";68131;33810;32309;1501;27503;6818;55.1;52.7;4.4;31239;17242;16374;868;10410;3587;62.4;59.2;5.0;36892;16568;15935;633;17093;3231;49.2;47.3;3.8;
0262000;"City with powiat status Legnica";81889;42891;40849;2042;31766;7232;57.5;54.7;4.8;37996;22127;21049;1078;12017;3852;64.8;61.6;4.9;43893;20764;19800;964;19749;3380;51.3;48.9;4.6;
0264000;"City with powiat status Wrocław";581393;356167;345939;10228;187494;37732;65.5;63.6;2.9;269381;179879;174387;5492;70487;19015;71.8;69.7;3.1;312012;176288;171552;4736;117007;18717;60.1;58.5;2.7;
0265000;"City with powiat status Wałbrzych since 2013";91951;43008;40714;2294;38643;10300;52.7;49.9;5.3;42662;22559;21375;1184;14582;5521;60.7;57.6;5.2;49289;20449;19339;1110;24061;4779;45.9;43.4;5.4;
0401000;"Powiat aleksandrowski";45996;24268;22682;1586;19514;2214;55.4;51.8;6.5;22059;13267;12399;868;7641;1151;63.5;59.3;6.5;23937;11001;10283;718;11873;1063;48.1;45.0;6.5;
0402000;"Powiat brodnicki";64528;36319;34865;1454;25024;3185;59.2;56.8;4.0;31748;20398;19669;729;9615;1735;68.0;65.5;3.6;32780;15921;15196;725;15409;1450;50.8;48.5;4.6;
0403000;"Powiat bydgoski";100057;59762;57876;1886;35299;4996;62.9;60.9;3.2;49144;32342;31343;999;14097;2705;69.6;67.5;3.1;50913;27420;26533;887;21202;2291;56.4;54.6;3.2;
0404000;"Powiat chełmiński";42098;22026;21150;876;16680;3392;56.9;54.6;4.0;20381;12274;11804;470;6354;1753;65.9;63.4;3.8;21717;9752;9346;406;10326;1639;48.6;46.5;4.2;
0405000;"Powiat golubsko-dobrzyński";36729;20078;19011;1067;15022;1629;57.2;54.2;5.3;18063;11295;10763;532;5919;849;65.6;62.5;4.7;18666;8783;8248;535;9103;780;49.1;46.1;6.1;
0406000;"Powiat grudziądzki";32248;17973;17021;952;12601;1674;58.8;55.7;5.3;16089;10310;9800;510;4924;855;67.7;64.3;4.9;16159;7663;7221;442;7677;819;50.0;47.1;5.8;
0407000;"Powiat inowrocławski";131885;70311;65826;4485;54708;6866;56.2;52.7;6.4;63168;38873;36638;2235;20521;3774;65.4;61.7;5.7;68717;31438;29188;2250;34187;3092;47.9;44.5;7.2;
0408000;"Powiat lipnowski";53143;28012;26100;1912;22782;2349;55.1;51.4;6.8;26182;15867;14871;996;9074;1241;63.6;59.6;6.3;26961;12145;11229;916;13708;1108;47.0;43.4;7.5;
