"Code";"Name";"total;total;total;2021;[person]";"total;total;economically active population;2021;[person]";"total;total;employed;2021;[person]";"total;total;unemployed;2021;[person]";"total;total;economically inactive persons;2021;[person]";"total;total;unidentified status on the labour market;2021;[person]";"total;total;activity rate;2021;[%]";"total;total;employment rate;2021;[%]";"total;total;unemployment rate;2021;[%]";"total;males;total;2021;[person]";"total;males;economically active population;2021;[person]";"total;males;employed;2021;[person]";"total;males;unemployed;2021;[person]";"total;males;economically inactive persons;2021;[person]";"total;males;unidentified status on the labour market;2021;[person]";"total;males;activity rate;2021;[%]";"total;males;employment rate;2021;[%]";"total;males;unemployment rate;2021;[%]";"total;females;total;2021;[person]";"total;females;economically active population;2021;[person]";"total;females;employed;2021;[person]";"total;females;unemployed;2021;[person]";"total;females;economically inactive persons;2021;[person]";"total;females;unidentified status on the labour market;2021;[person]";"total;females;activity rate;2021;[%]";"total;females;employment rate;2021;[%]";"total;females;unemployment rate;2021;[%]";
1201000;"Powiat bocheński";87192;51638;50188;1450;31705;3849;62.0;60.2;2.8;42638;27915;27138;777;12793;1930;68.6;66.7;2.8;44554;23723;23050;673;18912;1919;55.6;54.1;2.8;
1202000;"Powiat brzeski";76358;44240;42636;1604;27464;4654;61.7;59.5;3.6;37482;24309;23516;793;10901;2272;69.0;66.8;3.3;38876;19931;19120;811;16563;2382;54.6;52.4;4.1;
1203000;"Powiat chrzanowski";104266;53736;51197;2539;45230;5300;54.3;51.7;4.7;49838;28563;27207;1356;18591;2684;60.6;57.7;4.7;54428;25173;23990;1183;26639;2616;48.6;46.3;4.7;
1204000;"Powiat dąbrowski";49154;25866;24395;1471;18800;4488;57.9;54.6;5.7;24185;14346;13562;784;7564;2275;65.5;61.9;5.5;24969;11520;10833;687;11236;2213;50.6;47.6;6.0;
1205000;"Powiat gorlicki";88713;47709;45629;2080;36761;4243;56.5;54.0;4.4;43554;26546;25530;1016;14896;2112;64.1;61.6;3.8;45159;21163;20099;1064;21865;2131;49.2;46.7;5.0;
1206000;"Powiat krakowski";242911;149524;145209;4315;85769;7618;63.5;61.7;2.9;117721;78712;76272;2440;34999;4010;69.2;67.1;3.1;125190;70812;68937;1875;50770;3608;58.2;56.7;2.6;
1207000;"Powiat limanowski";104704;62558;60226;2332;37991;4155;62.2;59.9;3.7;51920;34570;33426;1144;15355;1995;69.2;67.0;3.3;52784;27988;26800;1188;22636;2160;55.3;52.9;4.2;
1208000;"Powiat miechowski";40604;22390;21805;585;17067;1147;56.7;55.3;2.6;19863;12134;11797;337;7109;620;63.1;61.3;2.8;20741;10256;10008;248;9958;527;50.7;49.5;2.4;
1209000;"Powiat myślenicki";104853;64689;62964;1725;36369;3795;64.0;62.3;2.7;51480;34796;33828;968;14784;1900;70.2;68.2;2.8;53373;29893;29136;757;21585;1895;58.1;56.6;2.5;
1210000;"Powiat nowosądecki";171942;99718;95932;3786;64644;7580;60.7;58.4;3.8;85023;55529;53644;1885;25792;3702;68.3;66.0;3.4;86919;44189;42288;1901;38852;3878;53.2;50.9;4.3;
1211000;"Powiat nowotarski";157332;86138;82713;3425;54402;16792;61.3;58.9;4.0;76229;46581;44529;2052;21505;8143;68.4;65.4;4.4;81103;39557;38184;1373;32897;8649;54.6;52.7;3.5;
1212000;"Powiat olkuski";92898;50372;48147;2225;39173;3353;56.3;53.8;4.4;44599;26834;25597;1237;16027;1738;62.6;59.7;4.6;48299;23538;22550;988;23146;1615;50.4;48.3;4.2;
1213000;"Powiat oświęcimski";127715;68466;66163;2303;53475;5774;56.1;54.3;3.4;61308;36462;35304;1158;21854;2992;62.5;60.5;3.2;66407;32004;30859;1145;31621;2782;50.3;48.5;3.6;
1214000;"Powiat proszowicki";36161;21087;20557;530;13719;1355;60.6;59.1;2.5;17765;11480;11163;317;5570;715;67.3;65.5;2.8;18396;9607;9394;213;8149;640;54.1;52.9;2.2;
1215000;"Powiat suski";69041;39527;38218;1309;26980;2534;59.4;57.5;3.3;33824;21574;20811;763;11039;1211;66.2;63.8;3.5;35217;17953;17407;546;15941;1323;53.0;51.4;3.0;
1216000;"Powiat tarnowski";164967;92773;89141;3632;61465;10729;60.1;57.8;3.9;81301;51393;49518;1875;24584;5324;67.6;65.2;3.6;83666;41380;39623;1757;36881;5405;52.9;50.6;4.2;
1217000;"Powiat tatrzański";55976;30300;28750;1550;19836;5840;60.4;57.3;5.1;26643;15759;14795;964;7991;2893;66.4;62.3;6.1;29333;14541;13955;586;11845;2947;55.1;52.9;4.0;
1218000;"Powiat wadowicki";131377;75915;73013;2902;50463;4999;60.1;57.8;3.8;63855;41125;39579;1546;20174;2556;67.1;64.6;3.8;67522;34790;33434;1356;30289;2443;53.5;51.4;3.9;
1219000;"Powiat wielicki";112342;70766;68536;2230;37296;4280;65.5;63.4;3.2;54397;37202;36010;1192;14972;2223;71.3;69.0;3.2;57945;33564;32526;1038;22324;2057;60.1;58.2;3.1;
1261000;"City with powiat status Kraków";689992;421479;407738;13741;230751;37762;64.6;62.5;3.3;317137;209980;202605;7375;88071;19086;70.5;68.0;3.5;372855;211499;205133;6366;142680;18676;59.7;57.9;3.0;
1262000;"City with powiat status Nowy Sącz";68296;36150;34599;1551;26774;5372;57.5;55.0;4.3;32151;19021;18241;780;10448;2682;64.5;61.9;4.1;36145;17129;16358;771;16326;2690;51.2;48.9;4.5;
1263000;"City with powiat status Tarnów";92440;45850;43474;2376;37380;9210;55.1;52.2;5.2;42937;24233;23031;1202;13954;4750;63.5;60.3;5.0;49503;21617;20443;1174;23426;4460;48.0;45.4;5.4;
1401000;"Powiat białobrzeski";27133;16496;15870;626;10091;546;62.0;59.7;3.8;13559;9208;8794;414;4044;307;69.5;66.4;4.5;13574;7288;7076;212;6047;239;54.7;53.1;2.9;
1402000;"Powiat ciechanowski";73086;42011;39878;2133;28713;2362;59.4;56.4;5.1;35665;23038;21820;1218;11222;1405;67.2;63.7;5.3;37421;18973;18058;915;17491;957;52.0;49.5;4.8;
1403000;"Powiat garwoliński";86419;52496;50491;2005;32352;1571;61.9;59.5;3.8;42555;28727;27428;1299;12977;851;68.9;65.8;4.5;43864;23769;23063;706;19375;720;55.1;53.5;3.0;
1404000;"Powiat gostyniński";37128;19813;18592;1221;15816;1499;55.6;52.2;6.2;17847;10866;10142;724;6166;815;63.8;59.5;6.7;19281;8947;8450;497;9650;684;48.1;45.4;5.6;
1405000;"Powiat grodziski";82877;51133;49804;1329;28900;2844;63.9;62.2;2.6;39263;26197;25420;777;11457;1609;69.6;67.5;3.0;43614;24936;24384;552;17443;1235;58.8;57.5;2.2;
1406000;"Powiat grójecki";81860;50162;49208;954;29727;1971;62.8;61.6;1.9;39876;26887;26340;547;11787;1202;69.5;68.1;2.0;41984;23275;22868;407;17940;769;56.5;55.5;1.7;
1407000;"Powiat kozienicki";49407;26865;25539;1326;21187;1355;55.9;53.1;4.9;24179;14884;14144;740;8511;784;63.6;60.5;5.0;25228;11981;11395;586;12676;571;48.6;46.2;4.9;
1408000;"Powiat legionowski";103672;64675;62390;2285;35737;3260;64.4;62.1;3.5;49385;33216;31906;1310;14338;1831;69.8;67.1;3.9;54287;31459;30484;975;21399;1429;59.5;57.7;3.1;
1409000;"Powiat lipski";27732;14884;13891;993;12095;753;55.2;51.5;6.7;13657;8376;7750;626;4895;386;63.1;58.4;7.5;14075;6508;6141;367;7200;367;47.5;44.8;5.6;
1410000;"Powiat łosicki";24926;13825;13388;437;10591;510;56.6;54.8;3.2;12360;7744;7474;270;4326;290;64.2;61.9;3.5;12566;6081;5914;167;6265;220;49.3;47.9;2.7;
1411000;"Powiat makowski";35946;19584;18562;1022;15104;1258;56.5;53.5;5.2;17828;10974;10325;649;6158;696;64.1;60.3;5.9;18118;8610;8237;373;8946;562;49.0;46.9;4.3;
1412000;"Powiat miński";129521;79357;76687;2670;47131;3033;62.7;60.6;3.4;62554;41780;40206;1574;19045;1729;68.7;66.1;3.8;66967;37577;36481;1096;28086;1304;57.2;55.6;2.9;
1413000;"Powiat mławski";58911;33362;31962;1400;23106;2443;59.1;56.6;4.2;28726;18535;17736;799;8819;1372;67.8;64.8;4.3;30185;14827;14226;601;14287;1071;50.9;48.9;4.1;
1414000;"Powiat nowodworski";66845;40558;39036;1522;23964;2323;62.9;60.5;3.8;32276;21532;20638;894;9392;1352;69.6;66.7;4.2;34569;19026;18398;628;14572;971;56.6;54.8;3.3;
1415000;"Powiat ostrołęcki";71675;41160;39391;1769;27338;3177;60.1;57.5;4.3;36230;23407;22408;999;11198;1625;67.6;64.8;4.3;35445;17753;16983;770;16140;1552;52.4;50.1;4.3;
1416000;"Powiat ostrowski";59003;32785;31585;1200;24255;1963;57.5;55.4;3.7;28913;18087;17369;718;9802;1024;64.9;62.3;4.0;30090;14698;14216;482;14453;939;50.4;48.8;3.3;
1417000;"Powiat otwocki";104557;62794;60681;2113;38409;3354;62.0;60.0;3.4;49482;32467;31186;1281;15151;1864;68.2;65.5;3.9;55075;30327;29495;832;23258;1490;56.6;55.0;2.7;
1418000;"Powiat piaseczyński";167531;107801;104807;2994;54620;5110;66.4;64.5;2.8;79422;54712;52979;1733;21973;2737;71.3;69.1;3.2;88109;53089;51828;1261;32647;2373;61.9;60.5;2.4;
1419000;"Powiat płocki";92015;52883;50351;2532;36593;2539;59.1;56.3;4.8;45427;29768;28476;1292;14165;1494;67.8;64.8;4.3;46588;23115;21875;1240;22428;1045;50.8;48.0;5.4;
1420000;"Powiat płoński";71682;41667;39565;2102;28188;1827;59.6;56.6;5.0;34979;22883;21694;1189;11013;1083;67.5;64.0;5.2;36703;18784;17871;913;17175;744;52.2;49.7;4.9;
1421000;"Powiat pruszkowski";145052;90569;88119;2450;49453;5030;64.7;62.9;2.7;68048;45960;44572;1388;19334;2754;70.4;68.3;3.0;77004;44609;43547;1062;30119;2276;59.7;58.3;2.4;
1422000;"Powiat przasnyski";41593;23222;22046;1176;16958;1413;57.8;54.9;5.1;20567;13093;12416;677;6658;816;66.3;62.9;5.2;21026;10129;9630;499;10300;597;49.6;47.1;4.9;
1423000;"Powiat przysuski";33685;17905;16897;1008;14935;845;54.5;51.5;5.6;16587;10073;9458;615;6063;451;62.4;58.6;6.1;17098;7832;7439;393;8872;394;46.9;44.5;5.0;
1424000;"Powiat pułtuski";42312;24374;23209;1165;16727;1211;59.3;56.5;4.8;20696;13151;12443;708;6819;726;65.9;62.3;5.4;21616;11223;10766;457;9908;485;53.1;50.9;4.1;
1425000;"Powiat radomski";124683;69881;64590;5291;50130;4672;58.2;53.8;7.6;61467;38831;35725;3106;20084;2552;65.9;60.6;8.0;63216;31050;28865;2185;30046;2120;50.8;47.2;7.0;
1426000;"Powiat siedlecki";66262;39009;37993;1016;25735;1518;60.3;58.7;2.6;33094;21644;21067;577;10610;840;67.1;65.3;2.7;33168;17365;16926;439;15125;678;53.4;52.1;2.5;
1427000;"Powiat sierpecki";41736;22683;21312;1371;17607;1446;56.3;52.9;6.0;20489;12890;12142;748;6736;863;65.7;61.9;5.8;21247;9793;9170;623;10871;583;47.4;44.4;6.4;
1428000;"Powiat sochaczewski";70099;41995;40650;1345;26352;1752;61.4;59.5;3.2;33828;22438;21622;816;10367;1023;68.4;65.9;3.6;36271;19557;19028;529;15985;729;55.0;53.5;2.7;
1429000;"Powiat sokołowski";43728;24783;23923;860;17929;1016;58.0;56.0;3.5;21513;13705;13183;522;7248;560;65.4;62.9;3.8;22215;11078;10740;338;10681;456;50.9;49.4;3.1;
1430000;"Powiat szydłowiecki";32227;16913;14925;1988;13797;1517;55.1;48.6;11.8;15928;9597;8384;1213;5507;824;63.5;55.5;12.6;16299;7316;6541;775;8290;693;46.9;41.9;10.6;
1432000;"Powiat warszawski zachodni";105864;67072;65508;1564;35948;2844;65.1;63.6;2.3;50506;34564;33681;883;14422;1520;70.6;68.8;2.6;55358;32508;31827;681;21526;1324;60.2;58.9;2.1;
1433000;"Powiat węgrowski";52726;30346;29176;1170;21247;1133;58.8;56.6;3.9;26070;16878;16141;737;8535;657;66.4;63.5;4.4;26656;13468;13035;433;12712;476;51.4;49.8;3.2;
1434000;"Powiat wołomiński";215450;138691;133487;5204;70401;6358;66.3;63.8;3.8;103119;71301;68161;3140;28238;3580;71.6;68.5;4.4;112331;67390;65326;2064;42163;2778;61.5;59.6;3.1;
1435000;"Powiat wyszkowski";60667;36287;35025;1262;22724;1656;61.5;59.4;3.5;29779;19785;19037;748;9022;972;68.7;66.1;3.8;30888;16502;15988;514;13702;684;54.6;52.9;3.1;
1436000;"Powiat zwoleński";29370;16335;15249;1086;12160;875;57.3;53.5;6.6;14507;9151;8472;679;4885;471;65.2;60.4;7.4;14863;7184;6777;407;7275;404;49.7;46.9;5.7;
1437000;"Powiat żuromiński";30870;17229;16114;1115;12912;729;57.2;53.5;6.5;15145;9652;9048;604;5095;398;65.5;61.4;6.3;15725;7577;7066;511;7817;331;49.2;45.9;6.7;
1438000;"Powiat żyrardowski";63617;37048;35447;1601;24458;2111;60.2;57.6;4.3;30114;19213;18230;983;9667;1234;66.5;63.1;5.1;33503;17835;17217;618;14791;877;54.7;52.8;3.5;
1461000;"City with powiat status Ostrołęka";42203;21909;20445;1464;17202;3092;56.0;52.3;6.7;19777;11475;10724;751;6685;1617;63.2;59.1;6.5;22426;10434;9721;713;10517;1475;49.8;46.4;6.8;
1462000;"City with powiat status Płock";98538;52551;49657;2894;40283;5704;56.6;53.5;5.5;45559;27373;26044;1329;14968;3218;64.6;61.5;4.9;52979;25178;23613;1565;25315;2486;49.9;46.8;6.2;
1463000;"City with powiat status Radom";172748;90165;83148;7017;71871;10712;55.6;51.3;7.8;80623;47656;43717;3939;27049;5918;63.8;58.5;8.3;92125;42509;39431;3078;44822;4794;48.7;45.2;7.2;
1464000;"City with powiat status Siedlce";63455;36067;34800;1267;24458;2930;59.6;57.5;3.5;29541;18581;17911;670;9389;1571;66.4;64.0;3.6;33914;17486;16889;597;15069;1359;53.7;51.9;3.4;
1465000;"City with powiat status Capital City Warszawa";1575790;993295;965329;27966;513115;69380;65.9;64.1;2.8;711916;484497;469166;15331;191759;35660;71.6;69.4;3.2;863874;508798;496163;12635;321356;33720;61.3;59.8;2.5;
1601000;"Powiat brzeski";74667;40506;38639;1867;28161;6000;59.0;56.3;4.6;36043;22117;21126;991;10865;3061;67.1;64.1;4.5;38624;18389;17513;876;17296;2939;51.5;49.1;4.8;
1602000;"Powiat głubczycki";38092;18736;17793;943;16114;3242;53.8;51.1;5.0;18600;10572;10027;545;6273;1755;62.8;59.5;5.2;19492;8164;7766;398;9841;1487;45.3;43.1;4.9;
1603000;"Powiat kędzierzyńsko-kozielski";77320;39163;37463;1700;29784;8373;56.8;54.3;4.3;36785;21472;20582;890;11237;4076;65.6;62.9;4.1;40535;17691;16881;810;18547;4297;48.8;46.6;4.6;
1604000;"Powiat kluczborski";54278;28370;27187;1183;20594;5314;57.9;55.5;4.2;26208;15900;15297;603;7688;2620;67.4;64.9;3.8;28070;12470;11890;580;12906;2694;49.1;46.9;4.7;
1605000;"Powiat krapkowicki";52211;27150;26272;878;18723;6338;59.2;57.3;3.2;25047;15107;14688;419;6845;3095;68.8;66.9;2.8;27164;12043;11584;459;11878;3243;50.3;48.4;3.8;
1606000;"Powiat namysłowski";35725;19718;18941;777;13651;2356;59.1;56.8;3.9;17248;10895;10498;397;5150;1203;67.9;65.4;3.6;18477;8823;8443;380;8501;1153;50.9;48.7;4.3;
1607000;"Powiat nyski";114022;57444;54463;2981;46288;10290;55.4;52.5;5.2;54912;31677;30007;1670;17913;5322;63.9;60.5;5.3;59110;25767;24456;1311;28375;4968;47.6;45.2;5.1;
1608000;"Powiat oleski";53429;28198;27497;701;19778;5453;58.8;57.3;2.5;25712;15624;15275;349;7511;2577;67.5;66.0;2.2;27717;12574;12222;352;12267;2876;50.6;49.2;2.8;
1609000;"Powiat opolski";103476;55924;54311;1613;35175;12377;61.4;59.6;2.9;49964;30630;29790;840;13314;6020;69.7;67.8;2.7;53512;25294;24521;773;21861;6357;53.6;52.0;3.1;
1610000;"Powiat prudnicki";45459;23627;22483;1144;17591;4241;57.3;54.5;4.8;21653;13009;12391;618;6544;2100;66.5;63.4;4.8;23806;10618;10092;526;11047;2141;49.0;46.6;5.0;
1611000;"Powiat strzelecki";61872;31988;31029;959;22334;7550;58.9;57.1;3.0;30001;17748;17253;495;8510;3743;67.6;65.7;2.8;31871;14240;13776;464;13824;3807;50.7;49.1;3.3;
1661000;"City with powiat status Opole";109897;62370;60273;2097;38308;9219;61.9;59.9;3.4;50652;31912;30777;1135;14261;4479;69.1;66.7;3.6;59245;30458;29496;962;24047;4740;55.9;54.1;3.2;
1801000;"Powiat bieszczadzki";17953;8993;8348;645;7525;1435;54.4;50.5;7.2;8815;4892;4500;392;3204;719;60.4;55.6;8.0;9138;4101;3848;253;4321;716;48.7;45.7;6.2;
1802000;"Powiat brzozowski";53644;27159;25028;2131;23566;2919;53.5;49.3;7.8;26286;15125;13927;1198;9702;1459;60.9;56.1;7.9;27358;12034;11101;933;13864;1460;46.5;42.9;7.8;
1803000;"Powiat dębicki";111390;60722;57911;2811;43215;7453;58.4;55.7;4.6;54633;34083;32690;1393;16851;3699;66.9;64.2;4.1;56757;26639;25221;1418;26364;3754;50.3;47.6;5.3;
1804000;"Powiat jarosławski";99308;52367;48440;3927;40900;6041;56.1;51.9;7.5;48069;29048;26871;2177;16094;2927;64.3;59.5;7.5;51239;23319;21569;1750;24806;3114;48.5;44.8;7.5;
1805000;"Powiat jasielski";94249;47900;43957;3943;40347;6002;54.3;49.8;8.2;45892;26745;24692;2053;16137;3010;62.4;57.6;7.7;48357;21155;19265;1890;24210;2992;46.6;42.5;8.9;
1806000;"Powiat kolbuszowski";51892;27003;25482;1521;19925;4964;57.5;54.3;5.6;25642;15016;14188;828;8313;2313;64.4;60.8;5.5;26250;11987;11294;693;11612;2651;50.8;47.9;5.8;
1807000;"Powiat krośnieński";92174;48408;46073;2335;39457;4309;55.1;52.4;4.8;45076;27103;25905;1198;15879;2094;63.1;60.3;4.4;47098;21305;20168;1137;23578;2215;47.5;44.9;5.3;
1808000;"Powiat leżajski";57206;28996;26723;2273;23311;4899;55.4;51.1;7.8;28061;16122;14851;1271;9539;2400;62.8;57.9;7.9;29145;12874;11872;1002;13772;2499;48.3;44.6;7.8;
1809000;"Powiat lubaczowski";45890;23811;22272;1539;19018;3061;55.6;52.0;6.5;22675;13289;12380;909;7904;1482;62.7;58.4;6.8;23215;10522;9892;630;11114;1579;48.6;45.7;6.0;
1810000;"Powiat łańcucki";66854;37474;35213;2261;26759;2621;58.3;54.8;6.0;32554;20390;19123;1267;10894;1270;65.2;61.1;6.2;34300;17084;16090;994;15865;1351;51.8;48.8;5.8;
1811000;"Powiat mielecki";112330;63306;60778;2528;41428;7596;60.4;58.0;4.0;54780;34799;33427;1372;16256;3725;68.2;65.5;3.9;57550;28507;27351;1156;25172;3871;53.1;51.0;4.1;
1812000;"Powiat niżański";55297;27767;25553;2214;22203;5327;55.6;51.1;8.0;27151;15655;14414;1241;8843;2653;63.9;58.8;7.9;28146;12112;11139;973;13360;2674;47.6;43.7;8.0;
1813000;"Powiat przemyski";60237;32171;29602;2569;24820;3246;56.4;51.9;8.0;30025;17902;16407;1495;10480;1643;63.1;57.8;8.4;30212;14269;13195;1074;14340;1603;49.9;46.1;7.5;
1814000;"Powiat przeworski";64381;34721;32530;2191;27047;2613;56.2;52.7;6.3;31437;19344;18230;1114;10826;1267;64.1;60.4;5.8;32944;15377;14300;1077;16221;1346;48.7;45.3;7.0;
1815000;"Powiat ropczycko-sędziszowski";60869;33897;31852;2045;23940;3032;58.6;55.1;6.0;29882;18839;17748;1091;9593;1450;66.3;62.4;5.8;30987;15058;14104;954;14347;1582;51.2;48.0;6.3;
1816000;"Powiat rzeszowski";141772;82271;78231;4040;53166;6335;60.7;57.8;4.9;69423;44475;42194;2281;21802;3146;67.1;63.7;5.1;72349;37796;36037;1759;31364;3189;54.7;52.1;4.7;
1817000;"Powiat sanocki";77519;39248;37391;1857;32283;5988;54.9;52.3;4.7;37575;21391;20328;1063;13159;3025;61.9;58.8;5.0;39944;17857;17063;794;19124;2963;48.3;46.1;4.4;
1818000;"Powiat stalowowolski";88588;42778;40667;2111;36512;9298;54.0;51.3;4.9;42625;23592;22472;1120;14468;4565;62.0;59.0;4.7;45963;19186;18195;991;22044;4733;46.5;44.1;5.2;
1819000;"Powiat strzyżowski";50850;27348;25337;2011;20785;2717;56.8;52.6;7.4;25069;15386;14211;1175;8429;1254;64.6;59.7;7.6;25781;11962;11126;836;12356;1463;49.2;45.8;7.0;
1820000;"Powiat tarnobrzeski";44211;22763;21556;1207;18204;3244;55.6;52.6;5.3;21490;12583;11933;650;7339;1568;63.2;59.9;5.2;22721;10180;9623;557;10865;1676;48.4;45.7;5.5;
1821000;"Powiat leski";22132;11472;10527;945;9183;1477;55.5;51.0;8.2;10859;6312;5729;583;3860;687;62.1;56.3;9.2;11273;5160;4798;362;5323;790;49.2;45.8;7.0;
1861000;"City with powiat status Krosno";38698;19212;18202;1010;16608;2878;53.6;50.8;5.3;17958;10158;9609;549;6375;1425;61.4;58.1;5.4;20740;9054;8593;461;10233;1453;46.9;44.6;5.1;
1862000;"City with powiat status Przemyśl";50610;24064;21574;2490;22057;4489;52.2;46.8;10.3;23281;12456;11100;1356;8521;2304;59.4;52.9;10.9;27329;11608;10474;1134;13536;2185;46.2;41.7;9.8;
1863000;"City with powiat status Rzeszów";163811;95724;90672;5052;58517;9570;62.1;58.8;5.3;76649;49276;46569;2707;22687;4686;68.5;64.7;5.5;87162;46448;44103;2345;35830;4884;56.5;53.6;5.0;
1864000;"City with powiat status Tarnobrzeg";39143;19571;18460;1111;16567;3005;54.2;51.1;5.7;18397;10301;9709;592;6596;1500;61.0;57.5;5.7;20746;9270;8751;519;9971;1505;48.2;45.5;5.6;
2001000;"Powiat augustowski";47538;24864;23645;1219;18462;4212;57.4;54.6;4.9;23000;13737;13013;724;7244;2019;65.5;62.0;5.3;24538;11127;10632;495;11218;2193;49.8;47.6;4.4;
2002000;"Powiat białostocki";127761;71010;67616;3394;47522;9229;59.9;57.0;4.8;62489;38372;36288;2084;19396;4721;66.4;62.8;5.4;65272;32638;31328;1310;28126;4508;53.7;51.6;4.0;
2003000;"Powiat bielski";44822;23702;22886;816;18855;2265;55.7;53.8;3.4;21843;13215;12760;455;7513;1115;63.8;61.6;3.4;22979;10487;10126;361;11342;1150;48.0;46.4;3.4;
2004000;"Powiat grajewski";38437;19297;18189;1108;15160;3980;56.0;52.8;5.7;18795;10838;10235;603;5959;1998;64.5;60.9;5.6;19642;8459;7954;505;9201;1982;47.9;45.0;6.0;
2005000;"Powiat hajnowski";35392;16995;16031;964;16615;1782;50.6;47.7;5.7;16989;9349;8735;614;6709;931;58.2;54.4;6.6;18403;7646;7296;350;9906;851;43.6;41.6;4.6;
2006000;"Powiat kolneński";30689;16111;15129;982;11762;2816;57.8;54.3;6.1;15293;9117;8500;617;4749;1427;65.8;61.3;6.8;15396;6994;6629;365;7013;1389;49.9;47.3;5.2;
2007000;"Powiat łomżyński";41615;22512;21694;818;15578;3525;59.1;57.0;3.6;20945;12788;12341;447;6388;1769;66.7;64.4;3.5;20670;9724;9353;371;9190;1756;51.4;49.5;3.8;
2008000;"Powiat moniecki";32922;16420;15825;595;12721;3781;56.3;54.3;3.6;16222;9286;8929;357;5139;1797;64.4;61.9;3.8;16700;7134;6896;238;7582;1984;48.5;46.9;3.3;
2009000;"Powiat sejneński";16462;8760;8186;574;6763;939;56.4;52.7;6.6;8113;4882;4508;374;2785;446;63.7;58.8;7.7;8349;3878;3678;200;3978;493;49.4;46.8;5.2;
2010000;"Powiat siemiatycki";36400;18900;18221;679;15125;2375;55.5;53.6;3.6;17773;10506;10104;402;6130;1137;63.2;60.7;3.8;18627;8394;8117;277;8995;1238;48.3;46.7;3.3;
2011000;"Powiat sokólski";54511;28018;26568;1450;22079;4414;55.9;53.0;5.2;26794;15804;14930;874;8805;2185;64.2;60.7;5.5;27717;12214;11638;576;13274;2229;47.9;45.7;4.7;
2012000;"Powiat suwalski";29003;16502;15971;531;11106;1395;59.8;57.8;3.2;14795;9481;9180;301;4607;707;67.3;65.2;3.2;14208;7021;6791;230;6499;688;51.9;50.2;3.3;
2013000;"Powiat wysokomazowiecki";45950;25537;24637;900;17659;2754;59.1;57.0;3.5;23003;14417;13845;572;7202;1384;66.7;64.0;4.0;22947;11120;10792;328;10457;1370;51.5;50.0;2.9;
2014000;"Powiat zambrowski";35624;19104;18167;937;13479;3041;58.6;55.8;4.9;17557;10731;10193;538;5272;1554;67.1;63.7;5.0;18067;8373;7974;399;8207;1487;50.5;48.1;4.8;
2061000;"City with powiat status Białystok";250073;139839;133296;6543;91427;18807;60.5;57.6;4.7;115302;71367;67456;3911;34553;9382;67.4;63.7;5.5;134771;68472;65840;2632;56874;9425;54.6;52.5;3.8;
2062000;"City with powiat status Łomża";51835;26375;25070;1305;20097;5363;56.8;53.9;4.9;24395;13898;13180;718;7733;2764;64.3;60.9;5.2;27440;12477;11890;587;12364;2599;50.2;47.9;4.7;
2063000;"City with powiat status Suwałki";57989;31654;30234;1420;21240;5095;59.8;57.2;4.5;27355;16439;15656;783;8290;2626;66.5;63.3;4.8;30634;15215;14578;637;12950;2469;54.0;51.8;4.2;
2201000;"Powiat bytowski";63209;35077;33547;1530;23671;4461;59.7;57.1;4.4;31218;19883;19131;752;9157;2178;68.5;65.9;3.8;31991;15194;14416;778;14514;2283;51.1;48.5;5.1;
2202000;"Powiat chojnicki";78820;43068;41334;1734;30880;4872;58.2;55.9;4.0;38456;24107;23282;825;11786;2563;67.2;64.9;3.4;40364;18961;18052;909;19094;2309;49.8;47.4;4.8;
2203000;"Powiat człuchowski";45439;22945;21710;1235;18843;3651;54.9;52.0;5.4;22258;12939;12298;641;7357;1962;63.8;60.6;5.0;23181;10006;9412;594;11486;1689;46.6;43.8;5.9;
2204000;"Powiat gdański";101415;63018;60876;2142;32583;5814;65.9;63.7;3.4;49551;33562;32463;1099;12873;3116;72.3;69.9;3.3;51864;29456;28413;1043;19710;2698;59.9;57.8;3.5;
2205000;"Powiat kartuski";114040;71635;69802;1833;38193;4212;65.2;63.6;2.6;56376;39639;38700;939;14505;2232;73.2;71.5;2.4;57664;31996;31102;894;23688;1980;57.5;55.9;2.8;
2206000;"Powiat kościerski";58341;33321;32007;1314;22106;2914;60.1;57.7;3.9;28842;18750;18063;687;8570;1522;68.6;66.1;3.7;29499;14571;13944;627;13536;1392;51.8;49.6;4.3;
2207000;"Powiat kwidzyński";67536;35706;34229;1477;25545;6285;58.3;55.9;4.1;33076;19499;18757;742;10196;3381;65.7;63.2;3.8;34460;16207;15472;735;15349;2904;51.4;49.0;4.5;
2208000;"Powiat lęborski";53258;27664;26034;1630;21464;4130;56.3;53.0;5.9;25876;15313;14500;813;8390;2173;64.6;61.2;5.3;27382;12351;11534;817;13074;1957;48.6;45.4;6.6;
2209000;"Powiat malborski";52073;27137;25424;1713;20701;4235;56.7;53.1;6.3;25153;14864;14011;853;7937;2352;65.2;61.4;5.7;26920;12273;11413;860;12764;1883;49.0;45.6;7.0;
2210000;"Powiat nowodworski";28844;15015;13959;1056;11592;2237;56.4;52.5;7.0;14240;8507;7943;564;4540;1193;65.2;60.9;6.6;14604;6508;6016;492;7052;1044;48.0;44.4;7.6;
2211000;"Powiat pucki";72764;41494;39791;1703;27535;3735;60.1;57.6;4.1;35680;23122;22188;934;10604;1954;68.6;65.8;4.0;37084;18372;17603;769;16931;1781;52.0;49.9;4.2;
