"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;secondary and post-secondary - general secondary;2021;[person]";"total;secondary and post-secondary - vocational secondary;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";"total;primary not completed and without school education;2021;[person]";"total;unknown;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;secondary and post-secondary - general secondary;2021;[person]";"males;secondary and post-secondary - vocational secondary;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary;2021;[person]";"males;primary completed;2021;[person]";"males;primary not completed and without school education;2021;[person]";"males;unknown;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;secondary and post-secondary - general secondary;2021;[person]";"females;secondary and post-secondary - vocational secondary;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary;2021;[person]";"females;primary completed;2021;[person]";"females;primary not completed and without school education;2021;[person]";"females;unknown;2021;[person]";
0226000;"Powiat złotoryjski";36516;5906;11742;3443;7238;10250;1139;5255;1171;1053;17762;2217;5384;1302;3773;6070;652;2332;548;559;18754;3689;6358;2141;3465;4180;487;2923;623;494;
0261000;"City with powiat status Jelenia Góra";69432;17735;25986;8297;14656;13398;1682;6018;1664;2949;31898;7122;11413;3222;7306;7554;960;2507;807;1535;37534;10613;14573;5075;7350;5844;722;3511;857;1414;
0262000;"City with powiat status Legnica";83631;20807;30470;9772;17293;16447;2364;8187;2101;3255;38915;8251;13774;3936;8869;9251;1397;3399;1074;1769;44716;12556;16696;5836;8424;7196;967;4788;1027;1486;
0264000;"City with powiat status Wrocław";591335;247094;194817;76201;93104;70786;11271;37845;11958;17564;274380;106341;90265;33332;48814;40408;6367;15970;5895;9134;316955;140753;104552;42869;44290;30378;4904;21875;6063;8430;
0265000;"City with powiat status Wałbrzych since 2013";93685;18328;32591;10846;17810;21671;2755;11884;2330;4126;43537;7216;14442;3991;9236;12274;1511;4703;1133;2258;50148;11112;18149;6855;8574;9397;1244;7181;1197;1868;
0401000;"Powiat aleksandrowski";47168;8101;16032;5232;8916;12856;1559;6280;1444;896;22687;2893;7330;2082;4708;7528;914;2778;765;479;24481;5208;8702;3150;4208;5328;645;3502;679;417;
0402000;"Powiat brodnicki";66389;10440;20757;6791;12343;18526;2200;10869;2201;1396;32708;3943;9513;2878;6128;11400;1262;4676;1143;771;33681;6497;11244;3913;6215;7126;938;6193;1058;625;
0403000;"Powiat bydgoski";103150;26519;32151;10976;18348;23420;3554;11439;3551;2516;50745;10861;15388;4355;10215;14136;2088;4938;1872;1462;52405;15658;16763;6621;8133;9284;1466;6501;1679;1054;
0404000;"Powiat chełmiński";43201;6165;13413;4577;7573;12372;1610;6835;1441;1365;20977;2335;6125;1908;3823;7169;894;2964;744;746;22224;3830;7288;2669;3750;5203;716;3871;697;619;
0405000;"Powiat golubsko-dobrzyński";37717;5202;12242;4932;6315;10578;1301;6482;1158;754;18577;1866;5599;1971;3328;6504;745;2849;607;407;19140;3336;6643;2961;2987;4074;556;3633;551;347;
0406000;"Powiat grudziądzki";33300;4552;10090;3483;5771;9402;1282;5982;1217;775;16623;1699;4737;1459;3028;5753;738;2628;627;441;16677;2853;5353;2024;2743;3649;544;3354;590;334;
0407000;"Powiat inowrocławski";135028;22430;48561;15684;28568;35355;3684;18339;3778;2881;64764;8691;22110;6306;14468;20996;2154;7299;1886;1628;70264;13739;26451;9378;14100;14359;1530;11040;1892;1253;
0408000;"Powiat lipnowski";54670;7516;16897;5851;9702;14429;2138;10847;1780;1063;26951;2665;7823;2183;5248;8877;1275;4853;884;574;27719;4851;9074;3668;4454;5552;863;5994;896;489;
0409000;"Powiat mogileński";38325;5683;12997;4106;7777;11434;1162;5253;1178;618;18641;2078;5898;1544;4032;7048;652;2025;589;351;19684;3605;7099;2562;3745;4386;510;3228;589;267;
0410000;"Powiat nakielski";71711;10867;21768;6925;13195;21801;2644;10770;2296;1565;35189;4158;9811;2686;6627;13371;1501;4331;1168;849;36522;6709;11957;4239;6568;8430;1143;6439;1128;716;
0411000;"Powiat radziejowski";34028;4942;11113;2923;7430;8996;1027;6631;1020;299;16699;1754;5318;1088;3988;5576;556;2873;462;160;17329;3188;5795;1835;3442;3420;471;3758;558;139;
0412000;"Powiat rypiński";36136;4944;10937;3492;6576;8857;1326;8193;1247;632;17677;1777;4830;1338;3208;5482;760;3845;619;364;18459;3167;6107;2154;3368;3375;566;4348;628;268;
0413000;"Powiat sępoleński";33826;4453;10323;3099;6225;10243;1260;5643;1210;694;16738;1594;4503;1112;3094;6587;718;2307;632;397;17088;2859;5820;1987;3131;3656;542;3336;578;297;
0414000;"Powiat świecki";82391;11992;26117;8695;15008;24514;2722;12214;2714;2118;40287;4499;11805;3403;7721;14715;1561;5129;1423;1155;42104;7493;14312;5292;7287;9799;1161;7085;1291;963;
0415000;"Powiat toruński";93299;18311;29935;10543;16582;23134;3480;13085;3327;2027;45827;7260;14187;4345;9070;13730;2058;5726;1752;1114;47472;11051;15748;6198;7512;9404;1422;7359;1575;913;
0416000;"Powiat tucholski";40210;5628;11909;3532;7438;13008;1540;6115;1330;680;19929;2061;5302;1298;3729;8031;877;2584;703;371;20281;3567;6607;2234;3709;4977;663;3531;627;309;
0417000;"Powiat wąbrzeski";28488;3834;9149;2821;5403;8020;1144;4725;886;730;14059;1450;4132;1135;2728;4927;629;2091;453;377;14429;2384;5017;1686;2675;3093;515;2634;433;353;
0418000;"Powiat włocławski";72400;10897;22599;7834;12939;18670;2337;14584;2357;956;35669;3877;10663;2977;7112;11658;1350;6414;1161;546;36731;7020;11936;4857;5827;7012;987;8170;1196;410;
0419000;"Powiat żniński";58848;8783;19257;5477;12421;18316;1811;7850;1778;1053;28808;3244;8622;2017;6202;11335;1042;3077;884;604;30040;5539;10635;3460;6219;6981;769;4773;894;449;
0461000;"City with powiat status Bydgoszcz";297903;86628;102430;34518;57112;59106;7598;25903;6810;9428;137658;36124;45238;13615;28629;33277;4356;10167;3432;5064;160245;50504;57192;20903;28483;25829;3242;15736;3378;4364;
0462000;"City with powiat status Grudziądz";79760;14605;29252;10442;15157;18973;2391;9523;2161;2855;37314;5893;13018;4248;7700;10754;1333;3670;1093;1553;42446;8712;16234;6194;7457;8219;1058;5853;1068;1302;
0463000;"City with powiat status Toruń";174283;52847;60939;20544;32796;31228;4518;15406;3958;5387;80008;21690;27548;8673;16624;17079;2591;6276;1999;2825;94275;31157;33391;11871;16172;14149;1927;9130;1959;2562;
0464000;"City with powiat status Włocławek";93166;20232;34112;12414;17819;20253;2585;10881;2289;2814;43007;7862;15164;4730;9348;11404;1459;4504;1107;1507;50159;12370;18948;7684;8471;8849;1126;6377;1182;1307;
0601000;"Powiat bialski";91805;17063;31990;10266;19044;20802;2974;14100;3233;1643;45529;6408;15713;4134;10742;12662;1761;6517;1535;933;46276;10655;16277;6132;8302;8140;1213;7583;1698;710;
0602000;"Powiat biłgorajski";85748;16573;29059;8669;17865;19207;2311;13849;2996;1753;41894;6019;14169;3231;10126;11746;1311;6371;1372;906;43854;10554;14890;5438;7739;7461;1000;7478;1624;847;
0603000;"Powiat chełmski";65266;10110;21813;6283;13865;15035;2295;12420;2250;1343;32230;3745;10597;2295;7834;8943;1354;5765;1059;767;33036;6365;11216;3988;6031;6092;941;6655;1191;576;
0604000;"Powiat hrubieszowski";52616;8472;19181;6144;11317;11064;1453;9583;1588;1275;25593;3248;8951;2312;6148;6699;850;4399;750;696;27023;5224;10230;3832;5169;4365;603;5184;838;579;
0605000;"Powiat janowski";38523;6981;12214;4000;7047;8739;1026;7391;1357;815;19022;2572;5952;1523;4082;5390;602;3462;620;424;19501;4409;6262;2477;2965;3349;424;3929;737;391;
0606000;"Powiat krasnostawski";54201;9502;20272;4837;13341;10938;1505;9201;1743;1040;26290;3552;9705;1749;7455;6596;901;4099;889;548;27911;5950;10567;3088;5886;4342;604;5102;854;492;
0607000;"Powiat kraśnicki";80681;14513;29576;9738;16326;17811;2241;12179;2370;1991;38829;5291;13961;3809;9090;10543;1322;5571;1131;1010;41852;9222;15615;5929;7236;7268;919;6608;1239;981;
0608000;"Powiat lubartowski";74278;13714;23756;7299;13954;17891;2207;13010;2455;1245;36088;5040;11082;2737;7620;10947;1277;5937;1165;640;38190;8674;12674;4562;6334;6944;930;7073;1290;605;
0609000;"Powiat lubelski";136865;34443;47207;13804;29170;26238;4047;18014;4728;2188;66604;13493;23281;5653;16324;15721;2343;8226;2326;1214;70261;20950;23926;8151;12846;10517;1704;9788;2402;974;
0610000;"Powiat łęczyński";47801;9405;17473;4596;11122;10288;1464;6740;1504;927;23271;3346;8556;1770;6230;6277;816;3038;724;514;24530;6059;8917;2826;4892;4011;648;3702;780;413;
0611000;"Powiat łukowski";86678;15056;27561;9490;15631;21515;2794;15217;3165;1370;42772;5204;13243;4052;8490;12944;1609;7389;1599;784;43906;9852;14318;5438;7141;8571;1185;7828;1566;586;
0612000;"Powiat opolski";49813;8100;18061;4983;11319;11489;1466;8073;1570;1054;24096;2954;8442;1831;6084;6872;816;3660;782;570;25717;5146;9619;3152;5235;4617;650;4413;788;484;
0613000;"Powiat parczewski";29015;5219;10586;2849;6488;5975;868;4868;859;640;14209;1935;5045;1088;3578;3700;516;2213;433;367;14806;3284;5541;1761;2910;2275;352;2655;426;273;
0614000;"Powiat puławski";96299;22591;35154;9180;22196;20332;2659;10900;2767;1896;45523;8689;16135;3892;11185;12063;1575;4719;1351;991;50776;13902;19019;5288;11011;8269;1084;6181;1416;905;
0615000;"Powiat radzyński";48525;8163;16502;5199;9516;11838;1714;7880;1630;798;24027;2928;7795;2063;5231;7261;1008;3779;812;444;24498;5235;8707;3136;4285;4577;706;4101;818;354;
0616000;"Powiat rycki";45801;8991;18405;4705;12117;9572;1258;5350;1521;704;22490;3554;9156;1862;6833;5659;726;2300;690;405;23311;5437;9249;2843;5284;3913;532;3050;831;299;
0617000;"Powiat świdnicki";61549;15328;23288;6948;13794;11267;1653;7001;1787;1225;29341;5986;11082;2642;7756;6675;1003;3039;892;664;32208;9342;12206;4306;6038;4592;650;3962;895;561;
0618000;"Powiat tomaszowski";69919;12474;24493;7301;14994;15097;2015;11923;2231;1686;34157;4701;11576;2669;8230;9419;1202;5300;1068;891;35762;7773;12917;4632;6764;5678;813;6623;1163;795;
0619000;"Powiat włodawski";31818;5782;11671;3688;6847;6141;1008;5432;1049;735;15584;2248;5530;1396;3835;3743;608;2542;508;405;16234;3534;6141;2292;3012;2398;400;2890;541;330;
0620000;"Powiat zamojski";90075;15798;30610;9110;18810;21096;2727;14854;3093;1897;44202;5775;14630;3401;10456;13028;1568;6748;1462;991;45873;10023;15980;5709;8354;8068;1159;8106;1631;906;
0661000;"City with powiat status Biała Podlaska";47883;14502;18378;6159;9944;7846;1124;3664;1254;1115;22541;5870;8467;2602;5189;4612;679;1680;633;600;25342;8632;9911;3557;4755;3234;445;1984;621;515;
0662000;"City with powiat status Chełm";52801;14746;20861;6369;12165;8308;1368;4832;1349;1337;24338;5782;9567;2485;6482;4717;806;2074;672;720;28463;8964;11294;3884;5683;3591;562;2758;677;617;
0663000;"City with powiat status Lublin";292096;114470;100686;36381;50861;35631;6688;20173;6713;7735;132652;46700;45606;15043;26569;19981;3765;9162;3416;4022;159444;67770;55080;21338;24292;15650;2923;11011;3297;3713;
0664000;"City with powiat status Zamość";53035;15533;21198;7323;11065;8034;1238;4236;1338;1458;24519;6142;9735;2875;6022;4628;701;1893;653;767;28516;9391;11463;4448;5043;3406;537;2343;685;691;
0801000;"Powiat gorzowski";61787;12507;20033;6774;11445;14677;2154;8325;2266;1825;30494;4952;9357;2636;6183;9058;1232;3753;1106;1036;31293;7555;10676;4138;5262;5619;922;4572;1160;789;
0802000;"Powiat krośnieński";46906;7204;16705;6177;8988;12237;1500;6236;1510;1514;22874;2830;7628;2555;4653;7258;874;2698;755;831;24032;4374;9077;3622;4335;4979;626;3538;755;683;
0803000;"Powiat międzyrzecki";48528;8302;16828;4544;10689;12575;1449;6264;1774;1336;23723;3273;7798;1833;5517;7570;817;2690;872;703;24805;5029;9030;2711;5172;5005;632;3574;902;633;
0804000;"Powiat nowosolski";72448;11914;26326;7996;15745;18023;2402;9176;2376;2231;34998;4592;11827;2877;8223;10843;1412;3959;1135;1230;37450;7322;14499;5119;7522;7180;990;5217;1241;1001;
0805000;"Powiat słubicki";40014;6908;14579;4769;8470;8770;1389;5404;1395;1569;19444;2714;6716;1956;4358;5234;805;2450;674;851;20570;4194;7863;2813;4112;3536;584;2954;721;718;
0806000;"Powiat strzelecko-drezdenecki";41296;5984;13065;4389;7451;11792;1299;6896;1455;805;20319;2155;5933;1630;3965;7221;712;3112;748;438;20977;3829;7132;2759;3486;4571;587;3784;707;367;
0807000;"Powiat sulęciński";29313;4566;10576;3569;6054;7280;953;4008;1010;920;14551;1747;5062;1421;3348;4474;532;1744;495;497;14762;2819;5514;2148;2706;2806;421;2264;515;423;
0808000;"Powiat świebodziński";47209;8186;16714;5516;9605;12299;1430;5687;1565;1328;22898;3153;7588;2217;4922;7342;840;2498;801;676;24311;5033;9126;3299;4683;4957;590;3189;764;652;
0809000;"Powiat zielonogórski";64482;11985;21763;7499;12201;17314;1962;7718;2092;1648;31618;4695;9933;2949;6407;10547;1107;3390;1050;896;32864;7290;11830;4550;5794;6767;855;4328;1042;752;
0810000;"Powiat żagański";66221;10414;24427;6708;15387;16258;2115;8778;2140;2089;32003;3992;11328;2693;7919;9543;1207;3724;1048;1161;34218;6422;13099;4015;7468;6715;908;5054;1092;928;
0811000;"Powiat żarski";81270;12877;29512;9286;17753;21063;2584;10091;2644;2499;39126;5010;13481;3615;9100;12222;1469;4349;1276;1319;42144;7867;16031;5671;8653;8841;1115;5742;1368;1180;
0812000;"Powiat wschowski";32541;4791;10439;3111;6261;10068;1059;4121;1165;898;15883;1709;4729;1157;3264;5920;600;1847;579;499;16658;3082;5710;1954;2997;4148;459;2274;586;399;
0861000;"City with powiat status Gorzów Wielkopolski";105129;26205;38169;13804;20206;21041;2913;10156;2973;3672;49087;10574;16655;5026;10495;12478;1661;4232;1508;1979;56042;15631;21514;8778;9711;8563;1252;5924;1465;1693;
0862000;"City with powiat status Zielona Góra";121615;39961;43670;16204;22416;19436;2858;9021;3145;3524;56781;16991;19318;6362;11461;11575;1641;3914;1568;1774;64834;22970;24352;9842;10955;7861;1217;5107;1577;1750;
1001000;"Powiat bełchatowski";94355;20540;33260;12118;17829;20591;2412;13146;2917;1489;45819;7676;15914;5011;9955;12553;1454;5914;1449;859;48536;12864;17346;7107;7874;8038;958;7232;1468;630;
1002000;"Powiat kutnowski";82354;14732;30042;8876;18278;18356;2266;13364;2254;1340;39154;5519;13775;3223;9770;10850;1321;5780;1121;788;43200;9213;16267;5653;8508;7506;945;7584;1133;552;
1003000;"Powiat łaski";42945;8173;14860;5261;8300;10248;1219;6388;1304;753;20702;2976;6980;2119;4480;6073;731;2891;639;412;22243;5197;7880;3142;3820;4175;488;3497;665;341;
1004000;"Powiat łęczycki";41967;6504;14396;4256;9092;8982;1410;8837;1358;480;20234;2392;6815;1607;4874;5329;814;3964;648;272;21733;4112;7581;2649;4218;3653;596;4873;710;208;
1005000;"Powiat łowicki";65783;12644;23956;6470;15778;14588;1823;9938;1964;870;31560;4616;11444;2596;8307;8746;1023;4317;919;495;34223;8028;12512;3874;7471;5842;800;5621;1045;375;
1006000;"Powiat łódzki wschodni";63333;15478;22849;8150;12610;11382;1775;8866;2088;895;30135;6046;10947;3246;7084;6646;1004;3992;993;507;33198;9432;11902;4904;5526;4736;771;4874;1095;388;
1007000;"Powiat opoczyński";63071;11010;21879;8256;12125;14335;1639;11389;2274;545;31057;3915;10893;3475;6929;8846;934;5126;1044;299;32014;7095;10986;4781;5196;5489;705;6263;1230;246;
1008000;"Powiat pabianicki";104780;24650;38115;14115;20053;19214;2735;14622;3002;2442;48754;9501;17775;5851;10695;10613;1587;6531;1425;1322;56026;15149;20340;8264;9358;8601;1148;8091;1577;1120;
1009000;"Powiat pajęczański";43197;7000;13340;4786;7410;11996;1187;7613;1551;510;21289;2429;6292;1807;4163;7643;693;3232;720;280;21908;4571;7048;2979;3247;4353;494;4381;831;230;
1010000;"Powiat piotrkowski";77845;12906;27146;9060;16186;17363;2439;14189;2705;1097;38176;4451;13241;3605;9035;10638;1453;6440;1325;628;39669;8455;13905;5455;7151;6725;986;7749;1380;469;
1011000;"Powiat poddębicki";34719;5524;11218;3462;6906;8486;1071;6892;1115;413;16983;1928;5414;1469;3686;5062;622;3190;531;236;17736;3596;5804;1993;3220;3424;449;3702;584;177;
1012000;"Powiat radomszczański";95905;16988;32746;9937;20011;23353;2804;15526;2892;1596;46660;6069;15345;3567;10989;14581;1659;6691;1445;870;49245;10919;17401;6370;9022;8772;1145;8835;1447;726;
1013000;"Powiat rawski";40520;7270;14199;4393;8742;9478;1072;6636;1284;581;19741;2568;6773;1693;4739;5653;603;3170;657;317;20779;4702;7426;2700;4003;3825;469;3466;627;264;
1014000;"Powiat sieradzki";98842;18638;33389;12554;18040;23656;2843;15878;3054;1384;47836;6728;15531;4985;9747;14442;1670;7215;1499;751;51006;11910;17858;7569;8293;9214;1173;8663;1555;633;
1015000;"Powiat skierniewicki";32376;5724;10869;3125;7143;8287;1082;5018;1087;309;15961;2021;5428;1226;4027;5028;636;2134;543;171;16415;3703;5441;1899;3116;3259;446;2884;544;138;
1016000;"Powiat tomaszowski";98105;18386;35241;10776;21610;22631;2680;14315;3084;1768;46421;6711;16655;4150;11621;12834;1568;6227;1455;971;51684;11675;18586;6626;9989;9797;1112;8088;1629;797;
1017000;"Powiat wieluński";64350;11451;20609;6210;12548;18818;1769;8643;2100;960;31225;4066;9377;2216;6670;11607;988;3667;1004;516;33125;7385;11232;3994;5878;7211;781;4976;1096;444;
1018000;"Powiat wieruszowski";36068;5640;11433;2604;7926;11279;1111;5094;1162;349;17794;1919;5248;880;4143;6923;658;2245;604;197;18274;3721;6185;1724;3783;4356;453;2849;558;152;
1019000;"Powiat zduńskowolski";56056;10526;20632;8096;10437;12587;1852;7697;1734;1028;26872;3885;9619;3126;5912;7274;1133;3515;865;581;29184;6641;11013;4970;4525;5313;719;4182;869;447;
1020000;"Powiat zgierski";145493;33894;52511;18636;28203;27813;4316;19618;4245;3096;68632;13041;24423;7855;14761;16024;2536;8803;2085;1720;76861;20853;28088;10781;13442;11789;1780;10815;2160;1376;
1021000;"Powiat brzeziński";26323;4845;9308;3158;5499;6037;734;4272;790;337;12606;1780;4464;1262;2990;3432;450;1914;379;187;13717;3065;4844;1896;2509;2605;284;2358;411;150;
