"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary, primary, primary not completed and without school education;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary, primary, primary not completed and without school education;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary, primary, primary not completed and without school education;2021;[person]";
0418000;"Powiat włocławski";36307;8558;13923;10210;3445;20597;3137;7746;7277;2318;15710;5421;6177;2933;1127;
0419000;"Powiat żniński";29591;6781;11333;9476;1780;17091;2588;6131;7021;1188;12500;4193;5202;2455;592;
0461000;"City with powiat status Bydgoszcz";149713;64115;51981;24426;7192;77625;27374;27820;16575;4550;72088;36741;24161;7851;2642;
0462000;"City with powiat status Grudziądz";36261;10276;15489;7660;2287;19381;4180;8102;5283;1450;16880;6096;7387;2377;837;
0463000;"City with powiat status Toruń";88317;39416;30863;12613;4445;45129;16669;16816;8254;2747;43188;22747;14047;4359;1698;
0464000;"City with powiat status Włocławek";42377;14497;16585;8332;2499;22302;5736;9069;5624;1560;20075;8761;7516;2708;939;
0601000;"Powiat bialski";45518;13163;18275;10753;2943;25435;5111;10459;7410;2185;20083;8052;7816;3343;758;
0602000;"Powiat biłgorajski";42571;12393;16581;10666;2664;23592;4682;9523;7303;1898;18979;7711;7058;3363;766;
0603000;"Powiat chełmski";30052;7578;12400;7035;2761;17022;2921;7051;4862;1979;13030;4657;5349;2173;782;
0604000;"Powiat hrubieszowski";23429;6140;9991;5240;1844;12905;2417;5438;3604;1296;10524;3723;4553;1636;548;
0605000;"Powiat janowski";18673;5199;6965;4898;1435;10371;1967;3887;3331;1057;8302;3232;3078;1567;378;
0606000;"Powiat krasnostawski";24432;6861;10888;5031;1480;13471;2653;6201;3462;1036;10961;4208;4687;1569;444;
0607000;"Powiat kraśnicki";37756;10590;15997;8468;2455;20346;3919;8863;5678;1713;17410;6671;7134;2790;742;
0608000;"Powiat lubartowski";37357;10643;13807;9718;2906;20382;4037;7543;6549;2078;16975;6606;6264;3169;828;
0609000;"Powiat lubelski";75684;28298;29195;14005;3599;40381;11415;16531;9482;2568;35303;16883;12664;4523;1031;
0610000;"Powiat łęczyński";24652;7380;10647;4920;1512;13391;2741;6139;3345;1042;11261;4639;4508;1575;470;
0611000;"Powiat łukowski";45834;11988;16999;12497;3944;25469;4253;9596;8442;2897;20365;7735;7403;4055;1047;
0612000;"Powiat opolski";24511;6070;10478;5903;1822;13300;2280;5643;3967;1251;11211;3790;4835;1936;571;
0613000;"Powiat parczewski";13766;3861;5920;2903;952;7611;1475;3310;2067;661;6155;2386;2610;836;291;
0614000;"Powiat puławski";47043;16726;18512;9312;2049;25043;6662;10295;6368;1436;22000;10064;8217;2944;613;
0615000;"Powiat radzyński";24846;6278;9858;6521;1966;13836;2332;5438;4433;1481;11010;3946;4420;2088;485;
0616000;"Powiat rycki";23204;6852;10570;4749;832;12810;2745;6172;3194;562;10394;4107;4398;1555;270;
0617000;"Powiat świdnicki";30367;11704;12259;4889;1273;16039;4674;6933;3378;884;14328;7030;5326;1511;389;
0618000;"Powiat tomaszowski";33316;9102;13550;7942;2424;18423;3536;7454;5588;1649;14893;5566;6096;2354;775;
0619000;"Powiat włodawski";14098;4221;5910;2696;1139;7795;1686;3351;1866;796;6303;2535;2559;830;343;
0620000;"Powiat zamojski";43793;11871;17251;11310;3035;24301;4444;9703;7759;2168;19492;7427;7548;3551;867;
