"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary, primary, primary not completed and without school education;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary, primary, primary not completed and without school education;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary, primary, primary not completed and without school education;2021;[person]";
1814000;"Powiat przeworski";32530;9326;13519;7935;1581;18230;3640;7721;5648;1108;14300;5686;5798;2287;473;
1815000;"Powiat ropczycko-sędziszowski";31852;8769;14048;7252;1646;17748;3461;7969;5063;1177;14104;5308;6079;2189;469;
1816000;"Powiat rzeszowski";78231;26868;30390;17254;3236;42194;10895;16796;11916;2288;36037;15973;13594;5338;948;
1817000;"Powiat sanocki";37391;11811;14594;8656;2067;20328;4736;8186;5871;1363;17063;7075;6408;2785;704;
1818000;"Powiat stalowowolski";40667;13722;15910;8374;2224;22472;5745;9009;5904;1533;18195;7977;6901;2470;691;
1819000;"Powiat strzyżowski";25337;6871;9782;7266;1297;14211;2636;5292;5326;879;11126;4235;4490;1940;418;
1820000;"Powiat tarnobrzeski";21556;6016;8823;5524;1049;11933;2276;4961;3847;742;9623;3740;3862;1677;307;
1821000;"Powiat leski";10527;3091;4214;2366;782;5729;1271;2271;1593;543;4798;1820;1943;773;239;
1861000;"City with powiat status Krosno";18202;8230;6862;2485;463;9609;3612;3829;1746;306;8593;4618;3033;739;157;
1862000;"City with powiat status Przemyśl";21574;9673;8524;2534;664;11100;4025;4787;1774;411;10474;5648;3737;760;253;
1863000;"City with powiat status Rzeszów";90672;53222;27311;7661;1667;46569;23933;15714;5271;1140;44103;29289;11597;2390;527;
1864000;"City with powiat status Tarnobrzeg";18460;7738;7218;2902;456;9709;3187;4103;2033;289;8751;4551;3115;869;167;
2001000;"Powiat augustowski";23645;6667;9741;5061;1911;13013;2611;5381;3552;1297;10632;4056;4360;1509;614;
2002000;"Powiat białostocki";67616;25333;26284;11617;3773;36288;10292;14661;8180;2728;31328;15041;11623;3437;1045;
2003000;"Powiat bielski";22886;6679;9462;4679;1877;12760;2662;5190;3418;1359;10126;4017;4272;1261;518;
2004000;"Powiat grajewski";18189;4366;7460;3978;2136;10235;1614;4060;2984;1406;7954;2752;3400;994;730;
2005000;"Powiat hajnowski";16031;5175;6904;2880;902;8735;2118;3802;2039;661;7296;3057;3102;841;241;
2006000;"Powiat kolneński";15129;3562;5301;3985;2149;8500;1313;2888;2717;1495;6629;2249;2413;1268;654;
2007000;"Powiat łomżyński";21694;5305;7978;5574;2616;12341;2056;4418;3874;1841;9353;3249;3560;1700;775;
2008000;"Powiat moniecki";15825;3474;6456;3729;2056;8929;1275;3535;2632;1418;6896;2199;2921;1097;638;
2009000;"Powiat sejneński";8186;2432;3456;1296;911;4508;899;1914;983;648;3678;1533;1542;313;263;
2010000;"Powiat siemiatycki";18221;4605;7408;4055;2023;10104;1835;3929;2833;1429;8117;2770;3479;1222;594;
2011000;"Powiat sokólski";26568;6658;12112;5129;2439;14930;2638;6917;3535;1697;11638;4020;5195;1594;742;
2012000;"Powiat suwalski";15971;3973;6351;3609;1897;9180;1559;3573;2590;1366;6791;2414;2778;1019;531;
2013000;"Powiat wysokomazowiecki";24637;6486;10454;5606;1878;13845;2510;5913;3959;1333;10792;3976;4541;1647;545;
2014000;"Powiat zambrowski";18167;5042;6944;4342;1628;10193;1933;3862;3051;1192;7974;3109;3082;1291;436;
2061000;"City with powiat status Białystok";133296;67211;46605;14286;4086;67456;27962;26177;9776;2850;65840;39249;20428;4510;1236;
2062000;"City with powiat status Łomża";25070;10449;9136;4136;1124;13180;4272;4996;2980;776;11890;6177;4140;1156;348;
2063000;"City with powiat status Suwałki";30234;11154;11946;4757;2065;15656;4314;6401;3360;1374;14578;6840;5545;1397;691;
2201000;"Powiat bytowski";33547;7495;11553;10630;3515;19131;2663;6175;7747;2301;14416;4832;5378;2883;1214;
2202000;"Powiat chojnicki";41334;9901;14755;13160;3007;23282;3707;7844;9433;1962;18052;6194;6911;3727;1045;
2203000;"Powiat człuchowski";21710;5057;8103;6137;2115;12298;1864;4341;4421;1467;9412;3193;3762;1716;648;
2204000;"Powiat gdański";60876;23374;21714;11046;3853;32463;9535;12203;7691;2472;28413;13839;9511;3355;1381;
2205000;"Powiat kartuski";69802;20121;23862;19031;5973;38700;7640;13107;13564;3865;31102;12481;10755;5467;2108;
2206000;"Powiat kościerski";32007;7232;11975;10153;2317;18063;2516;6509;7211;1592;13944;4716;5466;2942;725;
2207000;"Powiat kwidzyński";34229;8353;13939;8547;2785;18757;3294;7309;6054;1713;15472;5059;6630;2493;1072;
2208000;"Powiat lęborski";26034;7212;9761;6456;2210;14500;2760;5287;4715;1461;11534;4452;4474;1741;749;
2209000;"Powiat malborski";25424;7198;10143;5914;1824;14011;2837;5523;4208;1196;11413;4361;4620;1706;628;
2210000;"Powiat nowodworski";13959;3224;5392;3900;1227;7943;1206;2953;2813;837;6016;2018;2439;1087;390;
2211000;"Powiat pucki";39791;12194;14677;9526;2833;22188;4884;8257;6911;1769;17603;7310;6420;2615;1064;
2212000;"Powiat słupski";41914;10897;14962;11246;4326;23143;4226;8083;7792;2733;18771;6671;6879;3454;1593;
2213000;"Powiat starogardzki";53916;12988;20542;15408;4349;30137;4793;10878;11134;2915;23779;8195;9664;4274;1434;
2214000;"Powiat tczewski";48953;12849;18710;12937;3764;27235;5087;10038;9210;2439;21718;7762;8672;3727;1325;
2215000;"Powiat wejherowski";101627;32285;36507;23092;7972;55666;12732;20263;16203;5317;45961;19553;16244;6889;2655;
2216000;"Powiat sztumski";15727;3285;6077;4538;1559;9102;1201;3253;3366;1087;6625;2084;2824;1172;472;
2261000;"City with powiat status Gdańsk";235124;125799;73258;24070;8223;119379;54593;40883;16465;5056;115745;71206;32375;7605;3167;
2262000;"City with powiat status Gdynia";111547;56367;36552;12886;4075;56755;24488;20156;8647;2450;54792;31879;16396;4239;1625;
2263000;"City with powiat status Słupsk";37202;14047;14248;6548;1841;18992;5544;7603;4391;1128;18210;8503;6645;2157;713;
2264000;"City with powiat status Sopot";14135;7923;4367;1182;451;7216;3549;2443;798;290;6919;4374;1924;384;161;
2401000;"Powiat będziński";65280;25317;26156;10307;2843;34151;10304;14474;7160;1765;31129;15013;11682;3147;1078;
2402000;"Powiat bielski";77809;24973;29729;19268;3158;41334;10102;16043;12647;2108;36475;14871;13686;6621;1050;
2403000;"Powiat cieszyński";78806;22845;29978;20988;4163;41813;9162;15527;13880;2733;36993;13683;14451;7108;1430;
2404000;"Powiat częstochowski";60326;17766;23620;15345;3156;33017;7008;13006;10621;2086;27309;10758;10614;4724;1070;
2405000;"Powiat gliwicki";50006;15463;19307;12315;2426;26994;6356;10420;8362;1523;23012;9107;8887;3953;903;
2406000;"Powiat kłobucki";38626;10662;14644;11547;1560;21354;4078;7964;8103;1062;17272;6584;6680;3444;498;
2407000;"Powiat lubliniecki";32993;9268;12229;9540;1730;18375;3661;6735;6609;1219;14618;5607;5494;2931;511;
2408000;"Powiat mikołowski";45465;17020;17085;9397;1525;24355;7154;9465;6510;938;21110;9866;7620;2887;587;
2409000;"Powiat myszkowski";30001;9781;12249;6226;1517;16243;3824;6928;4369;965;13758;5957;5321;1857;552;
2410000;"Powiat pszczyński";51391;15394;19124;14255;2180;27943;6074;10441;9711;1433;23448;9320;8683;4544;747;
2411000;"Powiat raciborski";42514;12388;15071;12071;2570;23330;5039;8024;8315;1660;19184;7349;7047;3756;910;
2412000;"Powiat rybnicki";32507;8884;12108;9657;1574;18341;3665;6698;6782;997;14166;5219;5410;2875;577;
2413000;"Powiat tarnogórski";60847;23080;23589;11157;2482;33062;9916;13342;7790;1646;27785;13164;10247;3367;836;
2414000;"Powiat bieruńsko-lędziński";27603;8956;10854;6347;1212;14746;3608;6090;4102;779;12857;5348;4764;2245;433;
2415000;"Powiat wodzisławski";62232;18004;23369;17210;3071;34497;7302;12935;11879;1973;27735;10702;10434;5331;1098;
2416000;"Powiat zawierciański";49370;16513;21409;9203;1882;26701;6519;12224;6438;1270;22669;9994;9185;2765;612;
2417000;"Powiat żywiecki";66080;19397;26816;16114;3127;35237;7332;14499;10897;2108;30843;12065;12317;5217;1019;
2461000;"City with powiat status Bielsko-Biała";76716;30993;27461;13838;3316;40077;13423;14788;8994;2152;36639;17570;12673;4844;1164;
2462000;"City with powiat status Bytom";62638;19085;26074;12295;4043;33428;7830;14095;8287;2474;29210;11255;11979;4008;1569;
2463000;"City with powiat status Chorzów";45720;15291;17739;8737;3240;23913;6274;9419;5867;1887;21807;9017;8320;2870;1353;
2464000;"City with powiat status Częstochowa";93129;38982;35065;14195;3843;48779;16953;19350;9436;2384;44350;22029;15715;4759;1459;
2465000;"City with powiat status Dąbrowa Górnicza";52073;19703;20990;8484;2230;27437;8093;11717;5826;1369;24636;11610;9273;2658;861;
2466000;"City with powiat status Gliwice";79619;33696;28647;12240;3842;42354;15116;15798;8243;2420;37265;18580;12849;3997;1422;
2467000;"City with powiat status Jastrzębie-Zdrój";33604;9188;13509;8233;2210;18197;3480;7219;5769;1391;15407;5708;6290;2464;819;
2468000;"City with powiat status Jaworzno";39323;13888;16846;6412;1742;20702;5477;9544;4298;1079;18621;8411;7302;2114;663;
2469000;"City with powiat status Katowice";133428;62230;44960;18489;6069;68494;27263;24298;12245;3605;64934;34967;20662;6244;2464;
2470000;"City with powiat status Mysłowice";32415;11788;12707;5905;1610;17085;4861;7043;3958;963;15330;6927;5664;1947;647;
2471000;"City with powiat status Piekary Śląskie";22167;7073;9121;4538;1213;11866;2864;5100;3030;725;10301;4209;4021;1508;488;
2472000;"City with powiat status Ruda Śląska";57217;17800;22936;12210;3552;30841;7173;12690;8249;2248;26376;10627;10246;3961;1304;
2473000;"City with powiat status Rybnik";56232;18185;21655;13010;2760;31057;7742;11870;9209;1792;25175;10443;9785;3801;968;
2474000;"City with powiat status Siemianowice Śląskie";28161;9710;10798;5639;1639;14758;3953;5815;3781;966;13403;5757;4983;1858;673;
2475000;"City with powiat status Sosnowiec";83920;30572;34457;13741;4018;43608;12352;18815;9242;2441;40312;18220;15642;4499;1577;
2476000;"City with powiat status Świętochłowice";19682;5606;7643;4520;1679;10503;2261;4031;3053;1001;9179;3345;3612;1467;678;
2477000;"City with powiat status Tychy";56136;21270;21798;9965;2430;29488;9016;11920;6634;1482;26648;12254;9878;3331;948;
2478000;"City with powiat status Zabrze";65298;20571;26464;12320;4754;34996;8452;14264;8440;3006;30302;12119;12200;3880;1748;
2479000;"City with powiat status Żory";26160;8038;10110;6264;1434;14142;3244;5417;4358;919;12018;4794;4693;1906;515;
2601000;"Powiat buski";30596;9118;11433;8124;1756;16630;3420;6399;5586;1130;13966;5698;5034;2538;626;
2602000;"Powiat jędrzejowski";35976;10834;14104;8565;2237;20354;4264;8348;6036;1548;15622;6570;5756;2529;689;
2603000;"Powiat kazimierski";14181;3040;6436;3558;1062;7875;1143;3534;2424;711;6306;1897;2902;1134;351;
2604000;"Powiat kielecki";96009;32240;34058;22808;6321;52525;12166;19844;15944;4173;43484;20074;14214;6864;2148;
2605000;"Powiat konecki";30752;9005;11661;7687;2191;17387;3344;6789;5596;1520;13365;5661;4872;2091;671;
2606000;"Powiat opatowski";21023;5497;7977;6040;1417;11714;2038;4459;4178;973;9309;3459;3518;1862;444;
2607000;"Powiat ostrowiecki";39888;12926;15537;9030;2114;21755;5034;8779;6282;1462;18133;7892;6758;2748;652;
2608000;"Powiat pińczowski";16202;4769;6614;3765;921;9022;1852;3833;2659;600;7180;2917;2781;1106;321;
2609000;"Powiat sandomierski";31944;10473;12896;6816;1520;17208;4132;7146;4772;1006;14736;6341;5750;2044;514;
2610000;"Powiat skarżyski";27526;10440;11391;4559;931;14901;4307;6634;3198;621;12625;6133;4757;1361;310;
2611000;"Powiat starachowicki";35731;11461;14246;7943;1815;19537;4565;8129;5502;1172;16194;6896;6117;2441;643;
2612000;"Powiat staszowski";30533;9142;11140;8465;1636;17001;3516;6501;5788;1093;13532;5626;4639;2677;543;
2613000;"Powiat włoszczowski";19224;5465;7267;5076;1305;10902;2055;4194;3641;940;8322;3410;3073;1435;365;
2661000;"City with powiat status Kielce";81120;44960;25247;8002;2229;41096;18946;14596;5679;1456;40024;26014;10651;2323;773;
2801000;"Powiat bartoszycki";20436;5276;7926;5024;1973;11269;2030;4276;3448;1349;9167;3246;3650;1576;624;
2802000;"Powiat braniewski";15195;3896;6036;3484;1583;8633;1589;3392;2468;1055;6562;2307;2644;1016;528;
2803000;"Powiat działdowski";27084;6281;10471;7191;2897;15214;2381;5655;5148;1866;11870;3900;4816;2043;1031;
2804000;"Powiat elbląski";22491;5006;8152;6629;2406;12865;1879;4436;4701;1629;9626;3127;3716;1928;777;
2805000;"Powiat ełcki";35437;10589;14836;6220;3176;19393;4249;8156;4413;2157;16044;6340;6680;1807;1019;
2806000;"Powiat giżycki";22546;6802;8558;4771;2117;12445;2704;4765;3272;1500;10101;4098;3793;1499;617;
2807000;"Powiat iławski";39770;9543;14490;11190;3977;22142;3734;7839;7646;2536;17628;5809;6651;3544;1441;
2808000;"Powiat kętrzyński";21483;5861;8797;4662;1879;11758;2282;4848;3197;1246;9725;3579;3949;1465;633;
2809000;"Powiat lidzbarski";15744;4023;6286;3940;1265;8687;1522;3391;2753;858;7057;2501;2895;1187;407;
2810000;"Powiat mrągowski";20191;5088;7818;4929;2074;10995;1922;4143;3356;1389;9196;3166;3675;1573;685;
2811000;"Powiat nidzicki";13106;2907;4980;3132;1912;7383;1043;2652;2256;1310;5723;1864;2328;876;602;
2812000;"Powiat nowomiejski";18605;3657;6306;6533;1925;10680;1303;3408;4611;1235;7925;2354;2898;1922;690;
2813000;"Powiat olecki";13390;3426;5577;2663;1505;7463;1283;3066;1892;1074;5927;2143;2511;771;431;
2814000;"Powiat olsztyński";56720;19736;19664;11608;4997;30388;7998;10509;8082;3332;26332;11738;9155;3526;1665;
2815000;"Powiat ostródzki";41893;9923;15618;10668;5101;23251;3833;8194;7466;3372;18642;6090;7424;3202;1729;
2816000;"Powiat piski";20440;4875;8025;4491;2849;11662;1855;4478;3220;1978;8778;3020;3547;1271;871;
2817000;"Powiat szczycieński";27819;7426;9856;6667;3447;15345;2788;5258;4662;2346;12474;4638;4598;2005;1101;
2818000;"Powiat gołdapski";10179;2506;4147;2113;1293;5716;952;2317;1466;901;4463;1554;1830;647;392;
2819000;"Powiat węgorzewski";8387;2218;3410;1917;759;4668;860;1924;1305;531;3719;1358;1486;612;228;
2861000;"City with powiat status Elbląg";47074;17249;18169;8480;2357;24945;7078;9870;5921;1550;22129;10171;8299;2559;807;
2862000;"City with powiat status Olsztyn";78882;40550;25642;8570;3101;39270;16746;14001;5913;1984;39612;23804;11641;2657;1117;
3001000;"Powiat chodzieski";21008;4789;7654;6762;1566;11711;1797;3961;4725;1058;9297;2992;3693;2037;508;
3002000;"Powiat czarnkowsko-trzcianecki";38146;9046;15521;10207;2917;21296;3347;8377;7323;1936;16850;5699;7144;2884;981;
3003000;"Powiat gnieźnieński";64823;17502;24038;18406;4065;35880;6930;13115;12609;2687;28943;10572;10923;5797;1378;
3004000;"Powiat gostyński";36404;7877;13617;12260;2338;20706;3019;7264;8664;1538;15698;4858;6353;3596;800;
3005000;"Powiat grodziski";26285;5127;8949;9998;1963;14736;1906;4656;6724;1269;11549;3221;4293;3274;694;
3006000;"Powiat jarociński";32558;7951;13136;9270;1958;18333;3053;7205;6594;1303;14225;4898;5931;2676;655;
3007000;"Powiat kaliski";40436;10480;14231;11869;3645;22070;3807;7715;7938;2469;18366;6673;6516;3931;1176;
3008000;"Powiat kępiński";28866;6072;10731;10190;1701;15889;2172;5441;7014;1160;12977;3900;5290;3176;541;
3009000;"Powiat kolski";35908;8608;13678;10410;2972;20179;3254;7582;7204;1974;15729;5354;6096;3206;998;
3010000;"Powiat koniński";57837;15065;21150;16911;4313;32706;5676;11892;11992;2855;25131;9389;9258;4919;1458;
3011000;"Powiat kościański";38494;9564;13891;12263;2412;21517;3603;7548;8563;1543;16977;5961;6343;3700;869;
3012000;"Powiat krotoszyński";36617;8394;14522;11387;2011;20372;3142;7665;7993;1362;16245;5252;6857;3394;649;
3013000;"Powiat leszczyński";29132;7275;10428;9463;1694;16296;2904;5565;6560;1073;12836;4371;4863;2903;621;
3014000;"Powiat międzychodzki";16731;3247;6465;5419;1370;9404;1204;3270;3855;915;7327;2043;3195;1564;455;
3015000;"Powiat nowotomyski";37982;8714;13471;13048;2311;20793;3272;7013;8801;1430;17189;5442;6458;4247;881;
3016000;"Powiat obornicki";28096;6440;10202;8918;2146;15609;2470;5209;6231;1449;12487;3970;4993;2687;697;
3017000;"Powiat ostrowski";75337;20847;30258;20070;3340;41265;8441;16492;13685;2129;34072;12406;13766;6385;1211;
3018000;"Powiat ostrzeszowski";26698;6069;10371;8554;1483;14730;2218;5412;5973;996;11968;3851;4959;2581;487;
3019000;"Powiat pilski";59201;17501;23851;13054;3939;32391;7190;12905;9134;2620;26810;10311;10946;3920;1319;
3020000;"Powiat pleszewski";28386;7172;10481;8972;1615;15948;2713;5675;6388;1063;12438;4459;4806;2584;552;
3021000;"Powiat poznański";223404;96959;73881;40322;9395;117285;41482;40563;27525;5954;106119;55477;33318;12797;3441;
3022000;"Powiat rawicki";28486;6259;10720;9445;1792;15889;2287;5656;6544;1206;12597;3972;5064;2901;586;
3023000;"Powiat słupecki";26710;6609;9635;8412;1876;15005;2424;5199;6060;1199;11705;4185;4436;2352;677;
3024000;"Powiat szamotulski";45543;11200;17375;13338;3101;24921;4326;9083;9138;2032;20622;6874;8292;4200;1069;
3025000;"Powiat średzki";29121;8030;10249;8493;2084;16155;3135;5593;5914;1340;12966;4895;4656;2579;744;
3026000;"Powiat śremski";29873;7696;11195;8860;1827;16422;2931;6017;6092;1196;13451;4765;5178;2768;631;
3027000;"Powiat turecki";37434;10065;13911;10420;2762;20440;3731;7648;7011;1861;16994;6334;6263;3409;901;
3028000;"Powiat wągrowiecki";32533;6995;11706;10899;2673;18488;2581;6146;7789;1787;14045;4414;5560;3110;886;
3029000;"Powiat wolsztyński";28419;6033;9649;10526;1893;15766;2171;5092;7118;1179;12653;3862;4557;3408;714;
3030000;"Powiat wrzesiński";37696;10361;13706;10984;2339;20904;4083;7505;7633;1470;16792;6278;6201;3351;869;
3031000;"Powiat złotowski";28853;6514;11070;8093;2774;16283;2498;5872;5796;1836;12570;4016;5198;2297;938;
3061000;"City with powiat status Kalisz";41615;15691;15432;7497;2525;21502;6352;8201;5008;1645;20113;9339;7231;2489;880;
3062000;"City with powiat status Konin";28400;10895;11185;4925;1152;15027;4419;6200;3454;782;13373;6476;4985;1471;370;
3063000;"City with powiat status Leszno";28377;10559;10684;5440;1252;15041;4517;5786;3688;774;13336;6042;4898;1752;478;
3064000;"City with powiat status Poznań";279792;148230;85368;31553;10096;141289;65031;46624;20693;6071;138503;83199;38744;10860;4025;
3201000;"Powiat białogardzki";18093;4236;7119;4521;1923;9898;1565;3724;3134;1282;8195;2671;3395;1387;641;
3202000;"Powiat choszczeński";18073;4223;6908;4602;2141;10273;1589;3795;3279;1476;7800;2634;3113;1323;665;
3203000;"Powiat drawski";21781;5251;8639;5575;2013;11934;2013;4540;3862;1325;9847;3238;4099;1713;688;
3204000;"Powiat goleniowski";36071;9799;13991;8310;3312;19682;3826;7526;5736;2181;16389;5973;6465;2574;1131;
3205000;"Powiat gryficki";23220;5818;9335;5851;1872;12954;2159;5143;4208;1215;10266;3659;4192;1643;657;
3206000;"Powiat gryfiński";33512;8167;12530;8924;3412;18660;3119;6834;6290;2107;14852;5048;5696;2634;1305;
3207000;"Powiat kamieński";17970;4545;7599;3886;1685;9972;1713;4174;2771;1148;7998;2832;3425;1115;537;
3208000;"Powiat kołobrzeski";33742;9949;13567;7143;2481;17655;3797;7016;4967;1518;16087;6152;6551;2176;963;
3209000;"Powiat koszaliński";28917;7872;10198;7299;3095;16030;3003;5553;5120;2056;12887;4869;4645;2179;1039;
3210000;"Powiat myśliborski";26088;6275;9999;7008;2447;14581;2397;5396;4924;1632;11507;3878;4603;2084;815;
3211000;"Powiat policki";39544;18172;12688;5891;2162;20545;7727;7063;3991;1368;18999;10445;5625;1900;794;
3212000;"Powiat pyrzycki";15820;3618;6353;4086;1539;8804;1321;3414;2946;975;7016;2297;2939;1140;564;
3213000;"Powiat sławieński";22238;5104;8454;6206;2185;12162;1808;4473;4268;1411;10076;3296;3981;1938;774;
3214000;"Powiat stargardzki";50914;16073;20094;10238;3718;27974;6421;11173;7461;2405;22940;9652;8921;2777;1313;
3215000;"Powiat szczecinecki";28756;8044;11552;6275;2487;15798;3207;6184;4542;1604;12958;4837;5368;1733;883;
3216000;"Powiat świdwiński";16898;4022;6987;4169;1469;9452;1579;3789;2972;954;7446;2443;3198;1197;515;
3217000;"Powiat wałecki";21486;5895;8426;4992;1894;12020;2325;4630;3638;1237;9466;3570;3796;1354;657;
3218000;"Powiat łobeski";13463;2721;5106;3769;1704;7545;1023;2645;2681;1092;5918;1698;2461;1088;612;
3261000;"City with powiat status Koszalin";46160;19641;16540;6815;2420;23793;8076;9058;4666;1539;22367;11565;7482;2149;881;
3262000;"City with powiat status Szczecin";179608;85103;60029;23107;8065;91486;36065;32953;15594;4829;88122;49038;27076;7513;3236;
3263000;"City with powiat status Świnoujście";16905;5406;7084;3029;1068;8673;2146;3792;1923;633;8232;3260;3292;1106;435;
