"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
0409000;"Powiat mogileński";19474;1814;4272;5208;4441;3200;539;11243;1093;2494;2912;2384;2010;350;8231;721;1778;2296;2057;1190;189;
0410000;"Powiat nakielski";36422;3425;8202;9824;8274;5682;1015;20591;1934;4676;5446;4366;3501;668;15831;1491;3526;4378;3908;2181;347;
0411000;"Powiat radziejowski";16891;1373;3728;4302;4135;2912;441;9721;838;2192;2422;2138;1833;298;7170;535;1536;1880;1997;1079;143;
0412000;"Powiat rypiński";18010;1697;4029;4836;4139;2891;418;10304;1061;2369;2621;2136;1852;265;7706;636;1660;2215;2003;1039;153;
0413000;"Powiat sępoleński";16990;1850;3925;4400;3730;2650;435;9705;1079;2237;2446;1986;1658;299;7285;771;1688;1954;1744;992;136;
0414000;"Powiat świecki";41258;3981;9153;11258;9536;6299;1031;23187;2336;5154;6079;5085;3851;682;18071;1645;3999;5179;4451;2448;349;
0415000;"Powiat toruński";50211;4097;10773;15197;12040;6877;1227;27689;2377;5913;8081;6313;4193;812;22522;1720;4860;7116;5727;2684;415;
0416000;"Powiat tucholski";20437;2077;4737;5382;4459;3276;506;11586;1200;2696;2996;2323;2044;327;8851;877;2041;2386;2136;1232;179;
0417000;"Powiat wąbrzeski";13967;1430;2980;3615;3373;2193;376;8035;845;1699;2027;1832;1380;252;5932;585;1281;1588;1541;813;124;
0418000;"Powiat włocławski";36307;3079;7801;9383;9179;5876;989;20597;1890;4475;5112;4781;3684;655;15710;1189;3326;4271;4398;2192;334;
0419000;"Powiat żniński";29591;2838;6496;8089;6620;4610;938;17091;1731;3769;4497;3599;2887;608;12500;1107;2727;3592;3021;1723;330;
0461000;"City with powiat status Bydgoszcz";149713;9634;35571;41684;32269;23363;7192;77625;5168;18144;21535;15605;12857;4316;72088;4466;17427;20149;16664;10506;2876;
0462000;"City with powiat status Grudziądz";36261;2750;7717;9827;8135;6421;1411;19381;1499;4167;5196;4092;3540;887;16880;1251;3550;4631;4043;2881;524;
0463000;"City with powiat status Toruń";88317;5861;21804;24902;18302;13193;4255;45129;3048;11124;12855;8762;6936;2404;43188;2813;10680;12047;9540;6257;1851;
0464000;"City with powiat status Włocławek";42377;2785;8158;11510;10401;7523;2000;22302;1529;4430;5992;5045;4110;1196;20075;1256;3728;5518;5356;3413;804;
0601000;"Powiat bialski";45518;3583;10454;12197;11194;7101;989;25435;2181;5917;6543;5826;4335;633;20083;1402;4537;5654;5368;2766;356;
0602000;"Powiat biłgorajski";42571;2574;9384;11899;10222;7376;1116;23592;1593;5241;6366;5237;4455;700;18979;981;4143;5533;4985;2921;416;
0603000;"Powiat chełmski";30052;2187;6731;8702;7303;4555;574;17022;1347;3910;4770;3802;2816;377;13030;840;2821;3932;3501;1739;197;
0604000;"Powiat hrubieszowski";23429;1508;4736;6324;5862;4405;594;12905;926;2671;3416;2957;2585;350;10524;582;2065;2908;2905;1820;244;
0605000;"Powiat janowski";18673;1243;4098;4915;4818;3183;416;10371;785;2300;2615;2491;1912;268;8302;458;1798;2300;2327;1271;148;
0606000;"Powiat krasnostawski";24432;1509;5135;6916;6102;4073;697;13471;923;2893;3714;3118;2419;404;10961;586;2242;3202;2984;1654;293;
0607000;"Powiat kraśnicki";37756;2519;7938;10480;9264;6395;1160;20346;1510;4426;5460;4570;3725;655;17410;1009;3512;5020;4694;2670;505;
0608000;"Powiat lubartowski";37357;2892;8442;10492;8980;5694;857;20382;1715;4722;5554;4624;3254;513;16975;1177;3720;4938;4356;2440;344;
0609000;"Powiat lubelski";75684;4779;16184;22243;19312;11252;1914;40381;2932;8709;11426;9685;6428;1201;35303;1847;7475;10817;9627;4824;713;
0610000;"Powiat łęczyński";24652;1773;6146;7379;5157;3699;498;13391;1091;3471;4030;2508;1977;314;11261;682;2675;3349;2649;1722;184;
0611000;"Powiat łukowski";45834;4354;10838;12285;10431;6881;1045;25469;2589;6192;6585;5339;4088;676;20365;1765;4646;5700;5092;2793;369;
0612000;"Powiat opolski";24511;1701;5400;6729;5896;4049;736;13300;1005;3011;3493;2995;2355;441;11211;696;2389;3236;2901;1694;295;
0613000;"Powiat parczewski";13766;926;3098;3789;3255;2319;379;7611;575;1733;2087;1628;1386;202;6155;351;1365;1702;1627;933;177;
0614000;"Powiat puławski";47043;2724;9687;12647;11860;8363;1762;25043;1622;5365;6557;5909;4584;1006;22000;1102;4322;6090;5951;3779;756;
0615000;"Powiat radzyński";24846;1930;5567;6706;5904;4105;634;13836;1188;3198;3609;3067;2375;399;11010;742;2369;3097;2837;1730;235;
0616000;"Powiat rycki";23204;1884;5126;6230;5304;3855;805;12810;1148;2919;3401;2680;2179;483;10394;736;2207;2829;2624;1676;322;
0617000;"Powiat świdnicki";30367;1740;6385;8978;7403;4897;964;16039;961;3458;4637;3698;2747;538;14328;779;2927;4341;3705;2150;426;
0618000;"Powiat tomaszowski";33316;2136;7122;8992;8121;6095;850;18423;1263;4038;4810;4099;3688;525;14893;873;3084;4182;4022;2407;325;
0619000;"Powiat włodawski";14098;900;2993;3883;3499;2412;411;7795;565;1727;2119;1753;1393;238;6303;335;1266;1764;1746;1019;173;
0620000;"Powiat zamojski";43793;3077;9255;11758;11079;7698;926;24301;1810;5264;6268;5652;4728;579;19492;1267;3991;5490;5427;2970;347;
0661000;"City with powiat status Biała Podlaska";23800;1328;5440;6629;5399;4143;861;12357;738;2954;3429;2551;2166;519;11443;590;2486;3200;2848;1977;342;
0662000;"City with powiat status Chełm";23318;1075;4847;6527;5670;4191;1008;11918;589;2586;3396;2617;2173;557;11400;486;2261;3131;3053;2018;451;
0663000;"City with powiat status Lublin";150753;8051;38112;42311;31756;23302;7221;74746;4164;18963;21316;14861;11549;3893;76007;3887;19149;20995;16895;11753;3328;
0664000;"City with powiat status Zamość";24273;1143;5111;6901;5472;4553;1093;12426;652;2689;3603;2522;2302;658;11847;491;2422;3298;2950;2251;435;
0801000;"Powiat gorzowski";33327;2605;6849;9365;7838;5492;1178;18212;1544;3736;4905;4057;3238;732;15115;1061;3113;4460;3781;2254;446;
0802000;"Powiat krośnieński";22638;1954;4796;6461;5065;3540;822;12538;1155;2693;3474;2647;2043;526;10100;799;2103;2987;2418;1497;296;
0803000;"Powiat międzyrzecki";24346;1959;5272;6643;5285;4194;993;13442;1122;2947;3555;2713;2462;643;10904;837;2325;3088;2572;1732;350;
0804000;"Powiat nowosolski";34533;3011;7328;9924;7726;5314;1230;18911;1738;4004;5331;3981;3108;749;15622;1273;3324;4593;3745;2206;481;
0805000;"Powiat słubicki";20595;1650;4438;5662;4481;3564;800;11006;933;2410;2905;2255;2029;474;9589;717;2028;2757;2226;1535;326;
