"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
1417000;"Powiat otwocki";60681;3900;12034;17296;14545;10073;2833;31186;2129;6269;8659;7162;5311;1656;29495;1771;5765;8637;7383;4762;1177;
1418000;"Powiat piaseczyński";104807;5850;21440;33294;25466;14115;4642;52979;3017;10560;16300;12812;7571;2719;51828;2833;10880;16994;12654;6544;1923;
1419000;"Powiat płocki";50351;3976;11030;13617;12896;7695;1137;28476;2395;6285;7414;6786;4823;773;21875;1581;4745;6203;6110;2872;364;
1420000;"Powiat płoński";39565;3464;8575;10775;9102;6405;1244;21694;1948;4727;5815;4621;3825;758;17871;1516;3848;4960;4481;2580;486;
1421000;"Powiat pruszkowski";88119;4830;17618;27625;20396;13107;4543;44572;2525;8694;13591;10155;6997;2610;43547;2305;8924;14034;10241;6110;1933;
1422000;"Powiat przasnyski";22046;1948;5135;5692;5007;3699;565;12416;1168;2946;3030;2637;2246;389;9630;780;2189;2662;2370;1453;176;
1423000;"Powiat przysuski";16897;1375;3875;4276;4009;3012;350;9458;770;2187;2390;2036;1867;208;7439;605;1688;1886;1973;1145;142;
1424000;"Powiat pułtuski";23209;2123;5178;6237;5265;3673;733;12443;1120;2830;3225;2672;2137;459;10766;1003;2348;3012;2593;1536;274;
1425000;"Powiat radomski";64590;5052;14624;18284;15248;9775;1607;35725;2954;8224;9858;7857;5834;998;28865;2098;6400;8426;7391;3941;609;
1426000;"Powiat siedlecki";37993;3344;8990;10224;8881;5790;764;21067;2007;5006;5483;4572;3491;508;16926;1337;3984;4741;4309;2299;256;
1427000;"Powiat sierpecki";21312;1737;4828;5509;5106;3663;469;12142;1079;2775;3051;2651;2270;316;9170;658;2053;2458;2455;1393;153;
1428000;"Powiat sochaczewski";40650;3259;9098;11172;9017;6593;1511;21622;1774;4854;5867;4535;3695;897;19028;1485;4244;5305;4482;2898;614;
1429000;"Powiat sokołowski";23923;1912;5482;6083;5542;4245;659;13183;1149;3076;3293;2762;2473;430;10740;763;2406;2790;2780;1772;229;
1430000;"Powiat szydłowiecki";14925;1313;3365;4169;3422;2318;338;8384;823;1900;2282;1774;1404;201;6541;490;1465;1887;1648;914;137;
1432000;"Powiat warszawski zachodni";65508;3720;12580;19937;15900;10167;3204;33681;1994;6292;9951;7992;5520;1932;31827;1726;6288;9986;7908;4647;1272;
1433000;"Powiat węgrowski";29176;2837;6679;7469;6643;4662;886;16141;1580;3751;4059;3435;2740;576;13035;1257;2928;3410;3208;1922;310;
1434000;"Powiat wołomiński";133487;9451;30964;41741;29990;17285;4056;68161;5020;15539;21003;14972;9266;2361;65326;4431;15425;20738;15018;8019;1695;
1435000;"Powiat wyszkowski";35025;3345;8131;9309;7788;5421;1031;19037;1887;4464;5029;3939;3069;649;15988;1458;3667;4280;3849;2352;382;
1436000;"Powiat zwoleński";15249;1254;3554;4169;3621;2373;278;8472;758;2000;2245;1829;1447;193;6777;496;1554;1924;1792;926;85;
1437000;"Powiat żuromiński";16114;1245;3614;3997;4062;2862;334;9048;727;2048;2157;2100;1798;218;7066;518;1566;1840;1962;1064;116;
1438000;"Powiat żyrardowski";35447;2815;7516;9993;8095;5494;1534;18230;1460;3945;5067;3990;2922;846;17217;1355;3571;4926;4105;2572;688;
1461000;"City with powiat status Ostrołęka";20445;1126;4586;5790;4474;3676;793;10724;629;2456;3094;2155;1936;454;9721;497;2130;2696;2319;1740;339;
1462000;"City with powiat status Płock";49657;2688;10452;14469;11736;8098;2214;26044;1524;5634;7449;5746;4417;1274;23613;1164;4818;7020;5990;3681;940;
1463000;"City with powiat status Radom";83148;4812;17628;23236;18818;14452;4202;43717;2651;9544;12281;9109;7690;2442;39431;2161;8084;10955;9709;6762;1760;
1464000;"City with powiat status Siedlce";34800;1861;8270;10407;7333;5509;1420;17911;1039;4325;5411;3498;2808;830;16889;822;3945;4996;3835;2701;590;
1465000;"City with powiat status Capital City Warszawa";965329;54866;265112;294838;183203;116821;50489;469166;26480;125325;143260;88171;58327;27603;496163;28386;139787;151578;95032;58494;22886;
1601000;"Powiat brzeski";38639;3263;8294;10385;8698;6668;1331;21126;1768;4560;5581;4453;3961;803;17513;1495;3734;4804;4245;2707;528;
1602000;"Powiat głubczycki";17793;1440;3750;4580;4278;3244;501;10027;874;2139;2479;2226;1987;322;7766;566;1611;2101;2052;1257;179;
1603000;"Powiat kędzierzyńsko-kozielski";37463;2866;8054;9538;9158;6677;1170;20582;1678;4410;5056;4726;3994;718;16881;1188;3644;4482;4432;2683;452;
1604000;"Powiat kluczborski";27187;2266;5962;6978;6356;4791;834;15297;1350;3396;3872;3254;2902;523;11890;916;2566;3106;3102;1889;311;
1605000;"Powiat krapkowicki";26272;2189;5956;6739;6372;4357;659;14688;1318;3327;3585;3369;2683;406;11584;871;2629;3154;3003;1674;253;
1606000;"Powiat namysłowski";18941;1661;4259;5177;4067;3209;568;10498;906;2347;2803;2155;1934;353;8443;755;1912;2374;1912;1275;215;
1607000;"Powiat nyski";54463;4309;11445;14574;12649;9682;1804;30007;2406;6401;7793;6501;5775;1131;24456;1903;5044;6781;6148;3907;673;
1608000;"Powiat oleski";27497;2333;6080;6916;6549;4838;781;15275;1378;3383;3714;3360;2948;492;12222;955;2697;3202;3189;1890;289;
1609000;"Powiat opolski";54311;4298;11640;14518;13195;9102;1558;29790;2532;6324;7639;6852;5451;992;24521;1766;5316;6879;6343;3651;566;
1610000;"Powiat prudnicki";22483;1849;5109;5731;5118;4033;643;12391;1088;2831;3052;2579;2452;389;10092;761;2278;2679;2539;1581;254;
1611000;"Powiat strzelecki";31029;2599;7417;7932;7245;5066;770;17253;1522;4119;4333;3762;3007;510;13776;1077;3298;3599;3483;2059;260;
1661000;"City with powiat status Opole";60273;3696;14348;16928;12403;9559;3339;30777;1930;7218;8653;6062;5004;1910;29496;1766;7130;8275;6341;4555;1429;
1801000;"Powiat bieszczadzki";8348;573;1750;2261;1916;1577;271;4500;333;944;1201;959;908;155;3848;240;806;1060;957;669;116;
1802000;"Powiat brzozowski";25028;2017;6051;6811;6053;3678;418;13927;1175;3425;3730;3084;2286;227;11101;842;2626;3081;2969;1392;191;
1803000;"Powiat dębicki";57911;4948;13781;15762;13082;8964;1374;32690;2985;7846;8640;6872;5503;844;25221;1963;5935;7122;6210;3461;530;
1804000;"Powiat jarosławski";48440;3378;11408;13511;11489;7465;1189;26871;2011;6440;7311;5885;4477;747;21569;1367;4968;6200;5604;2988;442;
1805000;"Powiat jasielski";43957;3173;9963;11846;10984;7043;948;24692;1934;5688;6546;5765;4210;549;19265;1239;4275;5300;5219;2833;399;
1806000;"Powiat kolbuszowski";25482;2002;6226;6755;6054;3944;501;14188;1185;3531;3635;3156;2382;299;11294;817;2695;3120;2898;1562;202;
1807000;"Powiat krośnieński";46073;3365;10544;13002;11215;7029;918;25905;2145;6046;7106;5810;4239;559;20168;1220;4498;5896;5405;2790;359;
1808000;"Powiat leżajski";26723;1966;6354;7196;6584;4095;528;14851;1148;3637;3949;3315;2479;323;11872;818;2717;3247;3269;1616;205;
1809000;"Powiat lubaczowski";22272;1588;4986;5995;5368;3865;470;12380;965;2819;3200;2773;2333;290;9892;623;2167;2795;2595;1532;180;
1810000;"Powiat łańcucki";35213;2397;8663;10068;8139;5228;718;19123;1382;4751;5387;4118;3040;445;16090;1015;3912;4681;4021;2188;273;
1811000;"Powiat mielecki";60778;5371;14334;16770;13128;9546;1629;33427;3143;7808;9023;6767;5652;1034;27351;2228;6526;7747;6361;3894;595;
1812000;"Powiat niżański";25553;1821;6058;6573;6147;4366;588;14414;1058;3511;3679;3166;2662;338;11139;763;2547;2894;2981;1704;250;
1813000;"Powiat przemyski";29602;2117;6839;8063;7417;4584;582;16407;1241;3868;4348;3796;2781;373;13195;876;2971;3715;3621;1803;209;
1814000;"Powiat przeworski";32530;2352;7846;9003;7812;4930;587;18230;1384;4531;4960;3993;2996;366;14300;968;3315;4043;3819;1934;221;
1815000;"Powiat ropczycko-sędziszowski";31852;2501;8152;8808;7411;4348;632;17748;1435;4582;4780;3865;2681;405;14104;1066;3570;4028;3546;1667;227;
1816000;"Powiat rzeszowski";78231;5366;18814;22607;18750;11033;1661;42194;3175;10165;11806;9504;6549;995;36037;2191;8649;10801;9246;4484;666;
1817000;"Powiat sanocki";37391;2564;8119;10578;8887;6135;1108;20328;1512;4450;5616;4512;3554;684;17063;1052;3669;4962;4375;2581;424;
1818000;"Powiat stalowowolski";40667;2659;8981;11526;9657;6519;1325;22472;1572;5035;6292;4972;3785;816;18195;1087;3946;5234;4685;2734;509;
1819000;"Powiat strzyżowski";25337;1989;5946;6944;6184;3806;468;14211;1256;3371;3716;3235;2332;301;11126;733;2575;3228;2949;1474;167;
1820000;"Powiat tarnobrzeski";21556;1517;4973;5872;5391;3258;545;11933;882;2817;3157;2797;1949;331;9623;635;2156;2715;2594;1309;214;
1821000;"Powiat leski";10527;728;2305;2879;2508;1786;321;5729;427;1272;1494;1288;1061;187;4798;301;1033;1385;1220;725;134;
1861000;"City with powiat status Krosno";18202;913;3801;5455;4181;3074;778;9609;512;2016;2875;2071;1675;460;8593;401;1785;2580;2110;1399;318;
1862000;"City with powiat status Przemyśl";21574;999;4272;6268;5140;3924;971;11100;534;2276;3244;2440;2056;550;10474;465;1996;3024;2700;1868;421;
1863000;"City with powiat status Rzeszów";90672;4662;26285;26825;17094;12412;3394;46569;2447;13346;13900;8307;6526;2043;44103;2215;12939;12925;8787;5886;1351;
1864000;"City with powiat status Tarnobrzeg";18460;874;3759;5062;4707;3329;729;9709;502;2083;2642;2319;1751;412;8751;372;1676;2420;2388;1578;317;
2001000;"Powiat augustowski";23645;1883;5353;5943;5603;4209;654;13013;1136;2964;3146;2860;2502;405;10632;747;2389;2797;2743;1707;249;
2002000;"Powiat białostocki";67616;4106;15028;19496;16017;11183;1786;36288;2372;7987;10119;8183;6513;1114;31328;1734;7041;9377;7834;4670;672;
2003000;"Powiat bielski";22886;1530;5114;5793;5351;4443;655;12760;924;2870;3141;2771;2622;432;10126;606;2244;2652;2580;1821;223;
2004000;"Powiat grajewski";18189;1414;4125;4581;4272;3333;464;10235;863;2378;2441;2225;2022;306;7954;551;1747;2140;2047;1311;158;
2005000;"Powiat hajnowski";16031;961;3203;4269;3747;3312;539;8735;588;1740;2311;1896;1883;317;7296;373;1463;1958;1851;1429;222;
2006000;"Powiat kolneński";15129;1315;3549;3725;3696;2587;257;8500;824;1960;2020;1906;1629;161;6629;491;1589;1705;1790;958;96;
2007000;"Powiat łomżyński";21694;1853;4944;5612;5258;3566;461;12341;1151;2814;3054;2756;2262;304;9353;702;2130;2558;2502;1304;157;
2008000;"Powiat moniecki";15825;1361;3822;3832;3644;2834;332;8929;815;2205;2113;1835;1749;212;6896;546;1617;1719;1809;1085;120;
2009000;"Powiat sejneński";8186;638;1738;2108;2032;1439;231;4508;380;961;1109;1040;870;148;3678;258;777;999;992;569;83;
2010000;"Powiat siemiatycki";18221;1389;3938;4418;4532;3502;442;10104;845;2209;2344;2331;2100;275;8117;544;1729;2074;2201;1402;167;
2011000;"Powiat sokólski";26568;2080;5835;6634;6432;4890;697;14930;1223;3391;3571;3324;2977;444;11638;857;2444;3063;3108;1913;253;
2012000;"Powiat suwalski";15971;1361;3867;3908;3829;2629;377;9180;870;2213;2138;1998;1706;255;6791;491;1654;1770;1831;923;122;
2013000;"Powiat wysokomazowiecki";24637;1997;5833;6159;5658;4281;709;13845;1201;3321;3322;2859;2653;489;10792;796;2512;2837;2799;1628;220;
2014000;"Powiat zambrowski";18167;1529;4122;4681;4129;3209;497;10193;928;2327;2608;2123;1871;336;7974;601;1795;2073;2006;1338;161;
2061000;"City with powiat status Białystok";133296;7691;34299;37261;28435;20716;4894;67456;4003;17554;18993;13443;10696;2767;65840;3688;16745;18268;14992;10020;2127;
2062000;"City with powiat status Łomża";25070;1344;5834;6862;5337;4737;956;13180;756;3136;3645;2553;2530;560;11890;588;2698;3217;2784;2207;396;
2063000;"City with powiat status Suwałki";30234;2009;7285;7956;6550;5511;923;15656;1133;3869;4072;3083;2950;549;14578;876;3416;3884;3467;2561;374;
2201000;"Powiat bytowski";33547;3708;7924;8581;7217;5239;878;19131;2173;4549;4795;3779;3274;561;14416;1535;3375;3786;3438;1965;317;
2202000;"Powiat chojnicki";41334;4564;9427;10947;9263;6116;1017;23282;2691;5289;5941;4941;3782;638;18052;1873;4138;5006;4322;2334;379;
2203000;"Powiat człuchowski";21710;2056;4711;6005;4668;3648;622;12298;1215;2636;3315;2480;2247;405;9412;841;2075;2690;2188;1401;217;
2204000;"Powiat gdański";60876;4379;14555;19064;13023;7859;1996;32463;2330;7576;9919;6816;4519;1303;28413;2049;6979;9145;6207;3340;693;
2205000;"Powiat kartuski";69802;8123;17563;18817;14535;9054;1710;38700;4713;9531;10122;7740;5450;1144;31102;3410;8032;8695;6795;3604;566;
2206000;"Powiat kościerski";32007;3677;7566;8361;6937;4617;849;18063;2215;4157;4588;3674;2876;553;13944;1462;3409;3773;3263;1741;296;
2207000;"Powiat kwidzyński";34229;3096;7334;9599;7680;5523;997;18757;1707;4093;5071;3932;3320;634;15472;1389;3241;4528;3748;2203;363;
2208000;"Powiat lęborski";26034;2360;5882;6861;5713;4202;1016;14500;1351;3338;3756;2961;2457;637;11534;1009;2544;3105;2752;1745;379;
2209000;"Powiat malborski";25424;2037;5530;7103;5590;4259;905;14011;1145;3114;3849;2821;2504;578;11413;892;2416;3254;2769;1755;327;
2210000;"Powiat nowodworski";13959;1275;3025;3686;3120;2375;478;7943;737;1756;2050;1653;1427;320;6016;538;1269;1636;1467;948;158;
2211000;"Powiat pucki";39791;3539;9340;11144;8945;5678;1145;22188;2074;5030;6043;4776;3491;774;17603;1465;4310;5101;4169;2187;371;
2212000;"Powiat słupski";41914;3529;8651;11877;9370;7056;1431;23143;2058;4820;6283;4924;4174;884;18771;1471;3831;5594;4446;2882;547;
2213000;"Powiat starogardzki";53916;5906;12828;14243;11690;7880;1369;30137;3425;7202;7720;6081;4854;855;23779;2481;5626;6523;5609;3026;514;
2214000;"Powiat tczewski";48953;4851;11307;13316;10839;7307;1333;27235;2833;6297;7145;5651;4440;869;21718;2018;5010;6171;5188;2867;464;
2215000;"Powiat wejherowski";101627;10084;24557;28496;21404;13979;3107;55666;5766;13291;15187;11169;8278;1975;45961;4318;11266;13309;10235;5701;1132;
2216000;"Powiat sztumski";15727;1592;3359;4177;3512;2611;476;9102;973;1996;2384;1841;1587;321;6625;619;1363;1793;1671;1024;155;
2261000;"City with powiat status Gdańsk";235124;16487;67754;64148;44699;30257;11779;119379;7975;33704;32562;22115;16023;7000;115745;8512;34050;31586;22584;14234;4779;
2262000;"City with powiat status Gdynia";111547;6848;27039;31268;23500;16483;6409;56755;3447;13367;15644;11595;8765;3937;54792;3401;13672;15624;11905;7718;2472;
2263000;"City with powiat status Słupsk";37202;2232;7925;10196;8078;6695;2076;18992;1152;4071;5179;3869;3505;1216;18210;1080;3854;5017;4209;3190;860;
2264000;"City with powiat status Sopot";14135;865;3133;3577;2889;2354;1317;7216;426;1592;1817;1417;1220;744;6919;439;1541;1760;1472;1134;573;
2401000;"Powiat będziński";65280;3883;12782;20419;15788;9887;2521;34151;2144;6742;10542;7966;5304;1453;31129;1739;6040;9877;7822;4583;1068;
2402000;"Powiat bielski";77809;6056;17408;22624;18164;11295;2262;41334;3400;9232;11947;8983;6397;1375;36475;2656;8176;10677;9181;4898;887;
2403000;"Powiat cieszyński";78806;6959;17329;22283;18056;11307;2872;41813;3988;9433;11716;8831;6194;1651;36993;2971;7896;10567;9225;5113;1221;
2404000;"Powiat częstochowski";60326;3967;12484;16922;15206;9995;1752;33017;2344;6970;9018;7742;5885;1058;27309;1623;5514;7904;7464;4110;694;
2405000;"Powiat gliwicki";50006;4084;11261;14760;11473;7140;1288;26994;2295;6059;7832;5866;4114;828;23012;1789;5202;6928;5607;3026;460;
2406000;"Powiat kłobucki";38626;2743;8303;10417;9708;6307;1148;21354;1691;4646;5558;4925;3814;720;17272;1052;3657;4859;4783;2493;428;
2407000;"Powiat lubliniecki";32993;2893;7723;8968;7674;4947;788;18375;1744;4291;4875;4014;2955;496;14618;1149;3432;4093;3660;1992;292;
2408000;"Powiat mikołowski";45465;3224;10280;14000;10460;6252;1249;24355;1753;5451;7477;5392;3471;811;21110;1471;4829;6523;5068;2781;438;
2409000;"Powiat myszkowski";30001;2106;6091;8638;7301;4912;953;16243;1232;3366;4612;3691;2784;558;13758;874;2725;4026;3610;2128;395;
2410000;"Powiat pszczyński";51391;4633;12388;14975;10895;7287;1213;27943;2652;6727;8137;5466;4167;794;23448;1981;5661;6838;5429;3120;419;
2411000;"Powiat raciborski";42514;3431;9586;11456;9933;6856;1252;23330;2078;5284;6128;5077;3984;779;19184;1353;4302;5328;4856;2872;473;
2412000;"Powiat rybnicki";32507;3048;8165;9797;6971;3936;590;18341;1741;4683;5522;3645;2363;387;14166;1307;3482;4275;3326;1573;203;
2413000;"Powiat tarnogórski";60847;4209;13055;17863;14566;9055;2099;33062;2406;7049;9553;7545;5183;1326;27785;1803;6006;8310;7021;3872;773;
2414000;"Powiat bieruńsko-lędziński";27603;2220;6645;8164;6173;3714;687;14746;1259;3543;4356;3039;2103;446;12857;961;3102;3808;3134;1611;241;
2415000;"Powiat wodzisławski";62232;5726;14841;18476;13930;7873;1386;34497;3323;8356;10387;7141;4411;879;27735;2403;6485;8089;6789;3462;507;
2416000;"Powiat zawierciański";49370;3095;10141;14246;12450;7889;1549;26701;1749;5633;7592;6235;4552;940;22669;1346;4508;6654;6215;3337;609;
2417000;"Powiat żywiecki";66080;5712;15693;18166;15583;9132;1794;35237;3259;8583;9648;7747;5082;918;30843;2453;7110;8518;7836;4050;876;
2461000;"City with powiat status Bielsko-Biała";76716;4911;16986;22407;16583;11976;3853;40077;2659;8874;11658;8153;6502;2231;36639;2252;8112;10749;8430;5474;1622;
2462000;"City with powiat status Bytom";62638;5022;14818;17548;14153;9136;1961;33428;2673;8089;9381;7063;5077;1145;29210;2349;6729;8167;7090;4059;816;
2463000;"City with powiat status Chorzów";45720;3611;10578;12717;10887;6374;1553;23913;1889;5612;6579;5442;3549;842;21807;1722;4966;6138;5445;2825;711;
2464000;"City with powiat status Częstochowa";93129;4799;18692;25846;21282;17328;5182;48779;2671;10091;13512;10294;9306;2905;44350;2128;8601;12334;10988;8022;2277;
2465000;"City with powiat status Dąbrowa Górnicza";52073;2890;10225;16774;11590;8365;2229;27437;1568;5402;8818;5819;4564;1266;24636;1322;4823;7956;5771;3801;963;
2466000;"City with powiat status Gliwice";79619;5307;18595;22760;16687;12228;4042;42354;2859;9964;12026;8368;6672;2465;37265;2448;8631;10734;8319;5556;1577;
2467000;"City with powiat status Jastrzębie-Zdrój";33604;3098;7659;9219;8731;4065;832;18197;1705;4304;5107;4362;2222;497;15407;1393;3355;4112;4369;1843;335;
2468000;"City with powiat status Jaworzno";39323;2745;9018;11474;8856;6167;1063;20702;1507;4807;6105;4423;3223;637;18621;1238;4211;5369;4433;2944;426;
2469000;"City with powiat status Katowice";133428;8916;34577;35919;26617;20953;6446;68494;4516;17804;18629;12839;11022;3684;64934;4400;16773;17290;13778;9931;2762;
2470000;"City with powiat status Mysłowice";32415;2233;7695;9652;6880;4953;1002;17085;1158;4025;5173;3438;2688;603;15330;1075;3670;4479;3442;2265;399;
2471000;"City with powiat status Piekary Śląskie";22167;1770;5217;6556;4815;3151;658;11866;974;2787;3527;2412;1763;403;10301;796;2430;3029;2403;1388;255;
2472000;"City with powiat status Ruda Śląska";57217;4580;13980;17057;12306;7881;1413;30841;2483;7593;9236;6177;4462;890;26376;2097;6387;7821;6129;3419;523;
2473000;"City with powiat status Rybnik";56232;4680;13494;16838;12215;7426;1579;31057;2629;7517;9315;6322;4250;1024;25175;2051;5977;7523;5893;3176;555;
2474000;"City with powiat status Siemianowice Śląskie";28161;1853;6403;8202;6377;4398;928;14758;1003;3352;4295;3174;2371;563;13403;850;3051;3907;3203;2027;365;
2475000;"City with powiat status Sosnowiec";83920;5342;17684;25036;18787;13233;3838;43608;2762;9350;13111;9234;6991;2160;40312;2580;8334;11925;9553;6242;1678;
2476000;"City with powiat status Świętochłowice";19682;1611;4556;5651;4426;2886;552;10503;826;2440;3010;2272;1628;327;9179;785;2116;2641;2154;1258;225;
2477000;"City with powiat status Tychy";56136;3452;12559;18168;11131;8430;2396;29488;1804;6505;9502;5623;4653;1401;26648;1648;6054;8666;5508;3777;995;
2478000;"City with powiat status Zabrze";65298;5245;15613;17627;14767;9963;2083;34996;2925;8510;9390;7351;5564;1256;30302;2320;7103;8237;7416;4399;827;
2479000;"City with powiat status Żory";26160;2204;5748;8943;5434;2977;854;14142;1224;3118;4851;2799;1606;544;12018;980;2630;4092;2635;1371;310;
2601000;"Powiat buski";30596;2006;6326;8550;7672;5123;919;16630;1158;3521;4430;3900;3073;548;13966;848;2805;4120;3772;2050;371;
2602000;"Powiat jędrzejowski";35976;2733;7829;10485;8301;5636;992;20354;1713;4429;5698;4402;3478;634;15622;1020;3400;4787;3899;2158;358;
2603000;"Powiat kazimierski";14181;1087;3136;3804;3399;2396;359;7875;603;1755;2088;1734;1455;240;6306;484;1381;1716;1665;941;119;
2604000;"Powiat kielecki";96009;6976;21943;27304;22838;14664;2284;52525;4122;11961;14527;11634;8877;1404;43484;2854;9982;12777;11204;5787;880;
2605000;"Powiat konecki";30752;2367;6384;8244;7601;5221;935;17387;1419;3645;4506;3991;3228;598;13365;948;2739;3738;3610;1993;337;
2606000;"Powiat opatowski";21023;1499;4475;5613;5188;3683;565;11714;876;2561;3005;2614;2307;351;9309;623;1914;2608;2574;1376;214;
2607000;"Powiat ostrowiecki";39888;2393;7736;11323;9755;7421;1260;21755;1396;4362;6042;4874;4327;754;18133;997;3374;5281;4881;3094;506;
2608000;"Powiat pińczowski";16202;1162;3561;4319;3870;2842;448;9022;703;1990;2365;1930;1741;293;7180;459;1571;1954;1940;1101;155;
2609000;"Powiat sandomierski";31944;1892;6689;8677;7955;5682;1049;17208;1134;3630;4629;3963;3237;615;14736;758;3059;4048;3992;2445;434;
2610000;"Powiat skarżyski";27526;1618;5496;7531;6525;5210;1146;14901;865;3045;4067;3226;2983;715;12625;753;2451;3464;3299;2227;431;
2611000;"Powiat starachowicki";35731;2640;7523;9703;8332;6324;1209;19537;1535;4201;5248;4189;3661;703;16194;1105;3322;4455;4143;2663;506;
2612000;"Powiat staszowski";30533;2284;6823;8321;7320;5038;747;17001;1389;3915;4458;3762;3015;462;13532;895;2908;3863;3558;2023;285;
2613000;"Powiat włoszczowski";19224;1549;4344;5304;4539;3007;481;10902;933;2511;2852;2383;1928;295;8322;616;1833;2452;2156;1079;186;
2661000;"City with powiat status Kielce";81120;3823;18191;23654;17505;13501;4446;41096;2007;9277;11987;8393;6908;2524;40024;1816;8914;11667;9112;6593;1922;
2801000;"Powiat bartoszycki";20436;1720;4265;5539;4711;3672;529;11269;1007;2400;3024;2390;2131;317;9167;713;1865;2515;2321;1541;212;
2802000;"Powiat braniewski";15195;1263;3242;3996;3490;2742;462;8633;758;1872;2203;1902;1613;285;6562;505;1370;1793;1588;1129;177;
2803000;"Powiat działdowski";27084;2722;5800;7163;6275;4469;655;15214;1593;3309;3901;3268;2711;432;11870;1129;2491;3262;3007;1758;223;
2804000;"Powiat elbląski";22491;2035;4608;6258;5245;3730;615;12865;1246;2702;3450;2784;2290;393;9626;789;1906;2808;2461;1440;222;
2805000;"Powiat ełcki";35437;2721;8209;10107;7662;5796;942;19393;1608;4573;5454;3834;3349;575;16044;1113;3636;4653;3828;2447;367;
2806000;"Powiat giżycki";22546;1583;4912;6052;5174;4026;799;12445;929;2759;3267;2622;2381;487;10101;654;2153;2785;2552;1645;312;
2807000;"Powiat iławski";39770;3879;8866;10982;8653;6350;1040;22142;2288;4977;5931;4468;3792;686;17628;1591;3889;5051;4185;2558;354;
2808000;"Powiat kętrzyński";21483;1448;4354;6039;5008;4023;611;11758;822;2489;3192;2521;2360;374;9725;626;1865;2847;2487;1663;237;
2809000;"Powiat lidzbarski";15744;1288;3293;4200;3651;2850;462;8687;764;1834;2303;1851;1657;278;7057;524;1459;1897;1800;1193;184;
2810000;"Powiat mrągowski";20191;1559;4294;5472;4547;3687;632;10995;871;2402;2900;2307;2132;383;9196;688;1892;2572;2240;1555;249;
2811000;"Powiat nidzicki";13106;1305;2739;3479;3094;2144;345;7383;826;1507;1920;1607;1301;222;5723;479;1232;1559;1487;843;123;
2812000;"Powiat nowomiejski";18605;2206;4123;4915;4206;2766;389;10680;1329;2373;2754;2202;1760;262;7925;877;1750;2161;2004;1006;127;
2813000;"Powiat olecki";13390;1125;2997;3671;2801;2334;462;7463;655;1653;2023;1437;1394;301;5927;470;1344;1648;1364;940;161;
2814000;"Powiat olsztyński";56720;4124;12189;16586;13057;8978;1786;30388;2367;6587;8571;6625;5173;1065;26332;1757;5602;8015;6432;3805;721;
2815000;"Powiat ostródzki";41893;3836;9015;11378;9331;7087;1246;23251;2258;5057;6175;4810;4192;759;18642;1578;3958;5203;4521;2895;487;
2816000;"Powiat piski";20440;1594;4592;5215;4955;3610;474;11662;930;2731;2885;2592;2224;300;8778;664;1861;2330;2363;1386;174;
2817000;"Powiat szczycieński";27819;2459;6031;7506;6474;4646;703;15345;1505;3368;4024;3262;2741;445;12474;954;2663;3482;3212;1905;258;
2818000;"Powiat gołdapski";10179;847;2318;2708;2216;1793;297;5716;497;1351;1457;1186;1041;184;4463;350;967;1251;1030;752;113;
2819000;"Powiat węgorzewski";8387;602;1785;2331;1886;1539;244;4668;367;1028;1254;975;886;158;3719;235;757;1077;911;653;86;
2861000;"City with powiat status Elbląg";47074;3073;10076;13056;10770;8027;2072;24945;1753;5450;6810;5295;4386;1251;22129;1320;4626;6246;5475;3641;821;
2862000;"City with powiat status Olsztyn";78882;4518;18832;23049;16614;12259;3610;39270;2345;9473;11387;7798;6296;1971;39612;2173;9359;11662;8816;5963;1639;
3001000;"Powiat chodzieski";21008;2086;4390;6034;4544;3125;829;11711;1247;2452;3281;2397;1861;473;9297;839;1938;2753;2147;1264;356;
3002000;"Powiat czarnkowsko-trzcianecki";38146;3746;8314;10339;8792;5833;1122;21296;2252;4678;5542;4592;3542;690;16850;1494;3636;4797;4200;2291;432;
3003000;"Powiat gnieźnieński";64823;6035;14122;18419;14440;9547;2260;35880;3497;7801;9926;7567;5680;1409;28943;2538;6321;8493;6873;3867;851;
3004000;"Powiat gostyński";36404;3870;8622;9571;7778;5642;921;20706;2298;4885;5272;4087;3560;604;15698;1572;3737;4299;3691;2082;317;
3005000;"Powiat grodziski";26285;3228;6324;6766;5466;3771;730;14736;1904;3456;3718;2874;2280;504;11549;1324;2868;3048;2592;1491;226;
3006000;"Powiat jarociński";32558;3427;7641;8753;7141;4690;906;18333;2047;4289;4833;3791;2804;569;14225;1380;3352;3920;3350;1886;337;
3007000;"Powiat kaliski";40436;3357;9295;10907;9719;6085;1073;22070;1938;5069;5799;4927;3661;676;18366;1419;4226;5108;4792;2424;397;
3008000;"Powiat kępiński";28866;3102;6669;7619;6433;4120;923;15889;1785;3618;4097;3332;2470;587;12977;1317;3051;3522;3101;1650;336;
