,code,powiat,year,sex,education,count
1417,2468000,City with powiat status Jaworzno,2021,total,basic vocational/sectoral,6412
1418,2469000,City with powiat status Katowice,2021,total,basic vocational/sectoral,18489
1419,2470000,City with powiat status Mysłowice,2021,total,basic vocational/sectoral,5905
1420,2471000,City with powiat status Piekary Śląskie,2021,total,basic vocational/sectoral,4538
1421,2472000,City with powiat status Ruda Śląska,2021,total,basic vocational/sectoral,12210
1422,2473000,City with powiat status Rybnik,2021,total,basic vocational/sectoral,13010
1423,2474000,City with powiat status Siemianowice Śląskie,2021,total,basic vocational/sectoral,5639
1424,2475000,City with powiat status Sosnowiec,2021,total,basic vocational/sectoral,13741
1425,2476000,City with powiat status Świętochłowice,2021,total,basic vocational/sectoral,4520
1426,2477000,City with powiat status Tychy,2021,total,basic vocational/sectoral,9965
1427,2478000,City with powiat status Zabrze,2021,total,basic vocational/sectoral,12320
1428,2479000,City with powiat status Żory,2021,total,basic vocational/sectoral,6264
1429,2601000,Powiat buski,2021,total,basic vocational/sectoral,8124
1430,2602000,Powiat jędrzejowski,2021,total,basic vocational/sectoral,8565
1431,2603000,Powiat kazimierski,2021,total,basic vocational/sectoral,3558
1432,2604000,Powiat kielecki,2021,total,basic vocational/sectoral,22808
1433,2605000,Powiat konecki,2021,total,basic vocational/sectoral,7687
1434,2606000,Powiat opatowski,2021,total,basic vocational/sectoral,6040
1435,2607000,Powiat ostrowiecki,2021,total,basic vocational/sectoral,9030
1436,2608000,Powiat pińczowski,2021,total,basic vocational/sectoral,3765
1437,2609000,Powiat sandomierski,2021,total,basic vocational/sectoral,6816
1438,2610000,Powiat skarżyski,2021,total,basic vocational/sectoral,4559
1439,2611000,Powiat starachowicki,2021,total,basic vocational/sectoral,7943
1440,2612000,Powiat staszowski,2021,total,basic vocational/sectoral,8465
1441,2613000,Powiat włoszczowski,2021,total,basic vocational/sectoral,5076
1442,2661000,City with powiat status Kielce,2021,total,basic vocational/sectoral,8002
1443,2801000,Powiat bartoszycki,2021,total,basic vocational/sectoral,5024
1444,2802000,Powiat braniewski,2021,total,basic vocational/sectoral,3484
1445,2803000,Powiat działdowski,2021,total,basic vocational/sectoral,7191
1446,2804000,Powiat elbląski,2021,total,basic vocational/sectoral,6629
1447,2805000,Powiat ełcki,2021,total,basic vocational/sectoral,6220
1448,2806000,Powiat giżycki,2021,total,basic vocational/sectoral,4771
1449,2807000,Powiat iławski,2021,total,basic vocational/sectoral,11190
1450,2808000,Powiat kętrzyński,2021,total,basic vocational/sectoral,4662
1451,2809000,Powiat lidzbarski,2021,total,basic vocational/sectoral,3940
1452,2810000,Powiat mrągowski,2021,total,basic vocational/sectoral,4929
1453,2811000,Powiat nidzicki,2021,total,basic vocational/sectoral,3132
1454,2812000,Powiat nowomiejski,2021,total,basic vocational/sectoral,6533
1455,2813000,Powiat olecki,2021,total,basic vocational/sectoral,2663
1456,2814000,Powiat olsztyński,2021,total,basic vocational/sectoral,11608
1457,2815000,Powiat ostródzki,2021,total,basic vocational/sectoral,10668
1458,2816000,Powiat piski,2021,total,basic vocational/sectoral,4491
1459,2817000,Powiat szczycieński,2021,total,basic vocational/sectoral,6667
1460,2818000,Powiat gołdapski,2021,total,basic vocational/sectoral,2113
1461,2819000,Powiat węgorzewski,2021,total,basic vocational/sectoral,1917
1462,2861000,City with powiat status Elbląg,2021,total,basic vocational/sectoral,8480
1463,2862000,City with powiat status Olsztyn,2021,total,basic vocational/sectoral,8570
1464,3001000,Powiat chodzieski,2021,total,basic vocational/sectoral,6762
1465,3002000,Powiat czarnkowsko-trzcianecki,2021,total,basic vocational/sectoral,10207
1466,3003000,Powiat gnieźnieński,2021,total,basic vocational/sectoral,18406
1467,3004000,Powiat gostyński,2021,total,basic vocational/sectoral,12260
1468,3005000,Powiat grodziski,2021,total,basic vocational/sectoral,9998
1469,3006000,Powiat jarociński,2021,total,basic vocational/sectoral,9270
1470,3007000,Powiat kaliski,2021,total,basic vocational/sectoral,11869
1471,3008000,Powiat kępiński,2021,total,basic vocational/sectoral,10190
1472,3009000,Powiat kolski,2021,total,basic vocational/sectoral,10410
1473,3010000,Powiat koniński,2021,total,basic vocational/sectoral,16911
1474,3011000,Powiat kościański,2021,total,basic vocational/sectoral,12263
1475,3012000,Powiat krotoszyński,2021,total,basic vocational/sectoral,11387
1476,3013000,Powiat leszczyński,2021,total,basic vocational/sectoral,9463
1477,3014000,Powiat międzychodzki,2021,total,basic vocational/sectoral,5419
1478,3015000,Powiat nowotomyski,2021,total,basic vocational/sectoral,13048
1479,3016000,Powiat obornicki,2021,total,basic vocational/sectoral,8918
1480,3017000,Powiat ostrowski,2021,total,basic vocational/sectoral,20070
1481,3018000,Powiat ostrzeszowski,2021,total,basic vocational/sectoral,8554
1482,3019000,Powiat pilski,2021,total,basic vocational/sectoral,13054
1483,3020000,Powiat pleszewski,2021,total,basic vocational/sectoral,8972
1484,3021000,Powiat poznański,2021,total,basic vocational/sectoral,40322
1485,3022000,Powiat rawicki,2021,total,basic vocational/sectoral,9445
1486,3023000,Powiat słupecki,2021,total,basic vocational/sectoral,8412
1487,3024000,Powiat szamotulski,2021,total,basic vocational/sectoral,13338
1488,3025000,Powiat średzki,2021,total,basic vocational/sectoral,8493
1489,3026000,Powiat śremski,2021,total,basic vocational/sectoral,8860
1490,3027000,Powiat turecki,2021,total,basic vocational/sectoral,10420
1491,3028000,Powiat wągrowiecki,2021,total,basic vocational/sectoral,10899
1492,3029000,Powiat wolsztyński,2021,total,basic vocational/sectoral,10526
1493,3030000,Powiat wrzesiński,2021,total,basic vocational/sectoral,10984
1494,3031000,Powiat złotowski,2021,total,basic vocational/sectoral,8093
1495,3061000,City with powiat status Kalisz,2021,total,basic vocational/sectoral,7497
1496,3062000,City with powiat status Konin,2021,total,basic vocational/sectoral,4925
1497,3063000,City with powiat status Leszno,2021,total,basic vocational/sectoral,5440
1498,3064000,City with powiat status Poznań,2021,total,basic vocational/sectoral,31553
1499,3201000,Powiat białogardzki,2021,total,basic vocational/sectoral,4521
1500,3202000,Powiat choszczeński,2021,total,basic vocational/sectoral,4602
1501,3203000,Powiat drawski,2021,total,basic vocational/sectoral,5575
1502,3204000,Powiat goleniowski,2021,total,basic vocational/sectoral,8310
1503,3205000,Powiat gryficki,2021,total,basic vocational/sectoral,5851
1504,3206000,Powiat gryfiński,2021,total,basic vocational/sectoral,8924
1505,3207000,Powiat kamieński,2021,total,basic vocational/sectoral,3886
1506,3208000,Powiat kołobrzeski,2021,total,basic vocational/sectoral,7143
1507,3209000,Powiat koszaliński,2021,total,basic vocational/sectoral,7299
1508,3210000,Powiat myśliborski,2021,total,basic vocational/sectoral,7008
1509,3211000,Powiat policki,2021,total,basic vocational/sectoral,5891
1510,3212000,Powiat pyrzycki,2021,total,basic vocational/sectoral,4086
1511,3213000,Powiat sławieński,2021,total,basic vocational/sectoral,6206
1512,3214000,Powiat stargardzki,2021,total,basic vocational/sectoral,10238
1513,3215000,Powiat szczecinecki,2021,total,basic vocational/sectoral,6275
1514,3216000,Powiat świdwiński,2021,total,basic vocational/sectoral,4169
1515,3217000,Powiat wałecki,2021,total,basic vocational/sectoral,4992
1516,3218000,Powiat łobeski,2021,total,basic vocational/sectoral,3769
1517,3261000,City with powiat status Koszalin,2021,total,basic vocational/sectoral,6815
1518,3262000,City with powiat status Szczecin,2021,total,basic vocational/sectoral,23107
1519,3263000,City with powiat status Świnoujście,2021,total,basic vocational/sectoral,3029
1520,201000,Powiat bolesławiecki,2021,total,"lower secondary, primary, primary not completed and without school education",2712
1521,202000,Powiat dzierżoniowski,2021,total,"lower secondary, primary, primary not completed and without school education",3253
1522,203000,Powiat głogowski,2021,total,"lower secondary, primary, primary not completed and without school education",1688
1523,204000,Powiat górowski,2021,total,"lower secondary, primary, primary not completed and without school education",1222
1524,205000,Powiat jaworski,2021,total,"lower secondary, primary, primary not completed and without school education",1421
1525,206000,Powiat karkonoski,2021,total,"lower secondary, primary, primary not completed and without school education",1763
1526,207000,Powiat kamiennogórski,2021,total,"lower secondary, primary, primary not completed and without school education",1242
1527,208000,Powiat kłodzki,2021,total,"lower secondary, primary, primary not completed and without school education",4310
1528,209000,Powiat legnicki,2021,total,"lower secondary, primary, primary not completed and without school education",1630
1529,210000,Powiat lubański,2021,total,"lower secondary, primary, primary not completed and without school education",1298
1530,211000,Powiat lubiński,2021,total,"lower secondary, primary, primary not completed and without school education",2020
1531,212000,Powiat lwówecki,2021,total,"lower secondary, primary, primary not completed and without school education",1135
1532,213000,Powiat milicki,2021,total,"lower secondary, primary, primary not completed and without school education",1239
1533,214000,Powiat oleśnicki,2021,total,"lower secondary, primary, primary not completed and without school education",3552
1534,215000,Powiat oławski,2021,total,"lower secondary, primary, primary not completed and without school education",2278
1535,216000,Powiat polkowicki,2021,total,"lower secondary, primary, primary not completed and without school education",1749
1536,217000,Powiat strzeliński,2021,total,"lower secondary, primary, primary not completed and without school education",1033
1537,218000,Powiat średzki,2021,total,"lower secondary, primary, primary not completed and without school education",1882
1538,219000,Powiat świdnicki,2021,total,"lower secondary, primary, primary not completed and without school education",4334
1539,220000,Powiat trzebnicki,2021,total,"lower secondary, primary, primary not completed and without school education",2573
1540,221000,Powiat wałbrzyski,2021,total,"lower secondary, primary, primary not completed and without school education",1879
1541,222000,Powiat wołowski,2021,total,"lower secondary, primary, primary not completed and without school education",1156
1542,223000,Powiat wrocławski,2021,total,"lower secondary, primary, primary not completed and without school education",4134
1543,224000,Powiat ząbkowicki,2021,total,"lower secondary, primary, primary not completed and without school education",1604
1544,225000,Powiat zgorzelecki,2021,total,"lower secondary, primary, primary not completed and without school education",2610
1545,226000,Powiat złotoryjski,2021,total,"lower secondary, primary, primary not completed and without school education",1390
1546,261000,City with powiat status Jelenia Góra,2021,total,"lower secondary, primary, primary not completed and without school education",1586
1547,262000,City with powiat status Legnica,2021,total,"lower secondary, primary, primary not completed and without school education",2236
1548,264000,City with powiat status Wrocław,2021,total,"lower secondary, primary, primary not completed and without school education",11571
1549,265000,City with powiat status Wałbrzych since 2013,2021,total,"lower secondary, primary, primary not completed and without school education",3162
1550,401000,Powiat aleksandrowski,2021,total,"lower secondary, primary, primary not completed and without school education",1498
1551,402000,Powiat brodnicki,2021,total,"lower secondary, primary, primary not completed and without school education",3237
1552,403000,Powiat bydgoski,2021,total,"lower secondary, primary, primary not completed and without school education",3237
1553,404000,Powiat chełmiński,2021,total,"lower secondary, primary, primary not completed and without school education",2045
1554,405000,Powiat golubsko-dobrzyński,2021,total,"lower secondary, primary, primary not completed and without school education",1605
1555,406000,Powiat grudziądzki,2021,total,"lower secondary, primary, primary not completed and without school education",1726
1556,407000,Powiat inowrocławski,2021,total,"lower secondary, primary, primary not completed and without school education",4312
1557,408000,Powiat lipnowski,2021,total,"lower secondary, primary, primary not completed and without school education",2813
1558,409000,Powiat mogileński,2021,total,"lower secondary, primary, primary not completed and without school education",1126
1559,410000,Powiat nakielski,2021,total,"lower secondary, primary, primary not completed and without school education",3009
1560,411000,Powiat radziejowski,2021,total,"lower secondary, primary, primary not completed and without school education",1467
1561,412000,Powiat rypiński,2021,total,"lower secondary, primary, primary not completed and without school education",2693
1562,413000,Powiat sępoleński,2021,total,"lower secondary, primary, primary not completed and without school education",1545
1563,414000,Powiat świecki,2021,total,"lower secondary, primary, primary not completed and without school education",3406
1564,415000,Powiat toruński,2021,total,"lower secondary, primary, primary not completed and without school education",3910
1565,416000,Powiat tucholski,2021,total,"lower secondary, primary, primary not completed and without school education",1627
1566,417000,Powiat wąbrzeski,2021,total,"lower secondary, primary, primary not completed and without school education",1443
1567,418000,Powiat włocławski,2021,total,"lower secondary, primary, primary not completed and without school education",3445
1568,419000,Powiat żniński,2021,total,"lower secondary, primary, primary not completed and without school education",1780
1569,461000,City with powiat status Bydgoszcz,2021,total,"lower secondary, primary, primary not completed and without school education",7192
1570,462000,City with powiat status Grudziądz,2021,total,"lower secondary, primary, primary not completed and without school education",2287
1571,463000,City with powiat status Toruń,2021,total,"lower secondary, primary, primary not completed and without school education",4445
1572,464000,City with powiat status Włocławek,2021,total,"lower secondary, primary, primary not completed and without school education",2499
1573,601000,Powiat bialski,2021,total,"lower secondary, primary, primary not completed and without school education",2943
1574,602000,Powiat biłgorajski,2021,total,"lower secondary, primary, primary not completed and without school education",2664
1575,603000,Powiat chełmski,2021,total,"lower secondary, primary, primary not completed and without school education",2761
1576,604000,Powiat hrubieszowski,2021,total,"lower secondary, primary, primary not completed and without school education",1844
1577,605000,Powiat janowski,2021,total,"lower secondary, primary, primary not completed and without school education",1435
1578,606000,Powiat krasnostawski,2021,total,"lower secondary, primary, primary not completed and without school education",1480
1579,607000,Powiat kraśnicki,2021,total,"lower secondary, primary, primary not completed and without school education",2455
1580,608000,Powiat lubartowski,2021,total,"lower secondary, primary, primary not completed and without school education",2906
1581,609000,Powiat lubelski,2021,total,"lower secondary, primary, primary not completed and without school education",3599
1582,610000,Powiat łęczyński,2021,total,"lower secondary, primary, primary not completed and without school education",1512
1583,611000,Powiat łukowski,2021,total,"lower secondary, primary, primary not completed and without school education",3944
1584,612000,Powiat opolski,2021,total,"lower secondary, primary, primary not completed and without school education",1822
1585,613000,Powiat parczewski,2021,total,"lower secondary, primary, primary not completed and without school education",952
1586,614000,Powiat puławski,2021,total,"lower secondary, primary, primary not completed and without school education",2049
1587,615000,Powiat radzyński,2021,total,"lower secondary, primary, primary not completed and without school education",1966
1588,616000,Powiat rycki,2021,total,"lower secondary, primary, primary not completed and without school education",832
1589,617000,Powiat świdnicki,2021,total,"lower secondary, primary, primary not completed and without school education",1273
1590,618000,Powiat tomaszowski,2021,total,"lower secondary, primary, primary not completed and without school education",2424
1591,619000,Powiat włodawski,2021,total,"lower secondary, primary, primary not completed and without school education",1139
1592,620000,Powiat zamojski,2021,total,"lower secondary, primary, primary not completed and without school education",3035
1593,661000,City with powiat status Biała Podlaska,2021,total,"lower secondary, primary, primary not completed and without school education",821
1594,662000,City with powiat status Chełm,2021,total,"lower secondary, primary, primary not completed and without school education",772
1595,663000,City with powiat status Lublin,2021,total,"lower secondary, primary, primary not completed and without school education",4608
1596,664000,City with powiat status Zamość,2021,total,"lower secondary, primary, primary not completed and without school education",733
1597,801000,Powiat gorzowski,2021,total,"lower secondary, primary, primary not completed and without school education",2762
1598,802000,Powiat krośnieński,2021,total,"lower secondary, primary, primary not completed and without school education",1756
1599,803000,Powiat międzyrzecki,2021,total,"lower secondary, primary, primary not completed and without school education",1747
1600,804000,Powiat nowosolski,2021,total,"lower secondary, primary, primary not completed and without school education",2724
1601,805000,Powiat słubicki,2021,total,"lower secondary, primary, primary not completed and without school education",1861
1602,806000,Powiat strzelecko-drezdenecki,2021,total,"lower secondary, primary, primary not completed and without school education",2017
1603,807000,Powiat sulęciński,2021,total,"lower secondary, primary, primary not completed and without school education",1151
1604,808000,Powiat świebodziński,2021,total,"lower secondary, primary, primary not completed and without school education",1665
1605,809000,Powiat zielonogórski,2021,total,"lower secondary, primary, primary not completed and without school education",2267
1606,810000,Powiat żagański,2021,total,"lower secondary, primary, primary not completed and without school education",2129
1607,811000,Powiat żarski,2021,total,"lower secondary, primary, primary not completed and without school education",2561
1608,812000,Powiat wschowski,2021,total,"lower secondary, primary, primary not completed and without school education",1317
1609,861000,City with powiat status Gorzów Wielkopolski,2021,total,"lower secondary, primary, primary not completed and without school education",2927
1610,862000,City with powiat status Zielona Góra,2021,total,"lower secondary, primary, primary not completed and without school education",2396
1611,1001000,Powiat bełchatowski,2021,total,"lower secondary, primary, primary not completed and without school education",3039
1612,1002000,Powiat kutnowski,2021,total,"lower secondary, primary, primary not completed and without school education",3043
1613,1003000,Powiat łaski,2021,total,"lower secondary, primary, primary not completed and without school education",1627
1614,1004000,Powiat łęczycki,2021,total,"lower secondary, primary, primary not completed and without school education",2303
1615,1005000,Powiat łowicki,2021,total,"lower secondary, primary, primary not completed and without school education",2040
1616,1006000,Powiat łódzki wschodni,2021,total,"lower secondary, primary, primary not completed and without school education",2210
1617,1007000,Powiat opoczyński,2021,total,"lower secondary, primary, primary not completed and without school education",2321
1618,1008000,Powiat pabianicki,2021,total,"lower secondary, primary, primary not completed and without school education",3923
1619,1009000,Powiat pajęczański,2021,total,"lower secondary, primary, primary not completed and without school education",1868
1620,1010000,Powiat piotrkowski,2021,total,"lower secondary, primary, primary not completed and without school education",3284
1621,1011000,Powiat poddębicki,2021,total,"lower secondary, primary, primary not completed and without school education",1830
1622,1012000,Powiat radomszczański,2021,total,"lower secondary, primary, primary not completed and without school education",3453
1623,1013000,Powiat rawski,2021,total,"lower secondary, primary, primary not completed and without school education",1545
1624,1014000,Powiat sieradzki,2021,total,"lower secondary, primary, primary not completed and without school education",4110
1625,1015000,Powiat skierniewicki,2021,total,"lower secondary, primary, primary not completed and without school education",1037
1626,1016000,Powiat tomaszowski,2021,total,"lower secondary, primary, primary not completed and without school education",3037
1627,1017000,Powiat wieluński,2021,total,"lower secondary, primary, primary not completed and without school education",1727
1628,1018000,Powiat wieruszowski,2021,total,"lower secondary, primary, primary not completed and without school education",1444
1629,1019000,Powiat zduńskowolski,2021,total,"lower secondary, primary, primary not completed and without school education",2056
1630,1020000,Powiat zgierski,2021,total,"lower secondary, primary, primary not completed and without school education",5161
1631,1021000,Powiat brzeziński,2021,total,"lower secondary, primary, primary not completed and without school education",974
1632,1061000,City with powiat status Łódź,2021,total,"lower secondary, primary, primary not completed and without school education",17839
1633,1062000,City with powiat status Piotrków Trybunalski,2021,total,"lower secondary, primary, primary not completed and without school education",1441
1634,1063000,City with powiat status Skierniewice,2021,total,"lower secondary, primary, primary not completed and without school education",835
1635,1201000,Powiat bocheński,2021,total,"lower secondary, primary, primary not completed and without school education",2100
1636,1202000,Powiat brzeski,2021,total,"lower secondary, primary, primary not completed and without school education",1987
1637,1203000,Powiat chrzanowski,2021,total,"lower secondary, primary, primary not completed and without school education",2495
1638,1204000,Powiat dąbrowski,2021,total,"lower secondary, primary, primary not completed and without school education",1781
1639,1205000,Powiat gorlicki,2021,total,"lower secondary, primary, primary not completed and without school education",2521
1640,1206000,Powiat krakowski,2021,total,"lower secondary, primary, primary not completed and without school education",6303
1641,1207000,Powiat limanowski,2021,total,"lower secondary, primary, primary not completed and without school education",4348
1642,1208000,Powiat miechowski,2021,total,"lower secondary, primary, primary not completed and without school education",936
1643,1209000,Powiat myślenicki,2021,total,"lower secondary, primary, primary not completed and without school education",3262
1644,1210000,Powiat nowosądecki,2021,total,"lower secondary, primary, primary not completed and without school education",5395
1645,1211000,Powiat nowotarski,2021,total,"lower secondary, primary, primary not completed and without school education",11064
1646,1212000,Powiat olkuski,2021,total,"lower secondary, primary, primary not completed and without school education",1715
1647,1213000,Powiat oświęcimski,2021,total,"lower secondary, primary, primary not completed and without school education",2636
1648,1214000,Powiat proszowicki,2021,total,"lower secondary, primary, primary not completed and without school education",1459
1649,1215000,Powiat suski,2021,total,"lower secondary, primary, primary not completed and without school education",2901
1650,1216000,Powiat tarnowski,2021,total,"lower secondary, primary, primary not completed and without school education",4442
1651,1217000,Powiat tatrzański,2021,total,"lower secondary, primary, primary not completed and without school education",3959
1652,1218000,Powiat wadowicki,2021,total,"lower secondary, primary, primary not completed and without school education",4004
1653,1219000,Powiat wielicki,2021,total,"lower secondary, primary, primary not completed and without school education",2932
1654,1261000,City with powiat status Kraków,2021,total,"lower secondary, primary, primary not completed and without school education",10227
1655,1262000,City with powiat status Nowy Sącz,2021,total,"lower secondary, primary, primary not completed and without school education",869
1656,1263000,City with powiat status Tarnów,2021,total,"lower secondary, primary, primary not completed and without school education",1500
1657,1401000,Powiat białobrzeski,2021,total,"lower secondary, primary, primary not completed and without school education",1668
1658,1402000,Powiat ciechanowski,2021,total,"lower secondary, primary, primary not completed and without school education",2388
1659,1403000,Powiat garwoliński,2021,total,"lower secondary, primary, primary not completed and without school education",2496
1660,1404000,Powiat gostyniński,2021,total,"lower secondary, primary, primary not completed and without school education",1354
1661,1405000,Powiat grodziski,2021,total,"lower secondary, primary, primary not completed and without school education",2257
1662,1406000,Powiat grójecki,2021,total,"lower secondary, primary, primary not completed and without school education",3123
1663,1407000,Powiat kozienicki,2021,total,"lower secondary, primary, primary not completed and without school education",1754
1664,1408000,Powiat legionowski,2021,total,"lower secondary, primary, primary not completed and without school education",2415
1665,1409000,Powiat lipski,2021,total,"lower secondary, primary, primary not completed and without school education",845
1666,1410000,Powiat łosicki,2021,total,"lower secondary, primary, primary not completed and without school education",1038
1667,1411000,Powiat makowski,2021,total,"lower secondary, primary, primary not completed and without school education",1152
1668,1412000,Powiat miński,2021,total,"lower secondary, primary, primary not completed and without school education",3448
1669,1413000,Powiat mławski,2021,total,"lower secondary, primary, primary not completed and without school education",2216
1670,1414000,Powiat nowodworski,2021,total,"lower secondary, primary, primary not completed and without school education",2592
1671,1415000,Powiat ostrołęcki,2021,total,"lower secondary, primary, primary not completed and without school education",4153
1672,1416000,Powiat ostrowski,2021,total,"lower secondary, primary, primary not completed and without school education",2231
1673,1417000,Powiat otwocki,2021,total,"lower secondary, primary, primary not completed and without school education",2654
1674,1418000,Powiat piaseczyński,2021,total,"lower secondary, primary, primary not completed and without school education",4143
1675,1419000,Powiat płocki,2021,total,"lower secondary, primary, primary not completed and without school education",3725
1676,1420000,Powiat płoński,2021,total,"lower secondary, primary, primary not completed and without school education",3789
1677,1421000,Powiat pruszkowski,2021,total,"lower secondary, primary, primary not completed and without school education",3403
1678,1422000,Powiat przasnyski,2021,total,"lower secondary, primary, primary not completed and without school education",1998
1679,1423000,Powiat przysuski,2021,total,"lower secondary, primary, primary not completed and without school education",1373
1680,1424000,Powiat pułtuski,2021,total,"lower secondary, primary, primary not completed and without school education",1572
1681,1425000,Powiat radomski,2021,total,"lower secondary, primary, primary not completed and without school education",5118
1682,1426000,Powiat siedlecki,2021,total,"lower secondary, primary, primary not completed and without school education",2490
1683,1427000,Powiat sierpecki,2021,total,"lower secondary, primary, primary not completed and without school education",1604
1684,1428000,Powiat sochaczewski,2021,total,"lower secondary, primary, primary not completed and without school education",2428
1685,1429000,Powiat sokołowski,2021,total,"lower secondary, primary, primary not completed and without school education",1276
1686,1430000,Powiat szydłowiecki,2021,total,"lower secondary, primary, primary not completed and without school education",981
1687,1432000,Powiat warszawski zachodni,2021,total,"lower secondary, primary, primary not completed and without school education",2690
1688,1433000,Powiat węgrowski,2021,total,"lower secondary, primary, primary not completed and without school education",2075
1689,1434000,Powiat wołomiński,2021,total,"lower secondary, primary, primary not completed and without school education",6352
1690,1435000,Powiat wyszkowski,2021,total,"lower secondary, primary, primary not completed and without school education",2549
1691,1436000,Powiat zwoleński,2021,total,"lower secondary, primary, primary not completed and without school education",1418
1692,1437000,Powiat żuromiński,2021,total,"lower secondary, primary, primary not completed and without school education",1611
1693,1438000,Powiat żyrardowski,2021,total,"lower secondary, primary, primary not completed and without school education",2379
1694,1461000,City with powiat status Ostrołęka,2021,total,"lower secondary, primary, primary not completed and without school education",860
1695,1462000,City with powiat status Płock,2021,total,"lower secondary, primary, primary not completed and without school education",2015
1696,1463000,City with powiat status Radom,2021,total,"lower secondary, primary, primary not completed and without school education",3938
1697,1464000,City with powiat status Siedlce,2021,total,"lower secondary, primary, primary not completed and without school education",1026
1698,1465000,City with powiat status Capital City Warszawa,2021,total,"lower secondary, primary, primary not completed and without school education",25134
1699,1601000,Powiat brzeski,2021,total,"lower secondary, primary, primary not completed and without school education",2318
1700,1602000,Powiat głubczycki,2021,total,"lower secondary, primary, primary not completed and without school education",1325
1701,1603000,Powiat kędzierzyńsko-kozielski,2021,total,"lower secondary, primary, primary not completed and without school education",2141
1702,1604000,Powiat kluczborski,2021,total,"lower secondary, primary, primary not completed and without school education",1897
1703,1605000,Powiat krapkowicki,2021,total,"lower secondary, primary, primary not completed and without school education",1804
1704,1606000,Powiat namysłowski,2021,total,"lower secondary, primary, primary not completed and without school education",1262
1705,1607000,Powiat nyski,2021,total,"lower secondary, primary, primary not completed and without school education",3196
1706,1608000,Powiat oleski,2021,total,"lower secondary, primary, primary not completed and without school education",1455
1707,1609000,Powiat opolski,2021,total,"lower secondary, primary, primary not completed and without school education",2866
1708,1610000,Powiat prudnicki,2021,total,"lower secondary, primary, primary not completed and without school education",1306
1709,1611000,Powiat strzelecki,2021,total,"lower secondary, primary, primary not completed and without school education",1970
1710,1661000,City with powiat status Opole,2021,total,"lower secondary, primary, primary not completed and without school education",2170
1711,1801000,Powiat bieszczadzki,2021,total,"lower secondary, primary, primary not completed and without school education",626
1712,1802000,Powiat brzozowski,2021,total,"lower secondary, primary, primary not completed and without school education",1452
1713,1803000,Powiat dębicki,2021,total,"lower secondary, primary, primary not completed and without school education",3253
1714,1804000,Powiat jarosławski,2021,total,"lower secondary, primary, primary not completed and without school education",2818
1715,1805000,Powiat jasielski,2021,total,"lower secondary, primary, primary not completed and without school education",2068
1716,1806000,Powiat kolbuszowski,2021,total,"lower secondary, primary, primary not completed and without school education",1399
1717,1807000,Powiat krośnieński,2021,total,"lower secondary, primary, primary not completed and without school education",2042
1718,1808000,Powiat leżajski,2021,total,"lower secondary, primary, primary not completed and without school education",1169
1719,1809000,Powiat lubaczowski,2021,total,"lower secondary, primary, primary not completed and without school education",1510
1720,1810000,Powiat łańcucki,2021,total,"lower secondary, primary, primary not completed and without school education",1378
1721,1811000,Powiat mielecki,2021,total,"lower secondary, primary, primary not completed and without school education",2643
1722,1812000,Powiat niżański,2021,total,"lower secondary, primary, primary not completed and without school education",1656
1723,1813000,Powiat przemyski,2021,total,"lower secondary, primary, primary not completed and without school education",1667
1724,1814000,Powiat przeworski,2021,total,"lower secondary, primary, primary not completed and without school education",1581
1725,1815000,Powiat ropczycko-sędziszowski,2021,total,"lower secondary, primary, primary not completed and without school education",1646
1726,1816000,Powiat rzeszowski,2021,total,"lower secondary, primary, primary not completed and without school education",3236
1727,1817000,Powiat sanocki,2021,total,"lower secondary, primary, primary not completed and without school education",2067
1728,1818000,Powiat stalowowolski,2021,total,"lower secondary, primary, primary not completed and without school education",2224
1729,1819000,Powiat strzyżowski,2021,total,"lower secondary, primary, primary not completed and without school education",1297
1730,1820000,Powiat tarnobrzeski,2021,total,"lower secondary, primary, primary not completed and without school education",1049
1731,1821000,Powiat leski,2021,total,"lower secondary, primary, primary not completed and without school education",782
1732,1861000,City with powiat status Krosno,2021,total,"lower secondary, primary, primary not completed and without school education",463
1733,1862000,City with powiat status Przemyśl,2021,total,"lower secondary, primary, primary not completed and without school education",664
1734,1863000,City with powiat status Rzeszów,2021,total,"lower secondary, primary, primary not completed and without school education",1667
1735,1864000,City with powiat status Tarnobrzeg,2021,total,"lower secondary, primary, primary not completed and without school education",456
1736,2001000,Powiat augustowski,2021,total,"lower secondary, primary, primary not completed and without school education",1911
1737,2002000,Powiat białostocki,2021,total,"lower secondary, primary, primary not completed and without school education",3773
1738,2003000,Powiat bielski,2021,total,"lower secondary, primary, primary not completed and without school education",1877
1739,2004000,Powiat grajewski,2021,total,"lower secondary, primary, primary not completed and without school education",2136
1740,2005000,Powiat hajnowski,2021,total,"lower secondary, primary, primary not completed and without school education",902
1741,2006000,Powiat kolneński,2021,total,"lower secondary, primary, primary not completed and without school education",2149
1742,2007000,Powiat łomżyński,2021,total,"lower secondary, primary, primary not completed and without school education",2616
1743,2008000,Powiat moniecki,2021,total,"lower secondary, primary, primary not completed and without school education",2056
1744,2009000,Powiat sejneński,2021,total,"lower secondary, primary, primary not completed and without school education",911
1745,2010000,Powiat siemiatycki,2021,total,"lower secondary, primary, primary not completed and without school education",2023
1746,2011000,Powiat sokólski,2021,total,"lower secondary, primary, primary not completed and without school education",2439
1747,2012000,Powiat suwalski,2021,total,"lower secondary, primary, primary not completed and without school education",1897
