,code,powiat,year,sex,education,count
108,1018000,Powiat wieruszowski,2021,total,total,36068
109,1019000,Powiat zduńskowolski,2021,total,total,56056
110,1020000,Powiat zgierski,2021,total,total,145493
111,1021000,Powiat brzeziński,2021,total,total,26323
112,1061000,City with powiat status Łódź,2021,total,total,597630
113,1062000,City with powiat status Piotrków Trybunalski,2021,total,total,60556
114,1063000,City with powiat status Skierniewice,2021,total,total,40159
115,1201000,Powiat bocheński,2021,total,total,89762
116,1202000,Powiat brzeski,2021,total,total,78485
117,1203000,Powiat chrzanowski,2021,total,total,106559
118,1204000,Powiat dąbrowski,2021,total,total,50340
119,1205000,Powiat gorlicki,2021,total,total,91159
120,1206000,Powiat krakowski,2021,total,total,249758
121,1207000,Powiat limanowski,2021,total,total,108136
122,1208000,Powiat miechowski,2021,total,total,41583
123,1209000,Powiat myślenicki,2021,total,total,107969
124,1210000,Powiat nowosądecki,2021,total,total,177458
125,1211000,Powiat nowotarski,2021,total,total,161879
126,1212000,Powiat olkuski,2021,total,total,95024
127,1213000,Powiat oświęcimski,2021,total,total,130899
128,1214000,Powiat proszowicki,2021,total,total,37067
129,1215000,Powiat suski,2021,total,total,70990
130,1216000,Powiat tarnowski,2021,total,total,169417
131,1217000,Powiat tatrzański,2021,total,total,57356
132,1218000,Powiat wadowicki,2021,total,total,134934
133,1219000,Powiat wielicki,2021,total,total,115556
134,1261000,City with powiat status Kraków,2021,total,total,702053
135,1262000,City with powiat status Nowy Sącz,2021,total,total,70031
136,1263000,City with powiat status Tarnów,2021,total,total,94241
137,1401000,Powiat białobrzeski,2021,total,total,27916
138,1402000,Powiat ciechanowski,2021,total,total,74840
139,1403000,Powiat garwoliński,2021,total,total,89043
140,1404000,Powiat gostyniński,2021,total,total,38010
141,1405000,Powiat grodziski,2021,total,total,85264
142,1406000,Powiat grójecki,2021,total,total,83976
143,1407000,Powiat kozienicki,2021,total,total,50586
144,1408000,Powiat legionowski,2021,total,total,106979
145,1409000,Powiat lipski,2021,total,total,28380
146,1410000,Powiat łosicki,2021,total,total,25526
147,1411000,Powiat makowski,2021,total,total,36903
148,1412000,Powiat miński,2021,total,total,133261
149,1413000,Powiat mławski,2021,total,total,60437
150,1414000,Powiat nowodworski,2021,total,total,68568
151,1415000,Powiat ostrołęcki,2021,total,total,73809
152,1416000,Powiat ostrowski,2021,total,total,60525
153,1417000,Powiat otwocki,2021,total,total,107544
154,1418000,Powiat piaseczyński,2021,total,total,172906
155,1419000,Powiat płocki,2021,total,total,94614
156,1420000,Powiat płoński,2021,total,total,73645
157,1421000,Powiat pruszkowski,2021,total,total,148946
158,1422000,Powiat przasnyski,2021,total,total,42802
159,1423000,Powiat przysuski,2021,total,total,34462
160,1424000,Powiat pułtuski,2021,total,total,43456
161,1425000,Powiat radomski,2021,total,total,128392
162,1426000,Powiat siedlecki,2021,total,total,68160
163,1427000,Powiat sierpecki,2021,total,total,42831
164,1428000,Powiat sochaczewski,2021,total,total,71942
165,1429000,Powiat sokołowski,2021,total,total,44773
166,1430000,Powiat szydłowiecki,2021,total,total,33025
167,1432000,Powiat warszawski zachodni,2021,total,total,109101
168,1433000,Powiat węgrowski,2021,total,total,54110
169,1434000,Powiat wołomiński,2021,total,total,222058
170,1435000,Powiat wyszkowski,2021,total,total,62377
171,1436000,Powiat zwoleński,2021,total,total,30116
172,1437000,Powiat żuromiński,2021,total,total,31723
173,1438000,Powiat żyrardowski,2021,total,total,65239
174,1461000,City with powiat status Ostrołęka,2021,total,total,43126
175,1462000,City with powiat status Płock,2021,total,total,100722
176,1463000,City with powiat status Radom,2021,total,total,176775
177,1464000,City with powiat status Siedlce,2021,total,total,65025
178,1465000,City with powiat status Capital City Warszawa,2021,total,total,1608993
179,1601000,Powiat brzeski,2021,total,total,76537
180,1602000,Powiat głubczycki,2021,total,total,38919
181,1603000,Powiat kędzierzyńsko-kozielski,2021,total,total,78943
182,1604000,Powiat kluczborski,2021,total,total,55467
183,1605000,Powiat krapkowicki,2021,total,total,53313
184,1606000,Powiat namysłowski,2021,total,total,36592
185,1607000,Powiat nyski,2021,total,total,116471
186,1608000,Powiat oleski,2021,total,total,54562
187,1609000,Powiat opolski,2021,total,total,105701
188,1610000,Powiat prudnicki,2021,total,total,46526
189,1611000,Powiat strzelecki,2021,total,total,63133
190,1661000,City with powiat status Opole,2021,total,total,112033
191,1801000,Powiat bieszczadzki,2021,total,total,18363
192,1802000,Powiat brzozowski,2021,total,total,55072
193,1803000,Powiat dębicki,2021,total,total,114327
194,1804000,Powiat jarosławski,2021,total,total,101790
195,1805000,Powiat jasielski,2021,total,total,96522
196,1806000,Powiat kolbuszowski,2021,total,total,53247
197,1807000,Powiat krośnieński,2021,total,total,94676
198,1808000,Powiat leżajski,2021,total,total,58700
199,1809000,Powiat lubaczowski,2021,total,total,46969
200,1810000,Powiat łańcucki,2021,total,total,68608
201,1811000,Powiat mielecki,2021,total,total,115188
202,1812000,Powiat niżański,2021,total,total,56678
203,1813000,Powiat przemyski,2021,total,total,61906
204,1814000,Powiat przeworski,2021,total,total,66100
205,1815000,Powiat ropczycko-sędziszowski,2021,total,total,62585
206,1816000,Powiat rzeszowski,2021,total,total,145699
207,1817000,Powiat sanocki,2021,total,total,79551
208,1818000,Powiat stalowowolski,2021,total,total,90549
209,1819000,Powiat strzyżowski,2021,total,total,52142
210,1820000,Powiat tarnobrzeski,2021,total,total,45261
211,1821000,Powiat leski,2021,total,total,22650
212,1861000,City with powiat status Krosno,2021,total,total,39545
213,1862000,City with powiat status Przemyśl,2021,total,total,51723
214,1863000,City with powiat status Rzeszów,2021,total,total,167258
215,1864000,City with powiat status Tarnobrzeg,2021,total,total,40019
216,2001000,Powiat augustowski,2021,total,total,48739
217,2002000,Powiat białostocki,2021,total,total,131163
218,2003000,Powiat bielski,2021,total,total,45796
219,2004000,Powiat grajewski,2021,total,total,39447
220,2005000,Powiat hajnowski,2021,total,total,36073
221,2006000,Powiat kolneński,2021,total,total,31490
222,2007000,Powiat łomżyński,2021,total,total,42751
223,2008000,Powiat moniecki,2021,total,total,33723
224,2009000,Powiat sejneński,2021,total,total,16844
225,2010000,Powiat siemiatycki,2021,total,total,37208
226,2011000,Powiat sokólski,2021,total,total,55778
227,2012000,Powiat suwalski,2021,total,total,29839
228,2013000,Powiat wysokomazowiecki,2021,total,total,47162
229,2014000,Powiat zambrowski,2021,total,total,36566
230,2061000,City with powiat status Białystok,2021,total,total,255358
231,2062000,City with powiat status Łomża,2021,total,total,52982
232,2063000,City with powiat status Suwałki,2021,total,total,59449
233,2201000,Powiat bytowski,2021,total,total,65028
234,2202000,Powiat chojnicki,2021,total,total,81204
235,2203000,Powiat człuchowski,2021,total,total,46684
236,2204000,Powiat gdański,2021,total,total,104588
237,2205000,Powiat kartuski,2021,total,total,118078
238,2206000,Powiat kościerski,2021,total,total,60245
239,2207000,Powiat kwidzyński,2021,total,total,69490
240,2208000,Powiat lęborski,2021,total,total,54757
241,2209000,Powiat malborski,2021,total,total,53468
242,2210000,Powiat nowodworski,2021,total,total,29635
243,2211000,Powiat pucki,2021,total,total,75072
244,2212000,Powiat słupski,2021,total,total,82381
245,2213000,Powiat starogardzki,2021,total,total,106157
246,2214000,Powiat tczewski,2021,total,total,95979
247,2215000,Powiat wejherowski,2021,total,total,186420
248,2216000,Powiat sztumski,2021,total,total,33963
249,2261000,City with powiat status Gdańsk,2021,total,total,425120
250,2262000,City with powiat status Gdynia,2021,total,total,216211
251,2263000,City with powiat status Słupsk,2021,total,total,77817
252,2264000,City with powiat status Sopot,2021,total,total,29764
253,2401000,Powiat będziński,2021,total,total,129553
254,2402000,Powiat bielski,2021,total,total,140495
255,2403000,Powiat cieszyński,2021,total,total,151326
256,2404000,Powiat częstochowski,2021,total,total,116162
257,2405000,Powiat gliwicki,2021,total,total,97669
258,2406000,Powiat kłobucki,2021,total,total,72448
259,2407000,Powiat lubliniecki,2021,total,total,65438
260,2408000,Powiat mikołowski,2021,total,total,84203
261,2409000,Powiat myszkowski,2021,total,total,60529
262,2410000,Powiat pszczyński,2021,total,total,93124
263,2411000,Powiat raciborski,2021,total,total,89022
264,2412000,Powiat rybnicki,2021,total,total,65086
265,2413000,Powiat tarnogórski,2021,total,total,120386
266,2414000,Powiat bieruńsko-lędziński,2021,total,total,50174
267,2415000,Powiat wodzisławski,2021,total,total,131576
268,2416000,Powiat zawierciański,2021,total,total,101211
269,2417000,Powiat żywiecki,2021,total,total,129231
270,2461000,City with powiat status Bielsko-Biała,2021,total,total,147605
271,2462000,City with powiat status Bytom,2021,total,total,135135
272,2463000,City with powiat status Chorzów,2021,total,total,91247
273,2464000,City with powiat status Częstochowa,2021,total,total,189797
274,2465000,City with powiat status Dąbrowa Górnicza,2021,total,total,103365
275,2466000,City with powiat status Gliwice,2021,total,total,152919
276,2467000,City with powiat status Jastrzębie-Zdrój,2021,total,total,74526
277,2468000,City with powiat status Jaworzno,2021,total,total,78075
278,2469000,City with powiat status Katowice,2021,total,total,254105
279,2470000,City with powiat status Mysłowice,2021,total,total,62628
280,2471000,City with powiat status Piekary Śląskie,2021,total,total,46502
281,2472000,City with powiat status Ruda Śląska,2021,total,total,116165
282,2473000,City with powiat status Rybnik,2021,total,total,115752
283,2474000,City with powiat status Siemianowice Śląskie,2021,total,total,56672
284,2475000,City with powiat status Sosnowiec,2021,total,total,173106
285,2476000,City with powiat status Świętochłowice,2021,total,total,40709
286,2477000,City with powiat status Tychy,2021,total,total,108205
287,2478000,City with powiat status Zabrze,2021,total,total,139369
288,2479000,City with powiat status Żory,2021,total,total,52919
289,2601000,Powiat buski,2021,total,total,61235
290,2602000,Powiat jędrzejowski,2021,total,total,72269
291,2603000,Powiat kazimierski,2021,total,total,28954
292,2604000,Powiat kielecki,2021,total,total,181073
293,2605000,Powiat konecki,2021,total,total,67551
294,2606000,Powiat opatowski,2021,total,total,44147
295,2607000,Powiat ostrowiecki,2021,total,total,92541
296,2608000,Powiat pińczowski,2021,total,total,33219
297,2609000,Powiat sandomierski,2021,total,total,65454
298,2610000,Powiat skarżyski,2021,total,total,63384
299,2611000,Powiat starachowicki,2021,total,total,76217
300,2612000,Powiat staszowski,2021,total,total,60934
301,2613000,Powiat włoszczowski,2021,total,total,38323
302,2661000,City with powiat status Kielce,2021,total,total,164442
303,2801000,Powiat bartoszycki,2021,total,total,47499
304,2802000,Powiat braniewski,2021,total,total,33539
305,2803000,Powiat działdowski,2021,total,total,53760
306,2804000,Powiat elbląski,2021,total,total,47704
307,2805000,Powiat ełcki,2021,total,total,76506
308,2806000,Powiat giżycki,2021,total,total,47838
309,2807000,Powiat iławski,2021,total,total,77576
310,2808000,Powiat kętrzyński,2021,total,total,51818
311,2809000,Powiat lidzbarski,2021,total,total,34150
312,2810000,Powiat mrągowski,2021,total,total,42535
313,2811000,Powiat nidzicki,2021,total,total,27012
314,2812000,Powiat nowomiejski,2021,total,total,36056
315,2813000,Powiat olecki,2021,total,total,28184
316,2814000,Powiat olsztyński,2021,total,total,109655
317,2815000,Powiat ostródzki,2021,total,total,87404
318,2816000,Powiat piski,2021,total,total,46342
319,2817000,Powiat szczycieński,2021,total,total,58273
320,2818000,Powiat gołdapski,2021,total,total,21842
321,2819000,Powiat węgorzewski,2021,total,total,18782
322,2861000,City with powiat status Elbląg,2021,total,total,101580
323,2862000,City with powiat status Olsztyn,2021,total,total,148504
324,3001000,Powiat chodzieski,2021,total,total,39771
325,3002000,Powiat czarnkowsko-trzcianecki,2021,total,total,72876
