,code,powiat,year,sex,education,count
2967,2805000,Powiat ełcki,2021,total,primary completed,10904
2968,2806000,Powiat giżycki,2021,total,primary completed,7384
2969,2807000,Powiat iławski,2021,total,primary completed,13365
2970,2808000,Powiat kętrzyński,2021,total,primary completed,9051
2971,2809000,Powiat lidzbarski,2021,total,primary completed,5309
2972,2810000,Powiat mrągowski,2021,total,primary completed,6953
2973,2811000,Powiat nidzicki,2021,total,primary completed,5641
2974,2812000,Powiat nowomiejski,2021,total,primary completed,6539
2975,2813000,Powiat olecki,2021,total,primary completed,4937
2976,2814000,Powiat olsztyński,2021,total,primary completed,16524
2977,2815000,Powiat ostródzki,2021,total,primary completed,15810
2978,2816000,Powiat piski,2021,total,primary completed,9496
2979,2817000,Powiat szczycieński,2021,total,primary completed,10995
2980,2818000,Powiat gołdapski,2021,total,primary completed,4131
2981,2819000,Powiat węgorzewski,2021,total,primary completed,3266
2982,2861000,City with powiat status Elbląg,2021,total,primary completed,9594
2983,2862000,City with powiat status Olsztyn,2021,total,primary completed,11748
2984,3001000,Powiat chodzieski,2021,total,primary completed,5281
2985,3002000,Powiat czarnkowsko-trzcianecki,2021,total,primary completed,10012
2986,3003000,Powiat gnieźnieński,2021,total,primary completed,14359
2987,3004000,Powiat gostyński,2021,total,primary completed,8267
2988,3005000,Powiat grodziski,2021,total,primary completed,5552
2989,3006000,Powiat jarociński,2021,total,primary completed,7029
2990,3007000,Powiat kaliski,2021,total,primary completed,12586
2991,3008000,Powiat kępiński,2021,total,primary completed,5547
2992,3009000,Powiat kolski,2021,total,primary completed,12895
2993,3010000,Powiat koniński,2021,total,primary completed,18374
2994,3011000,Powiat kościański,2021,total,primary completed,7874
2995,3012000,Powiat krotoszyński,2021,total,primary completed,7229
2996,3013000,Powiat leszczyński,2021,total,primary completed,5572
2997,3014000,Powiat międzychodzki,2021,total,primary completed,4188
2998,3015000,Powiat nowotomyski,2021,total,primary completed,7242
2999,3016000,Powiat obornicki,2021,total,primary completed,6135
3000,3017000,Powiat ostrowski,2021,total,primary completed,13325
3001,3018000,Powiat ostrzeszowski,2021,total,primary completed,5766
3002,3019000,Powiat pilski,2021,total,primary completed,13755
3003,3020000,Powiat pleszewski,2021,total,primary completed,6566
3004,3021000,Powiat poznański,2021,total,primary completed,29625
3005,3022000,Powiat rawicki,2021,total,primary completed,5676
3006,3023000,Powiat słupecki,2021,total,primary completed,7555
3007,3024000,Powiat szamotulski,2021,total,primary completed,9074
3008,3025000,Powiat średzki,2021,total,primary completed,6463
3009,3026000,Powiat śremski,2021,total,primary completed,5909
3010,3027000,Powiat turecki,2021,total,primary completed,11115
3011,3028000,Powiat wągrowiecki,2021,total,primary completed,8045
3012,3029000,Powiat wolsztyński,2021,total,primary completed,5992
3013,3030000,Powiat wrzesiński,2021,total,primary completed,8493
3014,3031000,Powiat złotowski,2021,total,primary completed,9116
3015,3061000,City with powiat status Kalisz,2021,total,primary completed,9191
3016,3062000,City with powiat status Konin,2021,total,primary completed,6349
3017,3063000,City with powiat status Leszno,2021,total,primary completed,4387
3018,3064000,City with powiat status Poznań,2021,total,primary completed,30623
3019,3201000,Powiat białogardzki,2021,total,primary completed,6596
3020,3202000,Powiat choszczeński,2021,total,primary completed,7574
3021,3203000,Powiat drawski,2021,total,primary completed,7309
3022,3204000,Powiat goleniowski,2021,total,primary completed,10505
3023,3205000,Powiat gryficki,2021,total,primary completed,7429
3024,3206000,Powiat gryfiński,2021,total,primary completed,11769
3025,3207000,Powiat kamieński,2021,total,primary completed,6232
3026,3208000,Powiat kołobrzeski,2021,total,primary completed,8071
3027,3209000,Powiat koszaliński,2021,total,primary completed,9291
3028,3210000,Powiat myśliborski,2021,total,primary completed,8872
3029,3211000,Powiat policki,2021,total,primary completed,7004
3030,3212000,Powiat pyrzycki,2021,total,primary completed,5900
3031,3213000,Powiat sławieński,2021,total,primary completed,7596
3032,3214000,Powiat stargardzki,2021,total,primary completed,13926
3033,3215000,Powiat szczecinecki,2021,total,primary completed,9846
3034,3216000,Powiat świdwiński,2021,total,primary completed,6314
3035,3217000,Powiat wałecki,2021,total,primary completed,6436
3036,3218000,Powiat łobeski,2021,total,primary completed,5685
3037,3261000,City with powiat status Koszalin,2021,total,primary completed,8143
3038,3262000,City with powiat status Szczecin,2021,total,primary completed,29405
3039,3263000,City with powiat status Świnoujście,2021,total,primary completed,3573
3040,201000,Powiat bolesławiecki,2021,total,primary not completed and without school education,2344
3041,202000,Powiat dzierżoniowski,2021,total,primary not completed and without school education,2518
3042,203000,Powiat głogowski,2021,total,primary not completed and without school education,2423
3043,204000,Powiat górowski,2021,total,primary not completed and without school education,958
3044,205000,Powiat jaworski,2021,total,primary not completed and without school education,1299
3045,206000,Powiat karkonoski,2021,total,primary not completed and without school education,1710
3046,207000,Powiat kamiennogórski,2021,total,primary not completed and without school education,1116
3047,208000,Powiat kłodzki,2021,total,primary not completed and without school education,3814
3048,209000,Powiat legnicki,2021,total,primary not completed and without school education,1531
3049,210000,Powiat lubański,2021,total,primary not completed and without school education,1349
3050,211000,Powiat lubiński,2021,total,primary not completed and without school education,2624
3051,212000,Powiat lwówecki,2021,total,primary not completed and without school education,1156
3052,213000,Powiat milicki,2021,total,primary not completed and without school education,1134
3053,214000,Powiat oleśnicki,2021,total,primary not completed and without school education,2855
3054,215000,Powiat oławski,2021,total,primary not completed and without school education,2015
3055,216000,Powiat polkowicki,2021,total,primary not completed and without school education,1798
3056,217000,Powiat strzeliński,2021,total,primary not completed and without school education,1101
3057,218000,Powiat średzki,2021,total,primary not completed and without school education,1689
3058,219000,Powiat świdnicki,2021,total,primary not completed and without school education,3861
3059,220000,Powiat trzebnicki,2021,total,primary not completed and without school education,2331
3060,221000,Powiat wałbrzyski,2021,total,primary not completed and without school education,1440
3061,222000,Powiat wołowski,2021,total,primary not completed and without school education,1185
3062,223000,Powiat wrocławski,2021,total,primary not completed and without school education,4919
3063,224000,Powiat ząbkowicki,2021,total,primary not completed and without school education,1650
3064,225000,Powiat zgorzelecki,2021,total,primary not completed and without school education,2374
3065,226000,Powiat złotoryjski,2021,total,primary not completed and without school education,1171
3066,261000,City with powiat status Jelenia Góra,2021,total,primary not completed and without school education,1664
3067,262000,City with powiat status Legnica,2021,total,primary not completed and without school education,2101
3068,264000,City with powiat status Wrocław,2021,total,primary not completed and without school education,11958
3069,265000,City with powiat status Wałbrzych since 2013,2021,total,primary not completed and without school education,2330
3070,401000,Powiat aleksandrowski,2021,total,primary not completed and without school education,1444
3071,402000,Powiat brodnicki,2021,total,primary not completed and without school education,2201
3072,403000,Powiat bydgoski,2021,total,primary not completed and without school education,3551
3073,404000,Powiat chełmiński,2021,total,primary not completed and without school education,1441
3074,405000,Powiat golubsko-dobrzyński,2021,total,primary not completed and without school education,1158
3075,406000,Powiat grudziądzki,2021,total,primary not completed and without school education,1217
3076,407000,Powiat inowrocławski,2021,total,primary not completed and without school education,3778
3077,408000,Powiat lipnowski,2021,total,primary not completed and without school education,1780
3078,409000,Powiat mogileński,2021,total,primary not completed and without school education,1178
3079,410000,Powiat nakielski,2021,total,primary not completed and without school education,2296
3080,411000,Powiat radziejowski,2021,total,primary not completed and without school education,1020
3081,412000,Powiat rypiński,2021,total,primary not completed and without school education,1247
3082,413000,Powiat sępoleński,2021,total,primary not completed and without school education,1210
3083,414000,Powiat świecki,2021,total,primary not completed and without school education,2714
3084,415000,Powiat toruński,2021,total,primary not completed and without school education,3327
3085,416000,Powiat tucholski,2021,total,primary not completed and without school education,1330
3086,417000,Powiat wąbrzeski,2021,total,primary not completed and without school education,886
3087,418000,Powiat włocławski,2021,total,primary not completed and without school education,2357
3088,419000,Powiat żniński,2021,total,primary not completed and without school education,1778
3089,461000,City with powiat status Bydgoszcz,2021,total,primary not completed and without school education,6810
3090,462000,City with powiat status Grudziądz,2021,total,primary not completed and without school education,2161
3091,463000,City with powiat status Toruń,2021,total,primary not completed and without school education,3958
3092,464000,City with powiat status Włocławek,2021,total,primary not completed and without school education,2289
3093,601000,Powiat bialski,2021,total,primary not completed and without school education,3233
3094,602000,Powiat biłgorajski,2021,total,primary not completed and without school education,2996
3095,603000,Powiat chełmski,2021,total,primary not completed and without school education,2250
3096,604000,Powiat hrubieszowski,2021,total,primary not completed and without school education,1588
3097,605000,Powiat janowski,2021,total,primary not completed and without school education,1357
3098,606000,Powiat krasnostawski,2021,total,primary not completed and without school education,1743
3099,607000,Powiat kraśnicki,2021,total,primary not completed and without school education,2370
3100,608000,Powiat lubartowski,2021,total,primary not completed and without school education,2455
3101,609000,Powiat lubelski,2021,total,primary not completed and without school education,4728
3102,610000,Powiat łęczyński,2021,total,primary not completed and without school education,1504
3103,611000,Powiat łukowski,2021,total,primary not completed and without school education,3165
3104,612000,Powiat opolski,2021,total,primary not completed and without school education,1570
3105,613000,Powiat parczewski,2021,total,primary not completed and without school education,859
3106,614000,Powiat puławski,2021,total,primary not completed and without school education,2767
3107,615000,Powiat radzyński,2021,total,primary not completed and without school education,1630
3108,616000,Powiat rycki,2021,total,primary not completed and without school education,1521
3109,617000,Powiat świdnicki,2021,total,primary not completed and without school education,1787
3110,618000,Powiat tomaszowski,2021,total,primary not completed and without school education,2231
3111,619000,Powiat włodawski,2021,total,primary not completed and without school education,1049
3112,620000,Powiat zamojski,2021,total,primary not completed and without school education,3093
3113,661000,City with powiat status Biała Podlaska,2021,total,primary not completed and without school education,1254
3114,662000,City with powiat status Chełm,2021,total,primary not completed and without school education,1349
3115,663000,City with powiat status Lublin,2021,total,primary not completed and without school education,6713
3116,664000,City with powiat status Zamość,2021,total,primary not completed and without school education,1338
3117,801000,Powiat gorzowski,2021,total,primary not completed and without school education,2266
3118,802000,Powiat krośnieński,2021,total,primary not completed and without school education,1510
3119,803000,Powiat międzyrzecki,2021,total,primary not completed and without school education,1774
3120,804000,Powiat nowosolski,2021,total,primary not completed and without school education,2376
3121,805000,Powiat słubicki,2021,total,primary not completed and without school education,1395
3122,806000,Powiat strzelecko-drezdenecki,2021,total,primary not completed and without school education,1455
3123,807000,Powiat sulęciński,2021,total,primary not completed and without school education,1010
3124,808000,Powiat świebodziński,2021,total,primary not completed and without school education,1565
3125,809000,Powiat zielonogórski,2021,total,primary not completed and without school education,2092
3126,810000,Powiat żagański,2021,total,primary not completed and without school education,2140
3127,811000,Powiat żarski,2021,total,primary not completed and without school education,2644
3128,812000,Powiat wschowski,2021,total,primary not completed and without school education,1165
3129,861000,City with powiat status Gorzów Wielkopolski,2021,total,primary not completed and without school education,2973
3130,862000,City with powiat status Zielona Góra,2021,total,primary not completed and without school education,3145
3131,1001000,Powiat bełchatowski,2021,total,primary not completed and without school education,2917
3132,1002000,Powiat kutnowski,2021,total,primary not completed and without school education,2254
3133,1003000,Powiat łaski,2021,total,primary not completed and without school education,1304
3134,1004000,Powiat łęczycki,2021,total,primary not completed and without school education,1358
3135,1005000,Powiat łowicki,2021,total,primary not completed and without school education,1964
3136,1006000,Powiat łódzki wschodni,2021,total,primary not completed and without school education,2088
3137,1007000,Powiat opoczyński,2021,total,primary not completed and without school education,2274
3138,1008000,Powiat pabianicki,2021,total,primary not completed and without school education,3002
3139,1009000,Powiat pajęczański,2021,total,primary not completed and without school education,1551
3140,1010000,Powiat piotrkowski,2021,total,primary not completed and without school education,2705
3141,1011000,Powiat poddębicki,2021,total,primary not completed and without school education,1115
3142,1012000,Powiat radomszczański,2021,total,primary not completed and without school education,2892
3143,1013000,Powiat rawski,2021,total,primary not completed and without school education,1284
3144,1014000,Powiat sieradzki,2021,total,primary not completed and without school education,3054
3145,1015000,Powiat skierniewicki,2021,total,primary not completed and without school education,1087
3146,1016000,Powiat tomaszowski,2021,total,primary not completed and without school education,3084
3147,1017000,Powiat wieluński,2021,total,primary not completed and without school education,2100
3148,1018000,Powiat wieruszowski,2021,total,primary not completed and without school education,1162
3149,1019000,Powiat zduńskowolski,2021,total,primary not completed and without school education,1734
3150,1020000,Powiat zgierski,2021,total,primary not completed and without school education,4245
3151,1021000,Powiat brzeziński,2021,total,primary not completed and without school education,790
3152,1061000,City with powiat status Łódź,2021,total,primary not completed and without school education,13269
3153,1062000,City with powiat status Piotrków Trybunalski,2021,total,primary not completed and without school education,1647
3154,1063000,City with powiat status Skierniewice,2021,total,primary not completed and without school education,1138
3155,1201000,Powiat bocheński,2021,total,primary not completed and without school education,2945
3156,1202000,Powiat brzeski,2021,total,primary not completed and without school education,2563
3157,1203000,Powiat chrzanowski,2021,total,primary not completed and without school education,2706
3158,1204000,Powiat dąbrowski,2021,total,primary not completed and without school education,1498
3159,1205000,Powiat gorlicki,2021,total,primary not completed and without school education,2912
3160,1206000,Powiat krakowski,2021,total,primary not completed and without school education,7939
3161,1207000,Powiat limanowski,2021,total,primary not completed and without school education,4064
3162,1208000,Powiat miechowski,2021,total,primary not completed and without school education,1258
3163,1209000,Powiat myślenicki,2021,total,primary not completed and without school education,3939
3164,1210000,Powiat nowosądecki,2021,total,primary not completed and without school education,6484
3165,1211000,Powiat nowotarski,2021,total,primary not completed and without school education,5588
3166,1212000,Powiat olkuski,2021,total,primary not completed and without school education,2662
3167,1213000,Powiat oświęcimski,2021,total,primary not completed and without school education,3891
3168,1214000,Powiat proszowicki,2021,total,primary not completed and without school education,1044
3169,1215000,Powiat suski,2021,total,primary not completed and without school education,2399
3170,1216000,Powiat tarnowski,2021,total,primary not completed and without school education,5390
3171,1217000,Powiat tatrzański,2021,total,primary not completed and without school education,1748
3172,1218000,Powiat wadowicki,2021,total,primary not completed and without school education,4260
3173,1219000,Powiat wielicki,2021,total,primary not completed and without school education,3553
3174,1261000,City with powiat status Kraków,2021,total,primary not completed and without school education,13987
3175,1262000,City with powiat status Nowy Sącz,2021,total,primary not completed and without school education,2005
3176,1263000,City with powiat status Tarnów,2021,total,primary not completed and without school education,2123
3177,1401000,Powiat białobrzeski,2021,total,primary not completed and without school education,991
3178,1402000,Powiat ciechanowski,2021,total,primary not completed and without school education,2153
3179,1403000,Powiat garwoliński,2021,total,primary not completed and without school education,3172
3180,1404000,Powiat gostyniński,2021,total,primary not completed and without school education,1155
3181,1405000,Powiat grodziski,2021,total,primary not completed and without school education,2732
3182,1406000,Powiat grójecki,2021,total,primary not completed and without school education,2598
3183,1407000,Powiat kozienicki,2021,total,primary not completed and without school education,1504
3184,1408000,Powiat legionowski,2021,total,primary not completed and without school education,3607
3185,1409000,Powiat lipski,2021,total,primary not completed and without school education,917
3186,1410000,Powiat łosicki,2021,total,primary not completed and without school education,818
3187,1411000,Powiat makowski,2021,total,primary not completed and without school education,1285
3188,1412000,Powiat miński,2021,total,primary not completed and without school education,4444
3189,1413000,Powiat mławski,2021,total,primary not completed and without school education,1991
3190,1414000,Powiat nowodworski,2021,total,primary not completed and without school education,2044
3191,1415000,Powiat ostrołęcki,2021,total,primary not completed and without school education,2967
3192,1416000,Powiat ostrowski,2021,total,primary not completed and without school education,2064
3193,1417000,Powiat otwocki,2021,total,primary not completed and without school education,3515
3194,1418000,Powiat piaseczyński,2021,total,primary not completed and without school education,5790
3195,1419000,Powiat płocki,2021,total,primary not completed and without school education,3438
3196,1420000,Powiat płoński,2021,total,primary not completed and without school education,2456
3197,1421000,Powiat pruszkowski,2021,total,primary not completed and without school education,4589
3198,1422000,Powiat przasnyski,2021,total,primary not completed and without school education,1605
3199,1423000,Powiat przysuski,2021,total,primary not completed and without school education,1391
3200,1424000,Powiat pułtuski,2021,total,primary not completed and without school education,1496
3201,1425000,Powiat radomski,2021,total,primary not completed and without school education,4421
3202,1426000,Powiat siedlecki,2021,total,primary not completed and without school education,2602
3203,1427000,Powiat sierpecki,2021,total,primary not completed and without school education,1333
3204,1428000,Powiat sochaczewski,2021,total,primary not completed and without school education,2229
3205,1429000,Powiat sokołowski,2021,total,primary not completed and without school education,1415
3206,1430000,Powiat szydłowiecki,2021,total,primary not completed and without school education,1066
3207,1432000,Powiat warszawski zachodni,2021,total,primary not completed and without school education,3656
3208,1433000,Powiat węgrowski,2021,total,primary not completed and without school education,1832
3209,1434000,Powiat wołomiński,2021,total,primary not completed and without school education,7376
3210,1435000,Powiat wyszkowski,2021,total,primary not completed and without school education,2208
3211,1436000,Powiat zwoleński,2021,total,primary not completed and without school education,989
3212,1437000,Powiat żuromiński,2021,total,primary not completed and without school education,1312
3213,1438000,Powiat żyrardowski,2021,total,primary not completed and without school education,1935
3214,1461000,City with powiat status Ostrołęka,2021,total,primary not completed and without school education,1172
3215,1462000,City with powiat status Płock,2021,total,primary not completed and without school education,2671
3216,1463000,City with powiat status Radom,2021,total,primary not completed and without school education,4858
3217,1464000,City with powiat status Siedlce,2021,total,primary not completed and without school education,1866
3218,1465000,City with powiat status Capital City Warszawa,2021,total,primary not completed and without school education,35324
3219,1601000,Powiat brzeski,2021,total,primary not completed and without school education,2435
3220,1602000,Powiat głubczycki,2021,total,primary not completed and without school education,1127
3221,1603000,Powiat kędzierzyńsko-kozielski,2021,total,primary not completed and without school education,2109
3222,1604000,Powiat kluczborski,2021,total,primary not completed and without school education,1500
3223,1605000,Powiat krapkowicki,2021,total,primary not completed and without school education,1382
3224,1606000,Powiat namysłowski,2021,total,primary not completed and without school education,1134
3225,1607000,Powiat nyski,2021,total,primary not completed and without school education,3166
3226,1608000,Powiat oleski,2021,total,primary not completed and without school education,1465
3227,1609000,Powiat opolski,2021,total,primary not completed and without school education,2770
3228,1610000,Powiat prudnicki,2021,total,primary not completed and without school education,1356
3229,1611000,Powiat strzelecki,2021,total,primary not completed and without school education,1640
3230,1661000,City with powiat status Opole,2021,total,primary not completed and without school education,2669
3231,1801000,Powiat bieszczadzki,2021,total,primary not completed and without school education,511
3232,1802000,Powiat brzozowski,2021,total,primary not completed and without school education,1751
3233,1803000,Powiat dębicki,2021,total,primary not completed and without school education,3413
3234,1804000,Powiat jarosławski,2021,total,primary not completed and without school education,3032
3235,1805000,Powiat jasielski,2021,total,primary not completed and without school education,2665
3236,1806000,Powiat kolbuszowski,2021,total,primary not completed and without school education,1649
3237,1807000,Powiat krośnieński,2021,total,primary not completed and without school education,2977
3238,1808000,Powiat leżajski,2021,total,primary not completed and without school education,1885
3239,1809000,Powiat lubaczowski,2021,total,primary not completed and without school education,1564
3240,1810000,Powiat łańcucki,2021,total,primary not completed and without school education,2107
3241,1811000,Powiat mielecki,2021,total,primary not completed and without school education,3377
3242,1812000,Powiat niżański,2021,total,primary not completed and without school education,1698
3243,1813000,Powiat przemyski,2021,total,primary not completed and without school education,2026
3244,1814000,Powiat przeworski,2021,total,primary not completed and without school education,2072
3245,1815000,Powiat ropczycko-sędziszowski,2021,total,primary not completed and without school education,2021
3246,1816000,Powiat rzeszowski,2021,total,primary not completed and without school education,4767
3247,1817000,Powiat sanocki,2021,total,primary not completed and without school education,2292
3248,1818000,Powiat stalowowolski,2021,total,primary not completed and without school education,2352
3249,1819000,Powiat strzyżowski,2021,total,primary not completed and without school education,1673
3250,1820000,Powiat tarnobrzeski,2021,total,primary not completed and without school education,1262
3251,1821000,Powiat leski,2021,total,primary not completed and without school education,653
3252,1861000,City with powiat status Krosno,2021,total,primary not completed and without school education,977
3253,1862000,City with powiat status Przemyśl,2021,total,primary not completed and without school education,1340
3254,1863000,City with powiat status Rzeszów,2021,total,primary not completed and without school education,3872
3255,1864000,City with powiat status Tarnobrzeg,2021,total,primary not completed and without school education,1063
3256,2001000,Powiat augustowski,2021,total,primary not completed and without school education,1695
3257,2002000,Powiat białostocki,2021,total,primary not completed and without school education,4577
3258,2003000,Powiat bielski,2021,total,primary not completed and without school education,1908
3259,2004000,Powiat grajewski,2021,total,primary not completed and without school education,1267
3260,2005000,Powiat hajnowski,2021,total,primary not completed and without school education,1455
3261,2006000,Powiat kolneński,2021,total,primary not completed and without school education,1135
3262,2007000,Powiat łomżyński,2021,total,primary not completed and without school education,1623
3263,2008000,Powiat moniecki,2021,total,primary not completed and without school education,1168
3264,2009000,Powiat sejneński,2021,total,primary not completed and without school education,697
3265,2010000,Powiat siemiatycki,2021,total,primary not completed and without school education,1306
3266,2011000,Powiat sokólski,2021,total,primary not completed and without school education,1983
3267,2012000,Powiat suwalski,2021,total,primary not completed and without school education,1254
3268,2013000,Powiat wysokomazowiecki,2021,total,primary not completed and without school education,1671
3269,2014000,Powiat zambrowski,2021,total,primary not completed and without school education,1235
3270,2061000,City with powiat status Białystok,2021,total,primary not completed and without school education,6392
3271,2062000,City with powiat status Łomża,2021,total,primary not completed and without school education,1405
3272,2063000,City with powiat status Suwałki,2021,total,primary not completed and without school education,1905
3273,2201000,Powiat bytowski,2021,total,primary not completed and without school education,2280
3274,2202000,Powiat chojnicki,2021,total,primary not completed and without school education,2755
3275,2203000,Powiat człuchowski,2021,total,primary not completed and without school education,1614
3276,2204000,Powiat gdański,2021,total,primary not completed and without school education,3514
3277,2205000,Powiat kartuski,2021,total,primary not completed and without school education,4378
3278,2206000,Powiat kościerski,2021,total,primary not completed and without school education,2190
3279,2207000,Powiat kwidzyński,2021,total,primary not completed and without school education,2612
3280,2208000,Powiat lęborski,2021,total,primary not completed and without school education,1811
3281,2209000,Powiat malborski,2021,total,primary not completed and without school education,1762
3282,2210000,Powiat nowodworski,2021,total,primary not completed and without school education,1002
3283,2211000,Powiat pucki,2021,total,primary not completed and without school education,2458
3284,2212000,Powiat słupski,2021,total,primary not completed and without school education,3154
3285,2213000,Powiat starogardzki,2021,total,primary not completed and without school education,3628
3286,2214000,Powiat tczewski,2021,total,primary not completed and without school education,3355
3287,2215000,Powiat wejherowski,2021,total,primary not completed and without school education,6047
3288,2216000,Powiat sztumski,2021,total,primary not completed and without school education,1198
3289,2261000,City with powiat status Gdańsk,2021,total,primary not completed and without school education,9619
3290,2262000,City with powiat status Gdynia,2021,total,primary not completed and without school education,4922
3291,2263000,City with powiat status Słupsk,2021,total,primary not completed and without school education,1865
3292,2264000,City with powiat status Sopot,2021,total,primary not completed and without school education,510
3293,2401000,Powiat będziński,2021,total,primary not completed and without school education,3603
3294,2402000,Powiat bielski,2021,total,primary not completed and without school education,4235
3295,2403000,Powiat cieszyński,2021,total,primary not completed and without school education,4453
3296,2404000,Powiat częstochowski,2021,total,primary not completed and without school education,3386
3297,2405000,Powiat gliwicki,2021,total,primary not completed and without school education,2844
3298,2406000,Powiat kłobucki,2021,total,primary not completed and without school education,2184
3299,2407000,Powiat lubliniecki,2021,total,primary not completed and without school education,1838
3300,2408000,Powiat mikołowski,2021,total,primary not completed and without school education,2503
3301,2409000,Powiat myszkowski,2021,total,primary not completed and without school education,1712
3302,2410000,Powiat pszczyński,2021,total,primary not completed and without school education,2897
3303,2411000,Powiat raciborski,2021,total,primary not completed and without school education,2309
3304,2412000,Powiat rybnicki,2021,total,primary not completed and without school education,1907
3305,2413000,Powiat tarnogórski,2021,total,primary not completed and without school education,3303
3306,2414000,Powiat bieruńsko-lędziński,2021,total,primary not completed and without school education,1449
3307,2415000,Powiat wodzisławski,2021,total,primary not completed and without school education,3725
3308,2416000,Powiat zawierciański,2021,total,primary not completed and without school education,2836
3309,2417000,Powiat żywiecki,2021,total,primary not completed and without school education,3965
3310,2461000,City with powiat status Bielsko-Biała,2021,total,primary not completed and without school education,3768
3311,2462000,City with powiat status Bytom,2021,total,primary not completed and without school education,3584
3312,2463000,City with powiat status Chorzów,2021,total,primary not completed and without school education,2520
3313,2464000,City with powiat status Częstochowa,2021,total,primary not completed and without school education,4540
3314,2465000,City with powiat status Dąbrowa Górnicza,2021,total,primary not completed and without school education,2581
3315,2466000,City with powiat status Gliwice,2021,total,primary not completed and without school education,3810
3316,2467000,City with powiat status Jastrzębie-Zdrój,2021,total,primary not completed and without school education,2136
3317,2468000,City with powiat status Jaworzno,2021,total,primary not completed and without school education,2148
3318,2469000,City with powiat status Katowice,2021,total,primary not completed and without school education,5386
3319,2470000,City with powiat status Mysłowice,2021,total,primary not completed and without school education,1737
3320,2471000,City with powiat status Piekary Śląskie,2021,total,primary not completed and without school education,1252
3321,2472000,City with powiat status Ruda Śląska,2021,total,primary not completed and without school education,3223
3322,2473000,City with powiat status Rybnik,2021,total,primary not completed and without school education,3023
3323,2474000,City with powiat status Siemianowice Śląskie,2021,total,primary not completed and without school education,1355
3324,2475000,City with powiat status Sosnowiec,2021,total,primary not completed and without school education,3850
3325,2476000,City with powiat status Świętochłowice,2021,total,primary not completed and without school education,1091
3326,2477000,City with powiat status Tychy,2021,total,primary not completed and without school education,2660
3327,2478000,City with powiat status Zabrze,2021,total,primary not completed and without school education,3795
3328,2479000,City with powiat status Żory,2021,total,primary not completed and without school education,1631
3329,2601000,Powiat buski,2021,total,primary not completed and without school education,1742
3330,2602000,Powiat jędrzejowski,2021,total,primary not completed and without school education,2436
3331,2603000,Powiat kazimierski,2021,total,primary not completed and without school education,880
3332,2604000,Powiat kielecki,2021,total,primary not completed and without school education,6073
3333,2605000,Powiat konecki,2021,total,primary not completed and without school education,2014
3334,2606000,Powiat opatowski,2021,total,primary not completed and without school education,1351
3335,2607000,Powiat ostrowiecki,2021,total,primary not completed and without school education,2435
3336,2608000,Powiat pińczowski,2021,total,primary not completed and without school education,891
3337,2609000,Powiat sandomierski,2021,total,primary not completed and without school education,1686
3338,2610000,Powiat skarżyski,2021,total,primary not completed and without school education,1564
3339,2611000,Powiat starachowicki,2021,total,primary not completed and without school education,1969
3340,2612000,Powiat staszowski,2021,total,primary not completed and without school education,1831
3341,2613000,Powiat włoszczowski,2021,total,primary not completed and without school education,1184
3342,2661000,City with powiat status Kielce,2021,total,primary not completed and without school education,3702
3343,2801000,Powiat bartoszycki,2021,total,primary not completed and without school education,1596
3344,2802000,Powiat braniewski,2021,total,primary not completed and without school education,1032
3345,2803000,Powiat działdowski,2021,total,primary not completed and without school education,1765
3346,2804000,Powiat elbląski,2021,total,primary not completed and without school education,1589
3347,2805000,Powiat ełcki,2021,total,primary not completed and without school education,2700
3348,2806000,Powiat giżycki,2021,total,primary not completed and without school education,1519
3349,2807000,Powiat iławski,2021,total,primary not completed and without school education,2725
3350,2808000,Powiat kętrzyński,2021,total,primary not completed and without school education,1594
3351,2809000,Powiat lidzbarski,2021,total,primary not completed and without school education,1152
3352,2810000,Powiat mrągowski,2021,total,primary not completed and without school education,1443
3353,2811000,Powiat nidzicki,2021,total,primary not completed and without school education,894
3354,2812000,Powiat nowomiejski,2021,total,primary not completed and without school education,1216
3355,2813000,Powiat olecki,2021,total,primary not completed and without school education,1085
3356,2814000,Powiat olsztyński,2021,total,primary not completed and without school education,3876
3357,2815000,Powiat ostródzki,2021,total,primary not completed and without school education,3074
3358,2816000,Powiat piski,2021,total,primary not completed and without school education,1663
3359,2817000,Powiat szczycieński,2021,total,primary not completed and without school education,2040
3360,2818000,Powiat gołdapski,2021,total,primary not completed and without school education,816
3361,2819000,Powiat węgorzewski,2021,total,primary not completed and without school education,634
3362,2861000,City with powiat status Elbląg,2021,total,primary not completed and without school education,2712
3363,2862000,City with powiat status Olsztyn,2021,total,primary not completed and without school education,3655
3364,3001000,Powiat chodzieski,2021,total,primary not completed and without school education,1312
3365,3002000,Powiat czarnkowsko-trzcianecki,2021,total,primary not completed and without school education,2572
3366,3003000,Powiat gnieźnieński,2021,total,primary not completed and without school education,3989
3367,3004000,Powiat gostyński,2021,total,primary not completed and without school education,2021
3368,3005000,Powiat grodziski,2021,total,primary not completed and without school education,1387
3369,3006000,Powiat jarociński,2021,total,primary not completed and without school education,1977
3370,3007000,Powiat kaliski,2021,total,primary not completed and without school education,2267
3371,3008000,Powiat kępiński,2021,total,primary not completed and without school education,1542
3372,3009000,Powiat kolski,2021,total,primary not completed and without school education,2413
3373,3010000,Powiat koniński,2021,total,primary not completed and without school education,3893
3374,3011000,Powiat kościański,2021,total,primary not completed and without school education,1859
