,code,powiat,sex,year,activity rate,economically active population,economically inactive persons,employed,employment rate,total,unemployed,unemployment rate,unidentified status on the labour market
1106,3210000,Powiat myśliborski,total,2021,55.0,27307.0,22379.0,26088.0,52.5,54195.0,1219.0,4.5,4509.0
1107,3211000,Powiat policki,females,2021,59.7,19594.0,13225.0,18999.0,57.9,35119.0,595.0,3.0,2300.0
1108,3211000,Powiat policki,males,2021,69.2,21201.0,9417.0,20545.0,67.1,33240.0,656.0,3.1,2622.0
1109,3211000,Powiat policki,total,2021,64.3,40795.0,22642.0,39544.0,62.3,68359.0,1251.0,3.1,4922.0
1110,3212000,Powiat pyrzycki,females,2021,48.8,7358.0,7726.0,7016.0,46.5,16015.0,342.0,4.6,931.0
1111,3212000,Powiat pyrzycki,males,2021,64.1,9334.0,5227.0,8804.0,60.5,15709.0,530.0,5.7,1148.0
1112,3212000,Powiat pyrzycki,total,2021,56.3,16692.0,12953.0,15820.0,53.4,31724.0,872.0,5.2,2079.0
1113,3213000,Powiat sławieński,females,2021,48.8,10706.0,11239.0,10076.0,45.9,23634.0,630.0,5.9,1689.0
1114,3213000,Powiat sławieński,males,2021,63.5,12959.0,7452.0,12162.0,59.6,22306.0,797.0,6.2,1895.0
1115,3213000,Powiat sławieński,total,2021,55.9,23665.0,18691.0,22238.0,52.5,45940.0,1427.0,6.0,3584.0
1116,3214000,Powiat stargardzki,females,2021,50.1,24073.0,23995.0,22940.0,47.7,51597.0,1133.0,4.7,3529.0
1117,3214000,Powiat stargardzki,males,2021,65.2,29403.0,15717.0,27974.0,62.0,49147.0,1429.0,4.9,4027.0
1118,3214000,Powiat stargardzki,total,2021,57.4,53476.0,39712.0,50914.0,54.6,100744.0,2562.0,4.8,7556.0
1119,3215000,Powiat szczecinecki,females,2021,46.2,13953.0,16264.0,12958.0,42.9,32778.0,995.0,7.1,2561.0
1120,3215000,Powiat szczecinecki,males,2021,61.0,16954.0,10826.0,15798.0,56.9,30579.0,1156.0,6.8,2799.0
1121,3215000,Powiat szczecinecki,total,2021,53.3,30907.0,27090.0,28756.0,49.6,63357.0,2151.0,7.0,5360.0
1122,3216000,Powiat świdwiński,females,2021,44.3,7947.0,9986.0,7446.0,41.5,19397.0,501.0,6.3,1464.0
1123,3216000,Powiat świdwiński,males,2021,58.9,10019.0,6990.0,9452.0,55.6,18583.0,567.0,5.7,1574.0
1124,3216000,Powiat świdwiński,total,2021,51.4,17966.0,16976.0,16898.0,48.4,37980.0,1068.0,5.9,3038.0
1125,3217000,Powiat wałecki,females,2021,48.3,10059.0,10757.0,9466.0,45.5,22386.0,593.0,5.9,1570.0
1126,3217000,Powiat wałecki,males,2021,65.1,12616.0,6754.0,12020.0,62.1,21011.0,596.0,4.7,1641.0
1127,3217000,Powiat wałecki,total,2021,56.4,22675.0,17511.0,21486.0,53.5,43397.0,1189.0,5.2,3211.0
1128,3218000,Powiat łobeski,females,2021,46.2,6349.0,7390.0,5918.0,43.1,14785.0,431.0,6.8,1046.0
1129,3218000,Powiat łobeski,males,2021,61.6,8116.0,5062.0,7545.0,57.3,14490.0,571.0,7.0,1312.0
1130,3218000,Powiat łobeski,total,2021,53.7,14465.0,12452.0,13463.0,50.0,29275.0,1002.0,6.9,2358.0
1131,3261000,City with powiat status Koszalin,females,2021,51.7,23342.0,21794.0,22367.0,49.6,48872.0,975.0,4.2,3736.0
1132,3261000,City with powiat status Koszalin,males,2021,65.3,24995.0,13268.0,23793.0,62.2,42341.0,1202.0,4.8,4078.0
1133,3261000,City with powiat status Koszalin,total,2021,58.0,48337.0,35062.0,46160.0,55.3,91213.0,2177.0,4.5,7814.0
1134,3262000,City with powiat status Szczecin,females,2021,54.2,91046.0,76945.0,88122.0,52.5,182389.0,2924.0,3.2,14398.0
1135,3262000,City with powiat status Szczecin,males,2021,66.2,95621.0,48880.0,91486.0,63.3,160527.0,4135.0,4.3,16026.0
1136,3262000,City with powiat status Szczecin,total,2021,59.7,186667.0,125825.0,179608.0,57.5,342916.0,7059.0,3.8,30424.0
1137,3263000,City with powiat status Świnoujście,females,2021,51.2,8556.0,8164.0,8232.0,49.2,18504.0,324.0,3.8,1784.0
1138,3263000,City with powiat status Świnoujście,males,2021,62.5,9181.0,5505.0,8673.0,59.1,16771.0,508.0,5.5,2085.0
1139,3263000,City with powiat status Świnoujście,total,2021,56.5,17737.0,13669.0,16905.0,53.8,35275.0,832.0,4.7,3869.0
