,code,powiat,type,year,value
101,1010000,Powiat piotrkowski,grand total,2002,1583.62
102,1011000,Powiat poddębicki,grand total,2002,1619.07
103,1012000,Powiat radomszczański,grand total,2002,1661.01
104,1013000,Powiat rawski,grand total,2002,1622.62
105,1014000,Powiat sieradzki,grand total,2002,1784.81
106,1015000,Powiat skierniewicki,grand total,2002,1845.09
107,1016000,Powiat tomaszowski,grand total,2002,1693.06
108,1017000,Powiat wieluński,grand total,2002,1595.23
109,1018000,Powiat wieruszowski,grand total,2002,1604.22
110,1019000,Powiat zduńskowolski,grand total,2002,1759.22
111,1020000,Powiat zgierski,grand total,2002,1733.35
112,1021000,Powiat brzeziński,grand total,2002,1521.95
113,1061000,City with powiat status Łódź,grand total,2002,2102.42
114,1062000,City with powiat status Piotrków Trybunalski,grand total,2002,1632.58
115,1063000,City with powiat status Skierniewice,grand total,2002,1937.81
116,1201000,Powiat bocheński,grand total,2002,1880.68
117,1202000,Powiat brzeski,grand total,2002,1730.9
118,1203000,Powiat chrzanowski,grand total,2002,2069.07
119,1204000,Powiat dąbrowski,grand total,2002,1674.56
120,1205000,Powiat gorlicki,grand total,2002,1770.23
121,1206000,Powiat krakowski,grand total,2002,2031.24
122,1207000,Powiat limanowski,grand total,2002,1684.85
123,1208000,Powiat miechowski,grand total,2002,1748.93
124,1209000,Powiat myślenicki,grand total,2002,2139.59
125,1210000,Powiat nowosądecki,grand total,2002,1733.3
126,1211000,Powiat nowotarski,grand total,2002,1721.11
127,1212000,Powiat olkuski,grand total,2002,2043.78
128,1213000,Powiat oświęcimski,grand total,2002,1949.4
129,1214000,Powiat proszowicki,grand total,2002,1743.05
130,1215000,Powiat suski,grand total,2002,1762.06
131,1216000,Powiat tarnowski,grand total,2002,1573.07
132,1217000,Powiat tatrzański,grand total,2002,1765.52
133,1218000,Powiat wadowicki,grand total,2002,1702.23
134,1219000,Powiat wielicki,grand total,2002,2070.61
135,1261000,City with powiat status Kraków,grand total,2002,2300.64
136,1262000,City with powiat status Nowy Sącz,grand total,2002,1937.46
137,1263000,City with powiat status Tarnów,grand total,2002,1842.41
138,1401000,Powiat białobrzeski,grand total,2002,1808.58
139,1402000,Powiat ciechanowski,grand total,2002,2003.01
140,1403000,Powiat garwoliński,grand total,2002,1853.93
141,1404000,Powiat gostyniński,grand total,2002,1675.57
142,1405000,Powiat grodziski,grand total,2002,2533.65
143,1406000,Powiat grójecki,grand total,2002,2280.93
144,1407000,Powiat kozienicki,grand total,2002,2609.25
145,1408000,Powiat legionowski,grand total,2002,2227.5
146,1409000,Powiat lipski,grand total,2002,1701.07
147,1410000,Powiat łosicki,grand total,2002,1792.75
148,1411000,Powiat makowski,grand total,2002,1795.02
149,1412000,Powiat miński,grand total,2002,1945.63
150,1413000,Powiat mławski,grand total,2002,1641.24
151,1414000,Powiat nowodworski,grand total,2002,2240.62
152,1415000,Powiat ostrołęcki,grand total,2002,1916.6
153,1416000,Powiat ostrowski,grand total,2002,1771.03
154,1417000,Powiat otwocki,grand total,2002,2012.74
155,1418000,Powiat piaseczyński,grand total,2002,2503.34
156,1419000,Powiat płocki,grand total,2002,1780.09
157,1420000,Powiat płoński,grand total,2002,1952.97
158,1421000,Powiat pruszkowski,grand total,2002,2661.56
159,1422000,Powiat przasnyski,grand total,2002,1847.04
160,1423000,Powiat przysuski,grand total,2002,1756.41
161,1424000,Powiat pułtuski,grand total,2002,1758.13
162,1425000,Powiat radomski,grand total,2002,1635.89
163,1426000,Powiat siedlecki,grand total,2002,1779.92
164,1427000,Powiat sierpecki,grand total,2002,1992.31
