,code,powiat,year,sex,age,count
108,1019000,Powiat zduńskowolski,2021,total,total,28675
109,1020000,Powiat zgierski,2021,total,total,78076
110,1021000,Powiat brzeziński,2021,total,total,14333
111,1061000,City with powiat status Łódź,2021,total,total,308712
112,1062000,City with powiat status Piotrków Trybunalski,2021,total,total,29629
113,1063000,City with powiat status Skierniewice,2021,total,total,21479
114,1201000,Powiat bocheński,2021,total,total,50188
115,1202000,Powiat brzeski,2021,total,total,42636
116,1203000,Powiat chrzanowski,2021,total,total,51197
117,1204000,Powiat dąbrowski,2021,total,total,24395
118,1205000,Powiat gorlicki,2021,total,total,45629
119,1206000,Powiat krakowski,2021,total,total,145209
120,1207000,Powiat limanowski,2021,total,total,60226
121,1208000,Powiat miechowski,2021,total,total,21805
122,1209000,Powiat myślenicki,2021,total,total,62964
123,1210000,Powiat nowosądecki,2021,total,total,95932
124,1211000,Powiat nowotarski,2021,total,total,82713
125,1212000,Powiat olkuski,2021,total,total,48147
126,1213000,Powiat oświęcimski,2021,total,total,66163
127,1214000,Powiat proszowicki,2021,total,total,20557
128,1215000,Powiat suski,2021,total,total,38218
129,1216000,Powiat tarnowski,2021,total,total,89141
130,1217000,Powiat tatrzański,2021,total,total,28750
131,1218000,Powiat wadowicki,2021,total,total,73013
132,1219000,Powiat wielicki,2021,total,total,68536
133,1261000,City with powiat status Kraków,2021,total,total,407738
134,1262000,City with powiat status Nowy Sącz,2021,total,total,34599
135,1263000,City with powiat status Tarnów,2021,total,total,43474
136,1401000,Powiat białobrzeski,2021,total,total,15870
137,1402000,Powiat ciechanowski,2021,total,total,39878
138,1403000,Powiat garwoliński,2021,total,total,50491
139,1404000,Powiat gostyniński,2021,total,total,18592
140,1405000,Powiat grodziski,2021,total,total,49804
141,1406000,Powiat grójecki,2021,total,total,49208
142,1407000,Powiat kozienicki,2021,total,total,25539
143,1408000,Powiat legionowski,2021,total,total,62390
144,1409000,Powiat lipski,2021,total,total,13891
145,1410000,Powiat łosicki,2021,total,total,13388
146,1411000,Powiat makowski,2021,total,total,18562
147,1412000,Powiat miński,2021,total,total,76687
148,1413000,Powiat mławski,2021,total,total,31962
149,1414000,Powiat nowodworski,2021,total,total,39036
150,1415000,Powiat ostrołęcki,2021,total,total,39391
151,1416000,Powiat ostrowski,2021,total,total,31585
152,1417000,Powiat otwocki,2021,total,total,60681
153,1418000,Powiat piaseczyński,2021,total,total,104807
154,1419000,Powiat płocki,2021,total,total,50351
155,1420000,Powiat płoński,2021,total,total,39565
156,1421000,Powiat pruszkowski,2021,total,total,88119
157,1422000,Powiat przasnyski,2021,total,total,22046
158,1423000,Powiat przysuski,2021,total,total,16897
159,1424000,Powiat pułtuski,2021,total,total,23209
160,1425000,Powiat radomski,2021,total,total,64590
161,1426000,Powiat siedlecki,2021,total,total,37993
162,1427000,Powiat sierpecki,2021,total,total,21312
163,1428000,Powiat sochaczewski,2021,total,total,40650
164,1429000,Powiat sokołowski,2021,total,total,23923
165,1430000,Powiat szydłowiecki,2021,total,total,14925
166,1432000,Powiat warszawski zachodni,2021,total,total,65508
167,1433000,Powiat węgrowski,2021,total,total,29176
168,1434000,Powiat wołomiński,2021,total,total,133487
169,1435000,Powiat wyszkowski,2021,total,total,35025
170,1436000,Powiat zwoleński,2021,total,total,15249
171,1437000,Powiat żuromiński,2021,total,total,16114
172,1438000,Powiat żyrardowski,2021,total,total,35447
173,1461000,City with powiat status Ostrołęka,2021,total,total,20445
174,1462000,City with powiat status Płock,2021,total,total,49657
175,1463000,City with powiat status Radom,2021,total,total,83148
176,1464000,City with powiat status Siedlce,2021,total,total,34800
177,1465000,City with powiat status Capital City Warszawa,2021,total,total,965329
178,1601000,Powiat brzeski,2021,total,total,38639
179,1602000,Powiat głubczycki,2021,total,total,17793
180,1603000,Powiat kędzierzyńsko-kozielski,2021,total,total,37463
181,1604000,Powiat kluczborski,2021,total,total,27187
182,1605000,Powiat krapkowicki,2021,total,total,26272
183,1606000,Powiat namysłowski,2021,total,total,18941
184,1607000,Powiat nyski,2021,total,total,54463
185,1608000,Powiat oleski,2021,total,total,27497
186,1609000,Powiat opolski,2021,total,total,54311
187,1610000,Powiat prudnicki,2021,total,total,22483
188,1611000,Powiat strzelecki,2021,total,total,31029
189,1661000,City with powiat status Opole,2021,total,total,60273
190,1801000,Powiat bieszczadzki,2021,total,total,8348
191,1802000,Powiat brzozowski,2021,total,total,25028
192,1803000,Powiat dębicki,2021,total,total,57911
193,1804000,Powiat jarosławski,2021,total,total,48440
194,1805000,Powiat jasielski,2021,total,total,43957
195,1806000,Powiat kolbuszowski,2021,total,total,25482
196,1807000,Powiat krośnieński,2021,total,total,46073
197,1808000,Powiat leżajski,2021,total,total,26723
198,1809000,Powiat lubaczowski,2021,total,total,22272
199,1810000,Powiat łańcucki,2021,total,total,35213
200,1811000,Powiat mielecki,2021,total,total,60778
201,1812000,Powiat niżański,2021,total,total,25553
202,1813000,Powiat przemyski,2021,total,total,29602
203,1814000,Powiat przeworski,2021,total,total,32530
204,1815000,Powiat ropczycko-sędziszowski,2021,total,total,31852
205,1816000,Powiat rzeszowski,2021,total,total,78231
206,1817000,Powiat sanocki,2021,total,total,37391
207,1818000,Powiat stalowowolski,2021,total,total,40667
208,1819000,Powiat strzyżowski,2021,total,total,25337
209,1820000,Powiat tarnobrzeski,2021,total,total,21556
210,1821000,Powiat leski,2021,total,total,10527
211,1861000,City with powiat status Krosno,2021,total,total,18202
212,1862000,City with powiat status Przemyśl,2021,total,total,21574
213,1863000,City with powiat status Rzeszów,2021,total,total,90672
214,1864000,City with powiat status Tarnobrzeg,2021,total,total,18460
215,2001000,Powiat augustowski,2021,total,total,23645
216,2002000,Powiat białostocki,2021,total,total,67616
217,2003000,Powiat bielski,2021,total,total,22886
218,2004000,Powiat grajewski,2021,total,total,18189
219,2005000,Powiat hajnowski,2021,total,total,16031
220,2006000,Powiat kolneński,2021,total,total,15129
221,2007000,Powiat łomżyński,2021,total,total,21694
222,2008000,Powiat moniecki,2021,total,total,15825
223,2009000,Powiat sejneński,2021,total,total,8186
224,2010000,Powiat siemiatycki,2021,total,total,18221
225,2011000,Powiat sokólski,2021,total,total,26568
226,2012000,Powiat suwalski,2021,total,total,15971
227,2013000,Powiat wysokomazowiecki,2021,total,total,24637
228,2014000,Powiat zambrowski,2021,total,total,18167
229,2061000,City with powiat status Białystok,2021,total,total,133296
230,2062000,City with powiat status Łomża,2021,total,total,25070
231,2063000,City with powiat status Suwałki,2021,total,total,30234
232,2201000,Powiat bytowski,2021,total,total,33547
233,2202000,Powiat chojnicki,2021,total,total,41334
234,2203000,Powiat człuchowski,2021,total,total,21710
235,2204000,Powiat gdański,2021,total,total,60876
236,2205000,Powiat kartuski,2021,total,total,69802
237,2206000,Powiat kościerski,2021,total,total,32007
238,2207000,Powiat kwidzyński,2021,total,total,34229
239,2208000,Powiat lęborski,2021,total,total,26034
240,2209000,Powiat malborski,2021,total,total,25424
241,2210000,Powiat nowodworski,2021,total,total,13959
242,2211000,Powiat pucki,2021,total,total,39791
243,2212000,Powiat słupski,2021,total,total,41914
244,2213000,Powiat starogardzki,2021,total,total,53916
245,2214000,Powiat tczewski,2021,total,total,48953
246,2215000,Powiat wejherowski,2021,total,total,101627
247,2216000,Powiat sztumski,2021,total,total,15727
248,2261000,City with powiat status Gdańsk,2021,total,total,235124
249,2262000,City with powiat status Gdynia,2021,total,total,111547
250,2263000,City with powiat status Słupsk,2021,total,total,37202
251,2264000,City with powiat status Sopot,2021,total,total,14135
252,2401000,Powiat będziński,2021,total,total,65280
253,2402000,Powiat bielski,2021,total,total,77809
254,2403000,Powiat cieszyński,2021,total,total,78806
255,2404000,Powiat częstochowski,2021,total,total,60326
256,2405000,Powiat gliwicki,2021,total,total,50006
257,2406000,Powiat kłobucki,2021,total,total,38626
258,2407000,Powiat lubliniecki,2021,total,total,32993
259,2408000,Powiat mikołowski,2021,total,total,45465
260,2409000,Powiat myszkowski,2021,total,total,30001
261,2410000,Powiat pszczyński,2021,total,total,51391
262,2411000,Powiat raciborski,2021,total,total,42514
263,2412000,Powiat rybnicki,2021,total,total,32507
264,2413000,Powiat tarnogórski,2021,total,total,60847
265,2414000,Powiat bieruńsko-lędziński,2021,total,total,27603
266,2415000,Powiat wodzisławski,2021,total,total,62232
267,2416000,Powiat zawierciański,2021,total,total,49370
268,2417000,Powiat żywiecki,2021,total,total,66080
269,2461000,City with powiat status Bielsko-Biała,2021,total,total,76716
270,2462000,City with powiat status Bytom,2021,total,total,62638
271,2463000,City with powiat status Chorzów,2021,total,total,45720
272,2464000,City with powiat status Częstochowa,2021,total,total,93129
273,2465000,City with powiat status Dąbrowa Górnicza,2021,total,total,52073
274,2466000,City with powiat status Gliwice,2021,total,total,79619
275,2467000,City with powiat status Jastrzębie-Zdrój,2021,total,total,33604
276,2468000,City with powiat status Jaworzno,2021,total,total,39323
277,2469000,City with powiat status Katowice,2021,total,total,133428
278,2470000,City with powiat status Mysłowice,2021,total,total,32415
279,2471000,City with powiat status Piekary Śląskie,2021,total,total,22167
280,2472000,City with powiat status Ruda Śląska,2021,total,total,57217
281,2473000,City with powiat status Rybnik,2021,total,total,56232
282,2474000,City with powiat status Siemianowice Śląskie,2021,total,total,28161
283,2475000,City with powiat status Sosnowiec,2021,total,total,83920
284,2476000,City with powiat status Świętochłowice,2021,total,total,19682
285,2477000,City with powiat status Tychy,2021,total,total,56136
286,2478000,City with powiat status Zabrze,2021,total,total,65298
287,2479000,City with powiat status Żory,2021,total,total,26160
288,2601000,Powiat buski,2021,total,total,30596
289,2602000,Powiat jędrzejowski,2021,total,total,35976
290,2603000,Powiat kazimierski,2021,total,total,14181
291,2604000,Powiat kielecki,2021,total,total,96009
292,2605000,Powiat konecki,2021,total,total,30752
293,2606000,Powiat opatowski,2021,total,total,21023
294,2607000,Powiat ostrowiecki,2021,total,total,39888
295,2608000,Powiat pińczowski,2021,total,total,16202
296,2609000,Powiat sandomierski,2021,total,total,31944
297,2610000,Powiat skarżyski,2021,total,total,27526
298,2611000,Powiat starachowicki,2021,total,total,35731
299,2612000,Powiat staszowski,2021,total,total,30533
300,2613000,Powiat włoszczowski,2021,total,total,19224
301,2661000,City with powiat status Kielce,2021,total,total,81120
302,2801000,Powiat bartoszycki,2021,total,total,20436
303,2802000,Powiat braniewski,2021,total,total,15195
304,2803000,Powiat działdowski,2021,total,total,27084
305,2804000,Powiat elbląski,2021,total,total,22491
306,2805000,Powiat ełcki,2021,total,total,35437
307,2806000,Powiat giżycki,2021,total,total,22546
308,2807000,Powiat iławski,2021,total,total,39770
309,2808000,Powiat kętrzyński,2021,total,total,21483
310,2809000,Powiat lidzbarski,2021,total,total,15744
311,2810000,Powiat mrągowski,2021,total,total,20191
312,2811000,Powiat nidzicki,2021,total,total,13106
313,2812000,Powiat nowomiejski,2021,total,total,18605
314,2813000,Powiat olecki,2021,total,total,13390
315,2814000,Powiat olsztyński,2021,total,total,56720
316,2815000,Powiat ostródzki,2021,total,total,41893
317,2816000,Powiat piski,2021,total,total,20440
318,2817000,Powiat szczycieński,2021,total,total,27819
319,2818000,Powiat gołdapski,2021,total,total,10179
320,2819000,Powiat węgorzewski,2021,total,total,8387
321,2861000,City with powiat status Elbląg,2021,total,total,47074
322,2862000,City with powiat status Olsztyn,2021,total,total,78882
323,3001000,Powiat chodzieski,2021,total,total,21008
324,3002000,Powiat czarnkowsko-trzcianecki,2021,total,total,38146
325,3003000,Powiat gnieźnieński,2021,total,total,64823
326,3004000,Powiat gostyński,2021,total,total,36404
327,3005000,Powiat grodziski,2021,total,total,26285
328,3006000,Powiat jarociński,2021,total,total,32558
329,3007000,Powiat kaliski,2021,total,total,40436
330,3008000,Powiat kępiński,2021,total,total,28866
331,3009000,Powiat kolski,2021,total,total,35908
332,3010000,Powiat koniński,2021,total,total,57837
333,3011000,Powiat kościański,2021,total,total,38494
334,3012000,Powiat krotoszyński,2021,total,total,36617
335,3013000,Powiat leszczyński,2021,total,total,29132
