county_code,lm_id
201.0,25
202.0,4
203.0,18
204.0,27
205.0,18
206.0,25
207.0,37
208.0,4
209.0,18
210.0,25
211.0,18
212.0,25
213.0,4
214.0,4
215.0,4
216.0,18
217.0,4
218.0,4
219.0,37
220.0,4
221.0,37
222.0,4
223.0,4
224.0,4
225.0,25
226.0,18
261.0,25
262.0,18
264.0,4
265.0,37
401.0,33
402.0,19
403.0,22
404.0,38
405.0,19
406.0,38
407.0,22
408.0,33
409.0,22
410.0,22
411.0,33
412.0,19
413.0,40
414.0,38
415.0,19
416.0,40
417.0,19
418.0,33
419.0,22
461.0,22
462.0,38
463.0,19
464.0,33
601.0,34
602.0,28
603.0,57
604.0,28
605.0,23
606.0,7
607.0,7
608.0,7
609.0,7
610.0,7
611.0,34
612.0,7
613.0,7
614.0,7
615.0,34
616.0,59
617.0,7
618.0,28
619.0,7
620.0,28
661.0,34
662.0,57
663.0,7
664.0,28
801.0,20
802.0,17
803.0,20
804.0,17
805.0,20
806.0,20
807.0,20
808.0,17
809.0,17
810.0,17
811.0,17
812.0,27
861.0,20
862.0,17
1001.0,13
1002.0,29
1003.0,8
1004.0,8
1005.0,70
1006.0,8
1007.0,13
1008.0,8
1009.0,13
1010.0,13
1011.0,8
1012.0,13
1013.0,44
1014.0,8
1015.0,44
1016.0,13
1017.0,36
1018.0,36
1019.0,8
1020.0,8
1021.0,8
1061.0,8
1062.0,13
1063.0,44
1201.0,10
1202.0,10
1203.0,58
1204.0,46
1205.0,39
1206.0,10
1207.0,39
1208.0,10
1209.0,10
1210.0,39
1211.0,45
1212.0,10
1213.0,26
1214.0,10
1215.0,45
1216.0,46
1217.0,45
1218.0,26
1219.0,10
1261.0,10
1262.0,39
1263.0,46
1401.0,47
1402.0,35
1403.0,59
1404.0,29
1405.0,66
1406.0,47
1407.0,69
1408.0,71
1409.0,56
1410.0,48
1411.0,62
1412.0,72
1413.0,35
1414.0,60
1415.0,61
1416.0,49
1417.0,73
1418.0,47
1419.0,29
1420.0,60
1421.0,74
1422.0,62
1423.0,30
1424.0,63
1425.0,30
1426.0,48
1427.0,29
1428.0,64
1429.0,65
1430.0,30
1432.0,64
1433.0,65
1434.0,75
1435.0,63
1436.0,30
1437.0,35
1438.0,66
1461.0,61
1462.0,29
1463.0,30
1464.0,48
1465.0,76
1601.0,6
1602.0,11
1603.0,6
1604.0,6
1605.0,6
1606.0,6
1607.0,6
1608.0,6
1609.0,6
1610.0,6
1611.0,6
1661.0,6
1801.0,14
1802.0,14
1803.0,2
1804.0,2
1805.0,14
1806.0,2
1807.0,14
1808.0,2
1809.0,2
1810.0,2
1811.0,2
1812.0,23
1813.0,67
1814.0,2
1815.0,2
1816.0,2
1817.0,14
1818.0,23
1819.0,2
1820.0,23
1821.0,14
1861.0,14
1862.0,67
1863.0,2
1864.0,23
2001.0,12
2002.0,16
2003.0,16
2004.0,12
2005.0,16
2006.0,50
2007.0,50
2008.0,16
2009.0,12
2010.0,16
2011.0,16
2012.0,12
2013.0,49
2014.0,49
2061.0,16
2062.0,50
2063.0,12
2201.0,41
2202.0,40
2203.0,40
2204.0,3
2205.0,3
2206.0,3
2207.0,24
2208.0,3
2209.0,24
2210.0,3
2211.0,3
2212.0,41
2213.0,3
2214.0,3
2215.0,3
2216.0,24
2261.0,3
2262.0,3
2263.0,41
2264.0,3
2401.0,42
2402.0,26
2403.0,26
2404.0,31
2405.0,53
2406.0,31
2407.0,31
2408.0,55
2409.0,31
2410.0,11
2411.0,11
2412.0,11
2413.0,51
2414.0,55
2415.0,11
2416.0,42
2417.0,26
2461.0,26
2462.0,51
2463.0,52
2464.0,31
2465.0,42
2466.0,53
2467.0,11
2468.0,58
2469.0,54
2470.0,54
2471.0,51
2472.0,52
2473.0,11
2474.0,54
2475.0,42
2476.0,52
2477.0,55
2478.0,53
2479.0,11
2601.0,9
2602.0,9
2603.0,10
2604.0,9
2605.0,9
2606.0,56
2607.0,56
2608.0,9
2609.0,23
2610.0,9
2611.0,9
2612.0,9
2613.0,9
2661.0,9
2801.0,1
2802.0,24
2803.0,35
2804.0,24
2805.0,12
2806.0,1
2807.0,68
2808.0,1
2809.0,1
2810.0,1
2811.0,1
2812.0,68
2813.0,12
2814.0,1
2815.0,1
2816.0,1
2817.0,1
2818.0,12
2819.0,1
2861.0,24
2862.0,1
3001.0,32
3002.0,32
3003.0,0
3004.0,27
3005.0,0
3006.0,21
3007.0,21
3008.0,36
3009.0,43
3010.0,43
3011.0,0
3012.0,21
3013.0,27
3014.0,0
3015.0,0
3016.0,0
3017.0,21
3018.0,36
3019.0,32
3020.0,21
3021.0,0
3022.0,27
3023.0,0
3024.0,0
3025.0,0
3026.0,0
3027.0,43
3028.0,0
3029.0,0
3030.0,0
3031.0,32
3061.0,21
3062.0,43
3063.0,27
3064.0,0
3201.0,15
3202.0,5
3203.0,15
3204.0,5
3205.0,5
3206.0,5
3207.0,5
3208.0,15
3209.0,15
3210.0,5
3211.0,5
3212.0,5
3213.0,41
3214.0,5
3215.0,15
3216.0,15
3217.0,32
3218.0,5
3261.0,15
3262.0,5
3263.0,5
