county_code,county_name,ukr_birthplace,total_ukr,ukr_birthplace_share
1201,Powiat bocheński,118,176174,0.0006697923643670462
1202,Powiat brzeski,70,176174,0.00039733445343807826
1203,Powiat chrzanowski,280,176174,0.001589337813752313
1204,Powiat dąbrowski,33,176174,0.00018731481376366548
1205,Powiat gorlicki,145,176174,0.0008230499392645907
1206,Powiat krakowski,522,176174,0.0029629797813525267
1207,Powiat limanowski,80,176174,0.00045409651821494656
1208,Powiat miechowski,59,176174,0.0003348961821835231
1209,Powiat myślenicki,116,176174,0.0006584399514116726
1210,Powiat nowosądecki,176,176174,0.0009990123400728825
1211,Powiat nowotarski,207,176174,0.0011749747408811742
1212,Powiat olkuski,124,176174,0.0007038496032331672
1213,Powiat oświęcimski,260,176174,0.0014758136841985763
1214,Powiat proszowicki,52,176174,0.0002951627368397153
1215,Powiat suski,77,176174,0.00043706789878188607
1216,Powiat tarnowski,141,176174,0.0008003451133538434
1217,Powiat tatrzański,123,176174,0.0006981733967554804
1218,Powiat wadowicki,133,176174,0.0007549354615323487
1219,Powiat wielicki,339,176174,0.0019242339959358362
1261,Powiat m. Kraków,6166,176174,0.034999489141417005
1262,Powiat m. Nowy Sącz,229,176174,0.0012998512833902846
1263,Powiat m. Tarnów,413,176174,0.002344273275284662
1401,Powiat białobrzeski,80,176174,0.00045409651821494656
1402,Powiat ciechanowski,86,176174,0.00048815375708106756
1403,Powiat garwoliński,120,176174,0.0006811447773224199
1404,Powiat gostyniński,67,176174,0.00038030583400501777
1405,Powiat grodziski,491,176174,0.0027870173805442347
1406,Powiat grójecki,338,176174,0.0019185577894581492
1407,Powiat kozienicki,119,176174,0.0006754685708447331
1408,Powiat legionowski,418,176174,0.002372654307673096
1409,Powiat lipski,32,176174,0.00018163860728597864
1410,Powiat łosicki,41,176174,0.00023272446558516012
1411,Powiat makowski,30,176174,0.00017028619433060498
1412,Powiat miński,337,176174,0.0019128815829804625
1413,Powiat mławski,130,176174,0.0007379068420992882
1414,Powiat nowodworski,213,176174,0.0012090319797472952
1415,Powiat ostrołęcki,49,176174,0.0002781341174066548
1416,Powiat ostrowski,58,176174,0.0003292199757058363
1417,Powiat otwocki,439,176174,0.0024918546437045193
1418,Powiat piaseczyński,1106,176174,0.006277884364321636
1419,Powiat płocki,162,176174,0.0009195454493852669
1420,Powiat płoński,187,176174,0.0010614506113274377
1421,Powiat pruszkowski,1116,176174,0.006334646429098505
1422,Powiat przasnyski,14,176174,7.946689068761565e-05
1423,Powiat przysuski,23,176174,0.00013055274898679715
1424,Powiat pułtuski,123,176174,0.0006981733967554804
1425,Powiat radomski,121,176174,0.0006868209838001067
1426,Powiat siedlecki,191,176174,0.001084155437238185
1427,Powiat sierpecki,81,176174,0.00045977272469263343
1428,Powiat sochaczewski,168,176174,0.0009536026882513879
1429,Powiat sokołowski,63,176174,0.00035760100809427046
1430,Powiat szydłowiecki,29,176174,0.00016460998785291814
1432,Powiat warszawski zachodni,800,176174,0.004540965182149466
1433,Powiat węgrowski,94,176174,0.0005335634089025622
1434,Powiat wołomiński,1346,176174,0.007640173918966476
1435,Powiat wyszkowski,107,176174,0.0006073540931124911
1436,Powiat zwoleński,35,176174,0.00019866722671903913
1437,Powiat żuromiński,18,176174,0.00010217171659836299
1438,Powiat żyrardowski,258,176174,0.0014644612712432028
1461,Powiat m. Ostrołęka,50,176174,0.0002838103238843416
1462,Powiat m. Płock,210,176174,0.0011920033603142347
1463,Powiat m. Radom,389,176174,0.002208044319820178
1464,Powiat m. Siedlce,172,176174,0.0009763075141621351
1465,Powiat m. st. Warszawa,13181,176174,0.07481807758239013
1601,Powiat brzeski,1818,176174,0.010319343376434661
1602,Powiat głubczycki,1164,176174,0.006607104340027473
1603,Powiat kędzierzyńsko-kozielski,881,176174,0.0050007379068421
1604,Powiat kluczborski,1053,176174,0.005977045421004234
1605,Powiat krapkowicki,357,176174,0.002026405712534199
1606,Powiat namysłowski,729,176174,0.004137954522233701
1607,Powiat nyski,2226,176174,0.012635235619330889
1608,Powiat oleski,211,176174,0.0011976795667919217
1609,Powiat opolski,1071,176174,0.006079217137602597
1610,Powiat prudnicki,897,176174,0.005091557210485089
1611,Powiat strzelecki,480,176174,0.0027245791092896797
1661,Powiat m. Opole,2854,176174,0.016199893287318218
1801,Powiat bieszczadzki,346,176174,0.001963967441279644
1802,Powiat brzozowski,64,176174,0.0003632772145719573
1803,Powiat dębicki,170,176174,0.0009649551012067615
1804,Powiat jarosławski,773,176174,0.004387707607251922
1805,Powiat jasielski,123,176174,0.0006981733967554804
1806,Powiat kolbuszowski,43,176174,0.00024407687854053378
1807,Powiat krośnieński,448,176174,0.002542940502003701
1808,Powiat leżajski,146,176174,0.0008287261457422775
1809,Powiat lubaczowski,238,176174,0.0013509371416894661
1810,Powiat łańcucki,206,176174,0.0011692985344034874
1811,Powiat mielecki,241,176174,0.0013679657611225266
