,county_code,county_kts,county_name,type,year,wage,NC_population,YR_population
71,618.0,10060611018000.0,Powiat tomaszowski,grand total,2002,1681.71,69919,82063.0
72,619.0,10060610919000.0,Powiat włodawski,grand total,2002,1772.17,31818,36965.0
73,620.0,10060611020000.0,Powiat zamojski,grand total,2002,1554.29,90075,103673.0
74,661.0,10060610961000.0,Powiat m. Biała Podlaska,grand total,2002,1818.7,47883,50249.0
75,662.0,10060611062000.0,Powiat m. Chełm,grand total,2002,1897.69,52801,61853.0
76,663.0,10060611163000.0,Powiat m. Lublin,grand total,2002,2145.22,292096,334338.0
77,664.0,10060611064000.0,Powiat m. Zamość,grand total,2002,1970.57,53035,58999.0
78,801.0,10020811301000.0,Powiat gorzowski,grand total,2002,2099.55,61787,55017.0
79,802.0,10020811402000.0,Powiat krośnieński,grand total,2002,1871.9,46906,50439.0
80,803.0,10020811303000.0,Powiat międzyrzecki,grand total,2002,1790.12,48528,52127.0
81,804.0,10020811404000.0,Powiat nowosolski,grand total,2002,1700.79,72448,77649.0
82,805.0,10020811305000.0,Powiat słubicki,grand total,2002,2030.82,40014,41012.0
83,806.0,10020811306000.0,Powiat strzelecko-drezdenecki,grand total,2002,1813.98,41296,44803.0
84,807.0,10020811307000.0,Powiat sulęciński,grand total,2002,1649.04,29313,31294.0
85,808.0,10020811408000.0,Powiat świebodziński,grand total,2002,1619.22,47209,49653.0
86,809.0,10020811409000.0,Powiat zielonogórski,grand total,2002,1858.91,64482,76724.0
87,810.0,10020811410000.0,Powiat żagański,grand total,2002,1737.05,66221,74449.0
88,811.0,10020811411000.0,Powiat żarski,grand total,2002,1912.92,81270,88655.0
89,812.0,10020811412000.0,Powiat wschowski,grand total,2002,1641.26,32541,33527.0
90,861.0,10020811361000.0,Powiat m. Gorzów Wielkopolski,grand total,2002,2008.87,105129,114479.0
91,862.0,10020811462000.0,Powiat m. Zielona Góra,grand total,2002,2181.97,121615,110653.0
92,1001.0,10051011701000.0,Powiat bełchatowski,grand total,2002,2970.31,94355,98835.0
93,1002.0,10051011902000.0,Powiat kutnowski,grand total,2002,1874.25,82354,99657.0
94,1003.0,10051011803000.0,Powiat łaski,grand total,2002,1639.84,42945,47021.0
95,1004.0,10051011904000.0,Powiat łęczycki,grand total,2002,1766.8,41967,50992.0
96,1005.0,10051011905000.0,Powiat łowicki,grand total,2002,1797.06,65783,77304.0
97,1006.0,10051011506000.0,Powiat łódzki wschodni,grand total,2002,1647.74,63333,57816.0
98,1007.0,10051011707000.0,Powiat opoczyński,grand total,2002,1951.86,63071,70910.0
99,1008.0,10051011508000.0,Powiat pabianicki,grand total,2002,1763.97,104780,113871.0
100,1009.0,10051011809000.0,Powiat pajęczański,grand total,2002,1797.49,43197,49569.0
101,1010.0,10051011710000.0,Powiat piotrkowski,grand total,2002,1583.62,77845,82099.0
102,1011.0,10051011811000.0,Powiat poddębicki,grand total,2002,1619.07,34719,40230.0
103,1012.0,10051011712000.0,Powiat radomszczański,grand total,2002,1661.01,95905,110229.0
104,1013.0,10051011913000.0,Powiat rawski,grand total,2002,1622.62,40520,45170.0
